Region,Fecha,Total
Los Ríos,2020-04-02,1
Los Lagos,2020-04-02,0
Aysén,2020-04-02,0
Magallanes,2020-04-02,0
Total,2020-04-02,18
Arica y Parinacota,2020-04-03,0
Tarapacá,2020-04-03,0
Antofagasta,2020-04-03,0
Atacama,2020-04-03,0
Coquimbo,2020-04-03,0
Valparaíso,2020-04-03,1
Metropolitana,2020-04-03,8
O’Higgins,2020-04-03,0
Maule,2020-04-03,1
Ñuble,2020-04-03,1
Biobío,2020-04-03,2
Araucanía,2020-04-03,7
Los Ríos,2020-04-03,1
Los Lagos,2020-04-03,0
Aysén,2020-04-03,0
Magallanes,2020-04-03,1
Total,2020-04-03,22
Arica y Parinacota,2020-04-04,0
Tarapacá,2020-04-04,0
Antofagasta,2020-04-04,0
Atacama,2020-04-04,0
Coquimbo,2020-04-04,0
Valparaíso,2020-04-04,1
Metropolitana,2020-04-04,9
O’Higgins,2020-04-04,0
Maule,2020-04-04,1
Ñuble,2020-04-04,2
Biobío,2020-04-04,2
Araucanía,2020-04-04,9
Los Ríos,2020-04-04,1
Los Lagos,2020-04-04,0
Aysén,2020-04-04,0
Magallanes,2020-04-04,2
Total,2020-04-04,27
Arica y Parinacota,2020-04-05,0
Tarapacá,2020-04-05,0
Antofagasta,2020-04-05,0
Atacama,2020-04-05,0
Coquimbo,2020-04-05,0
Valparaíso,2020-04-05,1
Metropolitana,2020-04-05,10
O’Higgins,2020-04-05,0
Maule,2020-04-05,1
Ñuble,2020-04-05,3
Biobío,2020-04-05,2
Araucanía,2020-04-05,13
Los Ríos,2020-04-05,1
Los Lagos,2020-04-05,1
Aysén,2020-04-05,0
Magallanes,2020-04-05,2
Total,2020-04-05,34
Arica y Parinacota,2020-04-06,0
Tarapacá,2020-04-06,0
Antofagasta,2020-04-06,0
Atacama,2020-04-06,0
Coquimbo,2020-04-06,0
Valparaíso,2020-04-06,1
Metropolitana,2020-04-06,10
O’Higgins,2020-04-06,0
Maule,2020-04-06,1
Ñuble,2020-04-06,4
Biobío,2020-04-06,2
Araucanía,2020-04-06,14
Los Ríos,2020-04-06,1
Los Lagos,2020-04-06,2
Aysén,2020-04-06,0
Magallanes,2020-04-06,2
Total,2020-04-06,37
Arica y Parinacota,2020-04-07,0
Tarapacá,2020-04-07,0
Antofagasta,2020-04-07,1
Atacama,2020-04-07,0
Coquimbo,2020-04-07,0
Valparaíso,2020-04-07,1
Metropolitana,2020-04-07,12
O’Higgins,2020-04-07,0
Maule,2020-04-07,2
Ñuble,2020-04-07,5
Biobío,2020-04-07,2
Araucanía,2020-04-07,14
Los Ríos,2020-04-07,2
Los Lagos,2020-04-07,2
Aysén,2020-04-07,0
Magallanes,2020-04-07,2
Total,2020-04-07,43
Arica y Parinacota,2020-04-08,0
Tarapacá,2020-04-08,0
Antofagasta,2020-04-08,1
Atacama,2020-04-08,0
Coquimbo,2020-04-08,0
Valparaíso,2020-04-08,2
Metropolitana,2020-04-08,14
O’Higgins,2020-04-08,0
Maule,2020-04-08,2
Ñuble,2020-04-08,5
Biobío,2020-04-08,2
Araucanía,2020-04-08,15
Los Ríos,2020-04-08,2
Los Lagos,2020-04-08,2
Aysén,2020-04-08,0
Magallanes,2020-04-08,3
Total,2020-04-08,48
Arica y Parinacota,2020-04-09,0
Tarapacá,2020-04-09,0
Antofagasta,2020-04-09,1
Atacama,2020-04-09,0
Coquimbo,2020-04-09,0
Valparaíso,2020-04-09,2
Metropolitana,2020-04-09,21
O’Higgins,2020-04-09,0
Maule,2020-04-09,2
Ñuble,2020-04-09,6
Biobío,2020-04-09,2
Araucanía,2020-04-09,16
Los Ríos,2020-04-09,2
Los Lagos,2020-04-09,2
Aysén,2020-04-09,0
Magallanes,2020-04-09,3
Total,2020-04-09,57
Arica y Parinacota,2020-04-10,0
Tarapacá,2020-04-10,0
Antofagasta,2020-04-10,1
Atacama,2020-04-10,0
Coquimbo,2020-04-10,0
Valparaíso,2020-04-10,2
Metropolitana,2020-04-10,29
O’Higgins,2020-04-10,0
Maule,2020-04-10,2
Ñuble,2020-04-10,6
Biobío,2020-04-10,2
Araucanía,2020-04-10,16
Los Ríos,2020-04-10,2
Los Lagos,2020-04-10,2
Aysén,2020-04-10,0
Magallanes,2020-04-10,3
Total,2020-04-10,65
Arica y Parinacota,2020-04-11,0
Tarapacá,2020-04-11,0
Antofagasta,2020-04-11,1
Atacama,2020-04-11,0
Coquimbo,2020-04-11,0
Valparaíso,2020-04-11,2
Metropolitana,2020-04-11,32
O’Higgins,2020-04-11,0
Maule,2020-04-11,3
Ñuble,2020-04-11,6
Biobío,2020-04-11,2
Araucanía,2020-04-11,17
Los Ríos,2020-04-11,2
Los Lagos,2020-04-11,5
Aysén,2020-04-11,0
Magallanes,2020-04-11,3
Total,2020-04-11,73
Arica y Parinacota,2020-04-12,1
Tarapacá,2020-04-12,0
Antofagasta,2020-04-12,1
Atacama,2020-04-12,0
Coquimbo,2020-04-12,0
Valparaíso,2020-04-12,2
Metropolitana,2020-04-12,35
O’Higgins,2020-04-12,0
Maule,2020-04-12,3
Ñuble,2020-04-12,7
Biobío,2020-04-12,2
Araucanía,2020-04-12,17
Los Ríos,2020-04-12,3
Los Lagos,2020-04-12,5
Aysén,2020-04-12,0
Magallanes,2020-04-12,4
Total,2020-04-12,80
Arica y Parinacota,2020-04-13,1
Tarapacá,2020-04-13,0
Antofagasta,2020-04-13,1
Atacama,2020-04-13,0
Coquimbo,2020-04-13,0
Valparaíso,2020-04-13,2
Metropolitana,2020-04-13,36
O’Higgins,2020-04-13,0
Maule,2020-04-13,3
Ñuble,2020-04-13,7
Biobío,2020-04-13,2
Araucanía,2020-04-13,17
Los Ríos,2020-04-13,3
Los Lagos,2020-04-13,5
Aysén,2020-04-13,0
Magallanes,2020-04-13,5
Total,2020-04-13,82
Arica y Parinacota,2020-04-14,1
Tarapacá,2020-04-14,0
Antofagasta,2020-04-14,1
Atacama,2020-04-14,0
Coquimbo,2020-04-14,0
Valparaíso,2020-04-14,2
Metropolitana,2020-04-14,40
O’Higgins,2020-04-14,0
Maule,2020-04-14,4
Ñuble,2020-04-14,8
Biobío,2020-04-14,2
Araucanía,2020-04-14,20
Los Ríos,2020-04-14,3
Los Lagos,2020-04-14,5
Aysén,2020-04-14,0
Magallanes,2020-04-14,6
Total,2020-04-14,92
Arica y Parinacota,2020-04-15,1
Tarapacá,2020-04-15,0
Antofagasta,2020-04-15,1
Atacama,2020-04-15,0
Coquimbo,2020-04-15,0
Valparaíso,2020-04-15,2
Metropolitana,2020-04-15,41
O’Higgins,2020-04-15,0
Maule,2020-04-15,4
Ñuble,2020-04-15,8
Biobío,2020-04-15,2
Araucanía,2020-04-15,21
Los Ríos,2020-04-15,3
Los Lagos,2020-04-15,5
Aysén,2020-04-15,0
Magallanes,2020-04-15,6
Total,2020-04-15,94
Arica y Parinacota,2020-04-16,1
Tarapacá,2020-04-16,0
Antofagasta,2020-04-16,1
Atacama,2020-04-16,0
Coquimbo,2020-04-16,0
Valparaíso,2020-04-16,4
Metropolitana,2020-04-16,48
O’Higgins,2020-04-16,0
Maule,2020-04-16,4
Ñuble,2020-04-16,10
Biobío,2020-04-16,2
Araucanía,2020-04-16,21
Los Ríos,2020-04-16,3
Los Lagos,2020-04-16,5
Aysén,2020-04-16,0
Magallanes,2020-04-16,6
Total,2020-04-16,105
Arica y Parinacota,2020-04-17,2
Tarapacá,2020-04-17,0
Antofagasta,2020-04-17,1
Atacama,2020-04-17,0
Coquimbo,2020-04-17,0
Valparaíso,2020-04-17,4
Metropolitana,2020-04-17,51
O’Higgins,2020-04-17,0
Maule,2020-04-17,7
Ñuble,2020-04-17,11
Biobío,2020-04-17,3
Araucanía,2020-04-17,22
Los Ríos,2020-04-17,3
Los Lagos,2020-04-17,6
Aysén,2020-04-17,0
Magallanes,2020-04-17,6
Total,2020-04-17,116
Arica y Parinacota,2020-04-18,2
Tarapacá,2020-04-18,0
Antofagasta,2020-04-18,1
Atacama,2020-04-18,0
Coquimbo,2020-04-18,0
Valparaíso,2020-04-18,4
Metropolitana,2020-04-18,58
O’Higgins,2020-04-18,0
Maule,2020-04-18,8
Ñuble,2020-04-18,12
Biobío,2020-04-18,3
Araucanía,2020-04-18,23
Los Ríos,2020-04-18,3
Los Lagos,2020-04-18,6
Aysén,2020-04-18,0
Magallanes,2020-04-18,6
Total,2020-04-18,126
Arica y Parinacota,2020-04-19,2
Tarapacá,2020-04-19,0
Antofagasta,2020-04-19,1
Atacama,2020-04-19,0
Coquimbo,2020-04-19,0
Valparaíso,2020-04-19,5
Metropolitana,2020-04-19,63
O’Higgins,2020-04-19,0
Maule,2020-04-19,8
Ñuble,2020-04-19,13
Biobío,2020-04-19,3
Araucanía,2020-04-19,23
Los Ríos,2020-04-19,3
Los Lagos,2020-04-19,6
Aysén,2020-04-19,0
Magallanes,2020-04-19,6
Total,2020-04-19,133
Arica y Parinacota,2020-04-20,2
Tarapacá,2020-04-20,0
Antofagasta,2020-04-20,1
Atacama,2020-04-20,0
Coquimbo,2020-04-20,0
Valparaíso,2020-04-20,5
Metropolitana,2020-04-20,67
O’Higgins,2020-04-20,0
Maule,2020-04-20,10
Ñuble,2020-04-20,13
Biobío,2020-04-20,3
Araucanía,2020-04-20,23
Los Ríos,2020-04-20,3
Los Lagos,2020-04-20,6
Aysén,2020-04-20,0
Magallanes,2020-04-20,6
Total,2020-04-20,139
Arica y Parinacota,2020-04-21,2
Tarapacá,2020-04-21,0
Antofagasta,2020-04-21,1
Atacama,2020-04-21,0
Coquimbo,2020-04-21,0
Valparaíso,2020-04-21,6
Metropolitana,2020-04-21,69
O’Higgins,2020-04-21,1
Maule,2020-04-21,10
Ñuble,2020-04-21,13
Biobío,2020-04-21,4
Araucanía,2020-04-21,25
Los Ríos,2020-04-21,3
Los Lagos,2020-04-21,6
Aysén,2020-04-21,0
Magallanes,2020-04-21,7
Total,2020-04-21,147
Arica y Parinacota,2020-04-22,2
Tarapacá,2020-04-22,0
Antofagasta,2020-04-22,2
Atacama,2020-04-22,0
Coquimbo,2020-04-22,0
Valparaíso,2020-04-22,7
Metropolitana,2020-04-22,78
O’Higgins,2020-04-22,1
Maule,2020-04-22,10
Ñuble,2020-04-22,13
Biobío,2020-04-22,5
Araucanía,2020-04-22,26
Los Ríos,2020-04-22,3
Los Lagos,2020-04-22,6
Aysén,2020-04-22,0
Magallanes,2020-04-22,7
Total,2020-04-22,160
Arica y Parinacota,2020-04-23,2
Tarapacá,2020-04-23,0
Antofagasta,2020-04-23,2
Atacama,2020-04-23,0
Coquimbo,2020-04-23,0
Valparaíso,2020-04-23,7
Metropolitana,2020-04-23,85
O’Higgins,2020-04-23,1
Maule,2020-04-23,10
Ñuble,2020-04-23,13
Biobío,2020-04-23,5
Araucanía,2020-04-23,26
Los Ríos,2020-04-23,3
Los Lagos,2020-04-23,7
Aysén,2020-04-23,0
Magallanes,2020-04-23,7
Total,2020-04-23,168
Arica y Parinacota,2020-04-24,3
Tarapacá,2020-04-24,0
Antofagasta,2020-04-24,2
Atacama,2020-04-24,0
Coquimbo,2020-04-24,0
Valparaíso,2020-04-24,8
Metropolitana,2020-04-24,86
O’Higgins,2020-04-24,1
Maule,2020-04-24,10
Ñuble,2020-04-24,14
Biobío,2020-04-24,5
Araucanía,2020-04-24,26
Los Ríos,2020-04-24,3
Los Lagos,2020-04-24,8
Aysén,2020-04-24,0
Magallanes,2020-04-24,8
Total,2020-04-24,174
Arica y Parinacota,2020-04-25,3
Tarapacá,2020-04-25,1
Antofagasta,2020-04-25,3
Atacama,2020-04-25,0
Coquimbo,2020-04-25,0
Valparaíso,2020-04-25,9
Metropolitana,2020-04-25,89
O’Higgins,2020-04-25,1
Maule,2020-04-25,10
Ñuble,2020-04-25,14
Biobío,2020-04-25,5
Araucanía,2020-04-25,27
Los Ríos,2020-04-25,3
Los Lagos,2020-04-25,8
Aysén,2020-04-25,0
Magallanes,2020-04-25,8
Total,2020-04-25,181
Arica y Parinacota,2020-04-26,3
Tarapacá,2020-04-26,1
Antofagasta,2020-04-26,4
Atacama,2020-04-26,0
Coquimbo,2020-04-26,0
Valparaíso,2020-04-26,9
Metropolitana,2020-04-26,91
O’Higgins,2020-04-26,1
Maule,2020-04-26,11
Ñuble,2020-04-26,14
Biobío,2020-04-26,6
Araucanía,2020-04-26,29
Los Ríos,2020-04-26,3
Los Lagos,2020-04-26,8
Aysén,2020-04-26,0
Magallanes,2020-04-26,9
Total,2020-04-26,189
Arica y Parinacota,2020-04-27,3
Tarapacá,2020-04-27,1
Antofagasta,2020-04-27,4
Atacama,2020-04-27,0
Coquimbo,2020-04-27,0
Valparaíso,2020-04-27,9
Metropolitana,2020-04-27,95
O’Higgins,2020-04-27,1
Maule,2020-04-27,12
Ñuble,2020-04-27,14
Biobío,2020-04-27,6
Araucanía,2020-04-27,32
Los Ríos,2020-04-27,3
Los Lagos,2020-04-27,8
Aysén,2020-04-27,0
Magallanes,2020-04-27,10
Total,2020-04-27,198
Arica y Parinacota,2020-04-28,3
Tarapacá,2020-04-28,1
Antofagasta,2020-04-28,4
Atacama,2020-04-28,0
Coquimbo,2020-04-28,0
Valparaíso,2020-04-28,10
Metropolitana,2020-04-28,100
O’Higgins,2020-04-28,1
Maule,2020-04-28,12
Ñuble,2020-04-28,14
Biobío,2020-04-28,7
Araucanía,2020-04-28,32
Los Ríos,2020-04-28,4
Los Lagos,2020-04-28,9
Aysén,2020-04-28,0
Magallanes,2020-04-28,10
Total,2020-04-28,207
Arica y Parinacota,2020-04-29,4
Tarapacá,2020-04-29,1
Antofagasta,2020-04-29,4
Atacama,2020-04-29,0
Coquimbo,2020-04-29,0
Valparaíso,2020-04-29,12
Metropolitana,2020-04-29,104
O’Higgins,2020-04-29,1
Maule,2020-04-29,13
Ñuble,2020-04-29,14
Biobío,2020-04-29,7
Araucanía,2020-04-29,32
Los Ríos,2020-04-29,4
Los Lagos,2020-04-29,9
Aysén,2020-04-29,0
Magallanes,2020-04-29,11
Total,2020-04-29,216
Arica y Parinacota,2020-04-30,4
Tarapacá,2020-04-30,1
Antofagasta,2020-04-30,5
Atacama,2020-04-30,0
Coquimbo,2020-04-30,0
Valparaíso,2020-04-30,12
Metropolitana,2020-04-30,110
O’Higgins,2020-04-30,1
Maule,2020-04-30,13
Ñuble,2020-04-30,14
Biobío,2020-04-30,7
Araucanía,2020-04-30,35
Los Ríos,2020-04-30,4
Los Lagos,2020-04-30,10
Aysén,2020-04-30,0
Magallanes,2020-04-30,11
Total,2020-04-30,227
Arica y Parinacota,2020-05-01,4
Tarapacá,2020-05-01,1
Antofagasta,2020-05-01,7
Atacama,2020-05-01,0
Coquimbo,2020-05-01,0
Valparaíso,2020-05-01,12
Metropolitana,2020-05-01,114
O’Higgins,2020-05-01,1
Maule,2020-05-01,13
Ñuble,2020-05-01,14
Biobío,2020-05-01,7
Araucanía,2020-05-01,36
Los Ríos,2020-05-01,4
Los Lagos,2020-05-01,10
Aysén,2020-05-01,0
Magallanes,2020-05-01,11
Total,2020-05-01,234
Arica y Parinacota,2020-05-02,4
Tarapacá,2020-05-02,1
Antofagasta,2020-05-02,7
Atacama,2020-05-02,0
Coquimbo,2020-05-02,0
Valparaíso,2020-05-02,13
Metropolitana,2020-05-02,122
O’Higgins,2020-05-02,3
Maule,2020-05-02,13
Ñuble,2020-05-02,16
Biobío,2020-05-02,7
Araucanía,2020-05-02,36
Los Ríos,2020-05-02,4
Los Lagos,2020-05-02,10
Aysén,2020-05-02,0
Magallanes,2020-05-02,11
Total,2020-05-02,247
Arica y Parinacota,2020-05-03,4
Tarapacá,2020-05-03,1
Antofagasta,2020-05-03,7
Atacama,2020-05-03,0
Coquimbo,2020-05-03,0
Valparaíso,2020-05-03,13
Metropolitana,2020-05-03,135
O’Higgins,2020-05-03,3
Maule,2020-05-03,13
Ñuble,2020-05-03,16
Biobío,2020-05-03,7
Araucanía,2020-05-03,36
Los Ríos,2020-05-03,4
Los Lagos,2020-05-03,10
Aysén,2020-05-03,0
Magallanes,2020-05-03,11
Total,2020-05-03,260
Arica y Parinacota,2020-05-04,4
Tarapacá,2020-05-04,1
Antofagasta,2020-05-04,7
Atacama,2020-05-04,0
Coquimbo,2020-05-04,0
Valparaíso,2020-05-04,13
Metropolitana,2020-05-04,143
O’Higgins,2020-05-04,3
Maule,2020-05-04,13
Ñuble,2020-05-04,17
Biobío,2020-05-04,8
Araucanía,2020-05-04,36
Los Ríos,2020-05-04,4
Los Lagos,2020-05-04,10
Aysén,2020-05-04,0
Magallanes,2020-05-04,11
Total,2020-05-04,270
Arica y Parinacota,2020-05-05,4
Tarapacá,2020-05-05,1
Antofagasta,2020-05-05,7
Atacama,2020-05-05,0
Coquimbo,2020-05-05,0
Valparaíso,2020-05-05,15
Metropolitana,2020-05-05,146
O’Higgins,2020-05-05,3
Maule,2020-05-05,13
Ñuble,2020-05-05,17
Biobío,2020-05-05,8
Araucanía,2020-05-05,36
Los Ríos,2020-05-05,4
Los Lagos,2020-05-05,10
Aysén,2020-05-05,0
Magallanes,2020-05-05,11
Total,2020-05-05,275
Arica y Parinacota,2020-05-06,5
Tarapacá,2020-05-06,1
Antofagasta,2020-05-06,7
Atacama,2020-05-06,0
Coquimbo,2020-05-06,0
Valparaíso,2020-05-06,16
Metropolitana,2020-05-06,150
O’Higgins,2020-05-06,3
Maule,2020-05-06,13
Ñuble,2020-05-06,17
Biobío,2020-05-06,8
Araucanía,2020-05-06,36
Los Ríos,2020-05-06,4
Los Lagos,2020-05-06,10
Aysén,2020-05-06,0
Magallanes,2020-05-06,11
Total,2020-05-06,281
Arica y Parinacota,2020-05-07,6
Tarapacá,2020-05-07,1
Antofagasta,2020-05-07,7
Atacama,2020-05-07,0
Coquimbo,2020-05-07,0
Valparaíso,2020-05-07,17
Metropolitana,2020-05-07,152
O’Higgins,2020-05-07,3
Maule,2020-05-07,13
Ñuble,2020-05-07,17
Biobío,2020-05-07,8
Araucanía,2020-05-07,36
Los Ríos,2020-05-07,4
Los Lagos,2020-05-07,10
Aysén,2020-05-07,0
Magallanes,2020-05-07,11
Total,2020-05-07,285
Arica y Parinacota,2020-05-08,6
Tarapacá,2020-05-08,1
Antofagasta,2020-05-08,9
Atacama,2020-05-08,0
Coquimbo,2020-05-08,0
Valparaíso,2020-05-08,18
Metropolitana,2020-05-08,157
O’Higgins,2020-05-08,3
Maule,2020-05-08,13
Ñuble,2020-05-08,18
Biobío,2020-05-08,8
Araucanía,2020-05-08,36
Los Ríos,2020-05-08,4
Los Lagos,2020-05-08,10
Aysén,2020-05-08,0
Magallanes,2020-05-08,11
Total,2020-05-08,294
Arica y Parinacota,2020-05-09,6
Tarapacá,2020-05-09,1
Antofagasta,2020-05-09,10
Atacama,2020-05-09,0
Coquimbo,2020-05-09,0
Valparaíso,2020-05-09,19
Metropolitana,2020-05-09,163
O’Higgins,2020-05-09,3
Maule,2020-05-09,14
Ñuble,2020-05-09,18
Biobío,2020-05-09,8
Araucanía,2020-05-09,36
Los Ríos,2020-05-09,5
Los Lagos,2020-05-09,10
Aysén,2020-05-09,0
Magallanes,2020-05-09,11
Total,2020-05-09,304
Arica y Parinacota,2020-05-10,6
Tarapacá,2020-05-10,1
Antofagasta,2020-05-10,10
Atacama,2020-05-10,0
Coquimbo,2020-05-10,1
Valparaíso,2020-05-10,20
Metropolitana,2020-05-10,166
O’Higgins,2020-05-10,3
Maule,2020-05-10,14
Ñuble,2020-05-10,18
Biobío,2020-05-10,8
Araucanía,2020-05-10,37
Los Ríos,2020-05-10,5
Los Lagos,2020-05-10,10
Aysén,2020-05-10,0
Magallanes,2020-05-10,13
Total,2020-05-10,312
Arica y Parinacota,2020-05-11,7
Tarapacá,2020-05-11,1
Antofagasta,2020-05-11,10
Atacama,2020-05-11,0
Coquimbo,2020-05-11,1
Valparaíso,2020-05-11,21
Metropolitana,2020-05-11,172
O’Higgins,2020-05-11,4
Maule,2020-05-11,14
Ñuble,2020-05-11,18
Biobío,2020-05-11,8
Araucanía,2020-05-11,38
Los Ríos,2020-05-11,5
Los Lagos,2020-05-11,10
Aysén,2020-05-11,0
Magallanes,2020-05-11,14
Total,2020-05-11,323
Arica y Parinacota,2020-05-12,7
Tarapacá,2020-05-12,1
Antofagasta,2020-05-12,10
Atacama,2020-05-12,0
Coquimbo,2020-05-12,1
Valparaíso,2020-05-12,23
Metropolitana,2020-05-12,178
O’Higgins,2020-05-12,4
Maule,2020-05-12,14
Ñuble,2020-05-12,19
Biobío,2020-05-12,9
Araucanía,2020-05-12,39
Los Ríos,2020-05-12,5
Los Lagos,2020-05-12,11
Aysén,2020-05-12,0
Magallanes,2020-05-12,14
Total,2020-05-12,335
Arica y Parinacota,2020-05-13,7
Tarapacá,2020-05-13,1
Antofagasta,2020-05-13,11
Atacama,2020-05-13,0
Coquimbo,2020-05-13,1
Valparaíso,2020-05-13,24
Metropolitana,2020-05-13,184
O’Higgins,2020-05-13,4
Maule,2020-05-13,14
Ñuble,2020-05-13,19
Biobío,2020-05-13,9
Araucanía,2020-05-13,39
Los Ríos,2020-05-13,6
Los Lagos,2020-05-13,11
Aysén,2020-05-13,0
Magallanes,2020-05-13,16
Total,2020-05-13,346
Arica y Parinacota,2020-05-14,7
Tarapacá,2020-05-14,1
Antofagasta,2020-05-14,11
Atacama,2020-05-14,0
Coquimbo,2020-05-14,1
Valparaíso,2020-05-14,25
Metropolitana,2020-05-14,202
O’Higgins,2020-05-14,4
Maule,2020-05-14,14
Ñuble,2020-05-14,20
Biobío,2020-05-14,9
Araucanía,2020-05-14,41
Los Ríos,2020-05-14,6
Los Lagos,2020-05-14,11
Aysén,2020-05-14,0
Magallanes,2020-05-14,16
