Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total
2020-05-15,5,75,38,2,5,66,1793,22,14,30,32,18,4,6,0,2,2112
2020-05-16,7,51,71,3,0,33,1319,6,9,14,29,16,0,3,0,12,1573
2020-05-17,1,108,60,2,1,85,1671,22,17,14,19,13,1,2,0,8,2024
2020-05-18,18,73,70,5,13,70,1596,33,23,37,40,28,3,1,0,8,2018
2020-05-19,21,40,43,1,21,72,2802,13,33,3,25,18,4,2,0,1,3099
2020-05-20,2,28,51,3,13,107,3298,11,29,20,43,10,17,10,0,5,3647
2020-05-21,21,99,35,3,2,101,3126,8,44,8,32,25,10,14,0,10,3538
2020-05-22,15,121,55,3,10,120,3374,21,50,5,43,22,4,15,0,5,3863
2020-05-23,9,68,52,6,12,87,2812,20,37,45,39,30,10,5,0,5,3237
2020-05-24,13,85,40,0,25,99,2859,28,65,23,51,26,11,6,0,12,3343
2020-05-25,15,53,61,3,14,65,4000,29,54,37,34,30,6,20,2,5,4428
2020-05-26,8,97,44,2,37,133,3074,59,60,8,40,21,7,14,2,12,3618
2020-05-27,17,70,65,8,64,111,3421,24,52,24,54,26,5,10,0,5,3956
2020-05-28,18,119,98,4,24,123,3500,13,46,26,96,31,9,17,2,2,4128
2020-05-29,17,130,57,3,52,91,2746,35,55,34,91,24,6,6,2,6,3355
2020-05-30,4,124,90,8,52,169,3035,11,59,7,80,47,12,33,0,5,3736
2020-05-31,25,86,61,3,23,117,3964,27,30,1,76,11,7,3,1,2,4437
2020-06-01,13,152,67,8,33,166,4436,23,37,32,75,34,5,0,0,1,5082
2020-06-02,18,60,58,3,17,227,2698,24,36,0,12,21,5,24,0,3,3206
2020-06-03,43,76,61,6,29,151,3707,85,181,30,118,29,4,14,0,3,4537
2020-06-04,31,108,129,15,44,233,3327,32,117,36,68,6,6,13,1,6,4172
2020-06-05,40,139,53,8,37,233,2888,45,96,52,67,89,7,35,0,1,3790
2020-06-06,33,104,105,11,53,295,3945,85,87,34,83,26,3,15,0,9,4888
2020-06-07,31,119,106,12,84,255,4797,56,116,19,87,47,15,14,1,1,5760
2020-06-08,17,133,80,24,120,247,3349,64,51,58,51,26,4,7,0,6,4237
2020-06-09,39,89,134,7,43,223,2789,57,92,22,37,28,18,9,0,0,3587
2020-06-10,16,79,143,14,78,198,4235,117,123,24,138,42,6,12,0,1,5226
2020-06-11,35,92,179,22,75,216,4039,98,105,52,106,34,9,18,1,8,5089
2020-06-12,39,91,119,20,79,284,5174,72,116,42,114,35,14,14,0,4,6217
2020-06-13,37,152,141,16,66,332,4708,149,118,17,149,51,5,19,2,7,5969
2020-06-14,45,119,231,11,35,213,5264,116,121,39,111,26,2,24,0,11,6368
2020-06-15,30,90,244,23,96,230,3596,77,84,49,38,48,18,24,2,11,4660
2020-06-16,15,96,83,14,35,239,3623,195,80,17,44,39,3,9,0,6,4498
2020-06-17,50,105,107,34,74,181,3257,184,77,46,149,18,4,34,0,0,4320
2020-06-18,20,69,259,18,75,202,2788,205,174,35,145,40,9,12,0,9,4060
2020-06-19,52,108,256,25,99,239,3518,233,173,84,160,23,10,31,1,4,5016
2020-06-20,29,124,322,22,62,226,3074,263,134,23,222,14,8,33,1,7,4564
2020-06-21,43,92,208,28,67,246,2775,238,181,17,193,37,18,28,0,10,4181
2020-06-22,46,76,218,28,53,259,2411,192,122,22,190,32,7,44,0,10,3710
2020-06-23,23,65,227,13,46,245,1994,148,121,14,130,16,4,26,0,6,3078
2020-06-24,23,51,202,30,35,258,1916,213,134,20,109,9,4,16,0,0,3020
2020-06-25,29,58,237,28,56,257,2473,234,150,12,178,24,12,17,1,12,3778
2020-06-26,37,111,197,43,43,269,2058,209,154,33,189,37,6,31,0,5,3422
2020-06-27,61,43,249,25,64,211,2295,152,142,29,150,17,7,23,4,9,3481
2020-06-28,28,101,249,27,67,214,2048,244,112,33,189,35,15,28,1,5,3396
2020-06-29,31.0,61.0,253.0,32.0,67.0,193.0,1913.0,201.0,103.0,20.0,152.0,30.0,8.0,22.0,1.0,5.0,3092.0
2020-06-30,24.0,53.0,187.0,19.0,55.0,175.0,1759.0,217.0,65.0,12.0,82.0,14.0,8.0,11.0,0.0,9.0,2690.0
2020-07-01,59,51,224,35,51,222,1026,134,148,16,119,15,3,25,0,6,2134
2020-07-02,55,72,167,18,49,174,1071,154,88,31,92,20,1,44,4,2,2042
2020-07-03,41,53,239,19,48,229,1544,128,125,20,135,46,5,65,0,6,2703
2020-07-04,52,55,204,28,91,254,1717,185,147,34,103,37,6,36,0,2,2951
2020-07-05,56,100,223,29,69,215,1623,175,109,28,133,26,3,59,0,4,2852
2020-07-06,65,85,197,32,81,146,1286,152,98,31,113,32,5,23,0,8,2354
2020-07-07,29,45,181,19,55,173,1012,185,104,16,85,14,3,22,0,3,1946
2020-07-08,59,56,193,24,53,140,758,90,77,41,77,8,3,57,0,2,1638
2020-07-09,82,40,210,54,63,173,1262,148,107,51,126,21,6,48,0,4,2395
2020-07-10,43,68,150,25,87,204,1207,225,117,51,138,23,5,40,1,8,2392
2020-07-11,57,66,266,40,84,169,1060,120,103,54,108,17,6,61,1,7,2219
2020-07-12,71,70,181,44,53,216,1293,78,90,34,143,31,1,55,5,6,2371
2020-07-13,93,23,175,35,47,161,1096,125,66,21,94,6,3,33,1,6,1985
2020-07-14,71,21,157,28,9,147,656,105,71,23,73,10,5,56,0,12,1444
2020-07-15,91,39,147,39,91,96,516,104,96,12,91,24,3,45,2,4,1400
2020-07-16,101,30,147,14,55,154,921,133,119,44,151,21,9,49,1,0,1949
2020-07-17,92,64,171,1,82,141,1104,152,103,5,123,11,21,50,3,2,2125
2020-07-18,62,68,138,29,70,120,793,74,58,61,119,1,5,21,0,5,1624
2020-07-19,37,55,156,34,132,139,622,99,118,16,116,16,7,64,0,4,1615
2020-07-20,120,75,96,18,117,139,701,90,57,13,125,19,5,21,0,3,1599
2020-07-21,93,45,67,45,60,132,507,81,108,21,97,21,3,60,0,2,1342
2020-07-22,47,41,127,28,59,175,540,110,74,10,94,19,1,62,0,4,1391
2020-07-23,110,64,132,48,137,165,732,100,102,26,153,19,6,44,0,3,1841
2020-07-24,132,105,107,47,125,137,825,140,99,22,146,29,3,84,1,3,2005
2020-07-25,93,48,89,45,149,188,645,91,108,17,139,21,4,110,2,3,1752
2020-07-26,108,19,133,100,142,115,585,90,93,6,142,20,5,58,0,4,1620
2020-07-27,49,84,103,13,99,113,588,84,69,47,106,28,3,76,1,12,1475
2020-07-28,110,116,88,37,78,99,382,33,36,12,121,22,1,89,0,12,1236
2020-07-29,76,38,102,40,120,85,457,67,90,19,118,33,2,43,1,3,1294
2020-07-30,67,85,52,74,92,144,511,86,84,20,116,21,5,41,0,30,1428
2020-07-31,75,17,106,74,138,117,545,78,76,18,145,35,2,94,3,17,1540
2020-08-01,83,39,102,58,52,155,531,77,50,21,144,20,1,81,0,12,1426
2020-08-02,70,42,97,66,100,149,525,65,74,20,151,30,4,71,1,17,1482
2020-08-03,48,25,87,73,66,94,386,67,57,17,104,30,5,43,0,17,1119
2020-08-04,64,44,53,17,96,120,312,37,73,10,107,19,2,73,0,22,1049
2020-08-05,52,67,89,132,64,101,355,46,57,26,128,12,5,64,0,18,1216
2020-08-06,84,13,85,50,107,164,459,79,67,13,141,41,5,53,1,21,1383
2020-08-07,64,59,100,100,93,131,449,81,89,41,149,19,2,95,1,6,1479
2020-08-08,53,22,121,90,85,168,430,152,90,36,118,14,7,93,0,32,1511
2020-08-09,115,58,112,8,120,140,425,78,70,24,149,23,3,106,2,19,1452
2020-08-10,67,30,108,196,102,139,339,63,44,33,90,25,8,46,0,29,1319
2020-08-11,76,83,48,76,80,108,278,64,47,15,109,15,8,33,0,21,1061
2020-08-12,103,42,55,76,61,117,293,78,50,17,74,27,2,64,0,12,1071
2020-08-13,46,70,71,57,121,132,400,84,60,25,175,28,4,55,0,15,1343
2020-08-14,67,42,93,69,91,154,462,63,60,22,144,26,5,66,0,32,1396
2020-08-15,72,31,72,72,140,142,274,43,66,8,129,28,2,49,1,29,1158
2020-08-16,62,29,87,57,110,175,384,66,78,10,163,22,5,80,0,55,1383
2020-08-17,42,56,77,60,86,97,269,39,54,28,142,15,1,31,0,15,1012
2020-08-18,39,32,38,64,82,79,178,42,53,27,90,31,2,41,0,48,846
2020-08-19,31,44,48,37,74,108,198,54,57,24,107,19,2,42,0,31,876
2020-08-20,50,37,40,21,79,123,381,83,85,34,192,23,4,69,0,44,1265
2020-08-21,49,48,86,47,88,137,330,63,88,35,182,47,6,55,0,67,1328
2020-08-22,55,29,55,51,96,131,354,51,77,49,174,42,5,45,2,51,1267
2020-08-23,27,45,42,42,145,146,353,56,54,23,222,20,9,61,0,70,1315
2020-08-24,63,34,81,51,97,122,304,78,59,49,200,14,2,38,1,72,1265
2020-08-25,28,18,16,37,71,80,253,59,47,31,127,29,4,25,2,60,887
2020-08-26,40,24,45,20,101,103,241,72,73,47,103,16,2,49,2,55,993
2020-08-27,27,18,66,22,84,144,286,47,61,43,261,13,9,36,0,80,1197
2020-08-28,47,22,35,31,90,149,328,64,51,63,199,25,5,75,3,40,1227
2020-08-29,29,42,69,46,45,151,332,72,57,71,257,26,4,48,4,77,1330
2020-08-30,26,29,67,45,58,163,358,66,77,43,177,26,5,61,0,76,1277
2020-08-31,40,29,33,26,96,147,263,66,53,68,211,19,8,38,1,79,1177
2020-09-01,37,5,39,36,47,105,259,70,46,17,122,25,8,27,0,83,926
2020-09-02,17,33,44,30,84,141,311,67,62,16,126,36,3,42,0,102,1114
2020-09-03,37,23,48,11,59,106,368,97,87,35,205,46,23,38,0,92,1275
2020-09-04,31,26,30,21,66,141,330,76,119,64,241,39,9,42,0,84,1319
2020-09-05,30,17,47,22,82,138,388,79,89,43,188,25,10,56,0,154,1368
2020-09-06,24,23,41,20,62,139,399,60,99,55,228,27,12,77,1,97,1364
2020-09-07,37,6,49,24,74,112,286,67,86,36,169,39,9,34,0,147,1175
2020-09-08,20,16,48,19,37,91,205,58,43,30,130,29,8,18,0,87,839
2020-09-09,27,31,40,38,49,82,325,53,77,27,138,45,25,30,0,61,1048
2020-09-10,21,20,34,14,65,125,288,79,113,38,201,51,14,20,3,53,1139
2020-09-11,38,24,38,34,71,132,258,82,109,73,193,66,18,68,0,100,1304
2020-09-12,26,25,28,32,84,119,338,104,122,51,176,52,17,52,0,181,1407
2020-09-13,29,26,35,27,53,137,334,88,117,72,187,65,27,39,6,171,1413
2020-09-14,32,24,32,20,45,126,277,63,89,43,146,36,8,34,6,83,1064
2020-09-15,27,21,36,38,52,106,196,100,62,32,138,61,12,61,4,79,1025
2020-09-16,24,16,24,12,28,85,257,66,54,17,125,36,11,26,0,137,918
2020-09-17,22,28,28,20,34,97,292,91,118,50,211,33,7,66,5,181,1283
2020-09-18,20,17,26,24,50,149,251,81,87,43,177,44,7,40,3,78,1097
2020-09-19,40,12,30,37,32,112,265,75,85,31,164,57,7,137,10,136,1230
2020-09-20,34,13,23,12,22,82,263,76,82,43,129,38,6,70,0,155,1048
2020-09-21,9,18,10,24,16,52,158,80,60,24,86,63,24,27,6,175,832
2020-09-22,16,23,36,18,15,51,187,45,53,23,124,59,6,35,3,120,814
2020-09-23,32,11,35,22,20,73,246,89,116,18,131,64,11,37,9,102,1016
2020-09-24,30,7,42,20,24,119,299,80,110,30,209,42,18,66,15,171,1282
2020-09-25,38,21,41,14,37,133,309,75,98,46,182,100,17,166,1,197,1475
2020-09-26,30,29,34,27,38,133,361,81,113,52,194,57,22,95,17,175,1458
2020-09-27,31,16,42,20,36,100,260,78,102,43,153,64,38,115,5,130,1233
2020-09-28,36,15,25,33,22,67,275,48,69,21,152,65,19,98,0,167,1112
2020-09-29,33,22,15,27,33,92,152,79,55,22,113,39,27,81,29,217,1036
2020-09-30,42,20,21,22,24,98,337,71,74,12,115,120,24,47,12,146,1185
2020-10-01,28,26,21,19,24,93,295,81,83,40,149,105,25,83,15,111,1198
2020-10-02,44,24,32,24,28,83,311,56,95,49,139,105,23,83,11,101,1208
2020-10-03,46,10,39,16,42,94,225,70,63,22,144,83,21,94,26,189,1184
2020-10-04,37,17,21,10,23,98,222,44,46,21,144,77,32,71,23,130,1016
2020-10-05,27,18,23,15,14,63,212,56,76,15,129,125,14,65,1,131,984
2020-10-06,26,13,21,18,22,83,138,55,72,12,100,90,23,86,7,253,1019
2020-10-07,34,13,16,14,18,60,205,35,40,11,83,68,27,44,23,112,803
2020-10-08,44,21,43,16,25,73,223,66,73,38,128,127,19,81,8,119,1104
2020-10-09,32,11,49,11,10,81,293,62,92,32,135,145,36,78,19,142,1228
2020-10-10,27,21,21,17,22,89,234,57,85,16,169,93,29,105,19,196,1200
2020-10-11,15,12,28,15,13,87,237,60,86,31,165,125,29,130,28,71,1132
2020-10-12,25,13,34,17,15,76,218,40,75,22,131,97,9,78,15,76,941
2020-10-13,33,6,18,12,14,46,183,80,54,31,141,96,19,85,10,70,898
2020-10-14,33,27,16,17,7,40,195,32,48,22,105,85,14,81,14,86,822
2020-10-15,25,13,24,14,19,66,189,42,39,5,146,121,18,85,23,60,889
2020-10-16,30,21,26,18,17,73,268,36,51,17,226,118,28,144,9,59,1141
2020-10-17,28,18,41,18,18,88,252,124,93,41,171,69,34,139,17,38,1189
2020-10-18,29,12,17,16,20,85,255,74,77,21,181,143,21,133,6,59,1149
2020-10-19,15,18,23,26,7,55,269,66,75,33,126,97,23,88,22,91,1034
2020-10-20,11,5,34,11,14,48,146,48,46,12,113,71,30,62,15,60,726
2020-10-21,27,31,12,11,14,51,189,48,39,22,119,108,18,77,19,45,830
2020-10-22,30,21,29,19,11,55,253,56,57,31,136,80,39,141,12,60,1030
2020-10-23,26,22,25,16,10,56,232,43,77,32,186,195,28,152,8,52,1160
2020-10-24,28,14,33,10,15,63,256,59,77,27,196,116,29,140,6,52,1121
2020-10-25,28,14,25,13,13,61,241,48,80,19,164,113,36,117,0,54,1026
