Dato,Fecha,Total
Casos recuperados por FIS,2020-03-05,
Casos recuperados por FD,2020-03-05,0.0
Casos confirmados recuperados,2020-03-05,
Casos activos confirmados,2020-03-05,
Casos probables acumulados,2020-03-05,
Casos activos probables,2020-03-05,
Casos nuevos sin notificar,2020-03-05,
"Casos 
activos confirmados",2020-03-05,
Casos nuevos con sintomas,2020-03-06,1.0
Casos totales,2020-03-06,5.0
Casos recuperados,2020-03-06,0.0
Fallecidos,2020-03-06,0.0
Casos activos,2020-03-06,5.0
Casos nuevos sin sintomas,2020-03-06,
Casos nuevos totales,2020-03-06,1.0
Casos activos por FD,2020-03-06,5.0
Casos activos por FIS,2020-03-06,
Casos recuperados por FIS,2020-03-06,
Casos recuperados por FD,2020-03-06,0.0
Casos confirmados recuperados,2020-03-06,
Casos activos confirmados,2020-03-06,
Casos probables acumulados,2020-03-06,
Casos activos probables,2020-03-06,
Casos nuevos sin notificar,2020-03-06,
"Casos 
activos confirmados",2020-03-06,
Casos nuevos con sintomas,2020-03-07,2.0
Casos totales,2020-03-07,7.0
Casos recuperados,2020-03-07,0.0
Fallecidos,2020-03-07,0.0
Casos activos,2020-03-07,7.0
Casos nuevos sin sintomas,2020-03-07,
Casos nuevos totales,2020-03-07,2.0
Casos activos por FD,2020-03-07,7.0
Casos activos por FIS,2020-03-07,
Casos recuperados por FIS,2020-03-07,
Casos recuperados por FD,2020-03-07,0.0
Casos confirmados recuperados,2020-03-07,
Casos activos confirmados,2020-03-07,
Casos probables acumulados,2020-03-07,
Casos activos probables,2020-03-07,
Casos nuevos sin notificar,2020-03-07,
"Casos 
activos confirmados",2020-03-07,
Casos nuevos con sintomas,2020-03-08,3.0
Casos totales,2020-03-08,10.0
Casos recuperados,2020-03-08,0.0
Fallecidos,2020-03-08,0.0
Casos activos,2020-03-08,10.0
Casos nuevos sin sintomas,2020-03-08,
Casos nuevos totales,2020-03-08,3.0
Casos activos por FD,2020-03-08,10.0
Casos activos por FIS,2020-03-08,
Casos recuperados por FIS,2020-03-08,
Casos recuperados por FD,2020-03-08,0.0
Casos confirmados recuperados,2020-03-08,
Casos activos confirmados,2020-03-08,
Casos probables acumulados,2020-03-08,
Casos activos probables,2020-03-08,
Casos nuevos sin notificar,2020-03-08,
"Casos 
activos confirmados",2020-03-08,
Casos nuevos con sintomas,2020-03-09,5.0
Casos totales,2020-03-09,15.0
Casos recuperados,2020-03-09,0.0
Fallecidos,2020-03-09,0.0
Casos activos,2020-03-09,15.0
Casos nuevos sin sintomas,2020-03-09,
Casos nuevos totales,2020-03-09,5.0
Casos activos por FD,2020-03-09,15.0
Casos activos por FIS,2020-03-09,
Casos recuperados por FIS,2020-03-09,
Casos recuperados por FD,2020-03-09,0.0
Casos confirmados recuperados,2020-03-09,
Casos activos confirmados,2020-03-09,
Casos probables acumulados,2020-03-09,
Casos activos probables,2020-03-09,
Casos nuevos sin notificar,2020-03-09,
"Casos 
activos confirmados",2020-03-09,
Casos nuevos con sintomas,2020-03-10,2.0
Casos totales,2020-03-10,17.0
Casos recuperados,2020-03-10,0.0
Fallecidos,2020-03-10,0.0
Casos activos,2020-03-10,17.0
Casos nuevos sin sintomas,2020-03-10,
Casos nuevos totales,2020-03-10,2.0
Casos activos por FD,2020-03-10,17.0
Casos activos por FIS,2020-03-10,
Casos recuperados por FIS,2020-03-10,
Casos recuperados por FD,2020-03-10,0.0
Casos confirmados recuperados,2020-03-10,
Casos activos confirmados,2020-03-10,
Casos probables acumulados,2020-03-10,
Casos activos probables,2020-03-10,
Casos nuevos sin notificar,2020-03-10,
"Casos 
activos confirmados",2020-03-10,
Casos nuevos con sintomas,2020-03-11,6.0
Casos totales,2020-03-11,23.0
Casos recuperados,2020-03-11,0.0
Fallecidos,2020-03-11,0.0
Casos activos,2020-03-11,23.0
Casos nuevos sin sintomas,2020-03-11,
Casos nuevos totales,2020-03-11,6.0
Casos activos por FD,2020-03-11,23.0
Casos activos por FIS,2020-03-11,
Casos recuperados por FIS,2020-03-11,
Casos recuperados por FD,2020-03-11,0.0
Casos confirmados recuperados,2020-03-11,
Casos activos confirmados,2020-03-11,
Casos probables acumulados,2020-03-11,
Casos activos probables,2020-03-11,
Casos nuevos sin notificar,2020-03-11,
"Casos 
activos confirmados",2020-03-11,
Casos nuevos con sintomas,2020-03-12,10.0
Casos totales,2020-03-12,33.0
Casos recuperados,2020-03-12,0.0
Fallecidos,2020-03-12,0.0
Casos activos,2020-03-12,33.0
Casos nuevos sin sintomas,2020-03-12,
Casos nuevos totales,2020-03-12,10.0
Casos activos por FD,2020-03-12,33.0
Casos activos por FIS,2020-03-12,
Casos recuperados por FIS,2020-03-12,
Casos recuperados por FD,2020-03-12,0.0
Casos confirmados recuperados,2020-03-12,
Casos activos confirmados,2020-03-12,
Casos probables acumulados,2020-03-12,
Casos activos probables,2020-03-12,
Casos nuevos sin notificar,2020-03-12,
"Casos 
activos confirmados",2020-03-12,
Casos nuevos con sintomas,2020-03-13,10.0
Casos totales,2020-03-13,43.0
Casos recuperados,2020-03-13,0.0
Fallecidos,2020-03-13,0.0
Casos activos,2020-03-13,43.0
Casos nuevos sin sintomas,2020-03-13,
Casos nuevos totales,2020-03-13,10.0
Casos activos por FD,2020-03-13,43.0
Casos activos por FIS,2020-03-13,
Casos recuperados por FIS,2020-03-13,
Casos recuperados por FD,2020-03-13,0.0
Casos confirmados recuperados,2020-03-13,
Casos activos confirmados,2020-03-13,
Casos probables acumulados,2020-03-13,
Casos activos probables,2020-03-13,
Casos nuevos sin notificar,2020-03-13,
"Casos 
activos confirmados",2020-03-13,
Casos nuevos con sintomas,2020-03-14,18.0
Casos totales,2020-03-14,61.0
Casos recuperados,2020-03-14,0.0
Fallecidos,2020-03-14,0.0
Casos activos,2020-03-14,61.0
Casos nuevos sin sintomas,2020-03-14,
Casos nuevos totales,2020-03-14,18.0
Casos activos por FD,2020-03-14,61.0
Casos activos por FIS,2020-03-14,
Casos recuperados por FIS,2020-03-14,
Casos recuperados por FD,2020-03-14,0.0
Casos confirmados recuperados,2020-03-14,
Casos activos confirmados,2020-03-14,
Casos probables acumulados,2020-03-14,
Casos activos probables,2020-03-14,
Casos nuevos sin notificar,2020-03-14,
"Casos 
activos confirmados",2020-03-14,
Casos nuevos con sintomas,2020-03-15,14.0
Casos totales,2020-03-15,75.0
Casos recuperados,2020-03-15,0.0
Fallecidos,2020-03-15,0.0
Casos activos,2020-03-15,75.0
Casos nuevos sin sintomas,2020-03-15,
Casos nuevos totales,2020-03-15,14.0
Casos activos por FD,2020-03-15,75.0
Casos activos por FIS,2020-03-15,
Casos recuperados por FIS,2020-03-15,
Casos recuperados por FD,2020-03-15,0.0
Casos confirmados recuperados,2020-03-15,
Casos activos confirmados,2020-03-15,
Casos probables acumulados,2020-03-15,
Casos activos probables,2020-03-15,
Casos nuevos sin notificar,2020-03-15,
"Casos 
activos confirmados",2020-03-15,
Casos nuevos con sintomas,2020-03-16,81.0
Casos totales,2020-03-16,156.0
Casos recuperados,2020-03-16,0.0
Fallecidos,2020-03-16,0.0
Casos activos,2020-03-16,156.0
Casos nuevos sin sintomas,2020-03-16,
Casos nuevos totales,2020-03-16,81.0
Casos activos por FD,2020-03-16,156.0
Casos activos por FIS,2020-03-16,
Casos recuperados por FIS,2020-03-16,
Casos recuperados por FD,2020-03-16,0.0
Casos confirmados recuperados,2020-03-16,
Casos activos confirmados,2020-03-16,
Casos probables acumulados,2020-03-16,
Casos activos probables,2020-03-16,
Casos nuevos sin notificar,2020-03-16,
"Casos 
activos confirmados",2020-03-16,
Casos nuevos con sintomas,2020-03-17,45.0
Casos totales,2020-03-17,201.0
Casos recuperados,2020-03-17,1.0
Fallecidos,2020-03-17,0.0
Casos activos,2020-03-17,200.0
Casos nuevos sin sintomas,2020-03-17,
Casos nuevos totales,2020-03-17,45.0
Casos activos por FD,2020-03-17,200.0
Casos activos por FIS,2020-03-17,
Casos recuperados por FIS,2020-03-17,
Casos recuperados por FD,2020-03-17,1.0
Casos confirmados recuperados,2020-03-17,
Casos activos confirmados,2020-03-17,
Casos probables acumulados,2020-03-17,
Casos activos probables,2020-03-17,
Casos nuevos sin notificar,2020-03-17,
"Casos 
activos confirmados",2020-03-17,
Casos nuevos con sintomas,2020-03-18,37.0
Casos totales,2020-03-18,238.0
Casos recuperados,2020-03-18,3.0
Fallecidos,2020-03-18,0.0
Casos activos,2020-03-18,235.0
Casos nuevos sin sintomas,2020-03-18,
Casos nuevos totales,2020-03-18,37.0
Casos activos por FD,2020-03-18,235.0
Casos activos por FIS,2020-03-18,
Casos recuperados por FIS,2020-03-18,
Casos recuperados por FD,2020-03-18,3.0
Casos confirmados recuperados,2020-03-18,
Casos activos confirmados,2020-03-18,
Casos probables acumulados,2020-03-18,
Casos activos probables,2020-03-18,
Casos nuevos sin notificar,2020-03-18,
"Casos 
activos confirmados",2020-03-18,
Casos nuevos con sintomas,2020-03-19,104.0
Casos totales,2020-03-19,342.0
Casos recuperados,2020-03-19,4.0
Fallecidos,2020-03-19,0.0
Casos activos,2020-03-19,338.0
Casos nuevos sin sintomas,2020-03-19,
Casos nuevos totales,2020-03-19,104.0
Casos activos por FD,2020-03-19,338.0
Casos activos por FIS,2020-03-19,
Casos recuperados por FIS,2020-03-19,
Casos recuperados por FD,2020-03-19,4.0
Casos confirmados recuperados,2020-03-19,
Casos activos confirmados,2020-03-19,
Casos probables acumulados,2020-03-19,
Casos activos probables,2020-03-19,
Casos nuevos sin notificar,2020-03-19,
"Casos 
activos confirmados",2020-03-19,
Casos nuevos con sintomas,2020-03-20,92.0
Casos totales,2020-03-20,434.0
Casos recuperados,2020-03-20,5.0
Fallecidos,2020-03-20,0.0
Casos activos,2020-03-20,429.0
Casos nuevos sin sintomas,2020-03-20,
Casos nuevos totales,2020-03-20,92.0
Casos activos por FD,2020-03-20,429.0
Casos activos por FIS,2020-03-20,
Casos recuperados por FIS,2020-03-20,
Casos recuperados por FD,2020-03-20,5.0
Casos confirmados recuperados,2020-03-20,
Casos activos confirmados,2020-03-20,
Casos probables acumulados,2020-03-20,
Casos activos probables,2020-03-20,
Casos nuevos sin notificar,2020-03-20,
"Casos 
activos confirmados",2020-03-20,
Casos nuevos con sintomas,2020-03-21,103.0
Casos totales,2020-03-21,537.0
Casos recuperados,2020-03-21,6.0
Fallecidos,2020-03-21,0.0
Casos activos,2020-03-21,531.0
Casos nuevos sin sintomas,2020-03-21,
Casos nuevos totales,2020-03-21,103.0
Casos activos por FD,2020-03-21,531.0
Casos activos por FIS,2020-03-21,
Casos recuperados por FIS,2020-03-21,
Casos recuperados por FD,2020-03-21,6.0
Casos confirmados recuperados,2020-03-21,
Casos activos confirmados,2020-03-21,
Casos probables acumulados,2020-03-21,
Casos activos probables,2020-03-21,
Casos nuevos sin notificar,2020-03-21,
"Casos 
activos confirmados",2020-03-21,
Casos nuevos con sintomas,2020-03-22,95.0
Casos totales,2020-03-22,632.0
Casos recuperados,2020-03-22,8.0
Fallecidos,2020-03-22,1.0
Casos activos,2020-03-22,623.0
Casos nuevos sin sintomas,2020-03-22,
Casos nuevos totales,2020-03-22,95.0
Casos activos por FD,2020-03-22,623.0
Casos activos por FIS,2020-03-22,
Casos recuperados por FIS,2020-03-22,
Casos recuperados por FD,2020-03-22,8.0
Casos confirmados recuperados,2020-03-22,
Casos activos confirmados,2020-03-22,
Casos probables acumulados,2020-03-22,
Casos activos probables,2020-03-22,
Casos nuevos sin notificar,2020-03-22,
"Casos 
activos confirmados",2020-03-22,
Casos nuevos con sintomas,2020-03-23,114.0
Casos totales,2020-03-23,746.0
Casos recuperados,2020-03-23,11.0
Fallecidos,2020-03-23,1.0
Casos activos,2020-03-23,734.0
Casos nuevos sin sintomas,2020-03-23,
Casos nuevos totales,2020-03-23,114.0
Casos activos por FD,2020-03-23,734.0
Casos activos por FIS,2020-03-23,
Casos recuperados por FIS,2020-03-23,
Casos recuperados por FD,2020-03-23,11.0
Casos confirmados recuperados,2020-03-23,
Casos activos confirmados,2020-03-23,
Casos probables acumulados,2020-03-23,
Casos activos probables,2020-03-23,
Casos nuevos sin notificar,2020-03-23,
"Casos 
activos confirmados",2020-03-23,
Casos nuevos con sintomas,2020-03-24,176.0
Casos totales,2020-03-24,922.0
Casos recuperados,2020-03-24,17.0
Fallecidos,2020-03-24,2.0
Casos activos,2020-03-24,903.0
Casos nuevos sin sintomas,2020-03-24,
Casos nuevos totales,2020-03-24,176.0
Casos activos por FD,2020-03-24,903.0
Casos activos por FIS,2020-03-24,
Casos recuperados por FIS,2020-03-24,
Casos recuperados por FD,2020-03-24,17.0
Casos confirmados recuperados,2020-03-24,
Casos activos confirmados,2020-03-24,
Casos probables acumulados,2020-03-24,
Casos activos probables,2020-03-24,
Casos nuevos sin notificar,2020-03-24,
"Casos 
activos confirmados",2020-03-24,
Casos nuevos con sintomas,2020-03-25,220.0
Casos totales,2020-03-25,1142.0
Casos recuperados,2020-03-25,22.0
Fallecidos,2020-03-25,3.0
Casos activos,2020-03-25,1117.0
Casos nuevos sin sintomas,2020-03-25,
Casos nuevos totales,2020-03-25,220.0
Casos activos por FD,2020-03-25,1117.0
Casos activos por FIS,2020-03-25,
Casos recuperados por FIS,2020-03-25,
Casos recuperados por FD,2020-03-25,22.0
Casos confirmados recuperados,2020-03-25,
Casos activos confirmados,2020-03-25,
Casos probables acumulados,2020-03-25,
Casos activos probables,2020-03-25,
Casos nuevos sin notificar,2020-03-25,
"Casos 
activos confirmados",2020-03-25,
Casos nuevos con sintomas,2020-03-26,164.0
Casos totales,2020-03-26,1306.0
Casos recuperados,2020-03-26,33.0
Fallecidos,2020-03-26,4.0
Casos activos,2020-03-26,1269.0
Casos nuevos sin sintomas,2020-03-26,
Casos nuevos totales,2020-03-26,164.0
Casos activos por FD,2020-03-26,1269.0
Casos activos por FIS,2020-03-26,
Casos recuperados por FIS,2020-03-26,
Casos recuperados por FD,2020-03-26,33.0
Casos confirmados recuperados,2020-03-26,
Casos activos confirmados,2020-03-26,
Casos probables acumulados,2020-03-26,
Casos activos probables,2020-03-26,
Casos nuevos sin notificar,2020-03-26,
"Casos 
activos confirmados",2020-03-26,
Casos nuevos con sintomas,2020-03-27,304.0
Casos totales,2020-03-27,1610.0
Casos recuperados,2020-03-27,43.0
Fallecidos,2020-03-27,5.0
Casos activos,2020-03-27,1562.0
Casos nuevos sin sintomas,2020-03-27,
Casos nuevos totales,2020-03-27,304.0
Casos activos por FD,2020-03-27,1562.0
Casos activos por FIS,2020-03-27,
Casos recuperados por FIS,2020-03-27,
Casos recuperados por FD,2020-03-27,43.0
Casos confirmados recuperados,2020-03-27,
Casos activos confirmados,2020-03-27,
Casos probables acumulados,2020-03-27,
Casos activos probables,2020-03-27,
Casos nuevos sin notificar,2020-03-27,
"Casos 
activos confirmados",2020-03-27,
Casos nuevos con sintomas,2020-03-28,299.0
Casos totales,2020-03-28,1909.0
Casos recuperados,2020-03-28,61.0
Fallecidos,2020-03-28,6.0
Casos activos,2020-03-28,1842.0
Casos nuevos sin sintomas,2020-03-28,
Casos nuevos totales,2020-03-28,299.0
Casos activos por FD,2020-03-28,1842.0
Casos activos por FIS,2020-03-28,
Casos recuperados por FIS,2020-03-28,
Casos recuperados por FD,2020-03-28,61.0
Casos confirmados recuperados,2020-03-28,
Casos activos confirmados,2020-03-28,
Casos probables acumulados,2020-03-28,
Casos activos probables,2020-03-28,
Casos nuevos sin notificar,2020-03-28,
"Casos 
activos confirmados",2020-03-28,
Casos nuevos con sintomas,2020-03-29,230.0
Casos totales,2020-03-29,2139.0
Casos recuperados,2020-03-29,75.0
Fallecidos,2020-03-29,7.0
Casos activos,2020-03-29,2057.0
Casos nuevos sin sintomas,2020-03-29,
Casos nuevos totales,2020-03-29,230.0
Casos activos por FD,2020-03-29,2057.0
Casos activos por FIS,2020-03-29,
Casos recuperados por FIS,2020-03-29,
Casos recuperados por FD,2020-03-29,75.0
Casos confirmados recuperados,2020-03-29,
Casos activos confirmados,2020-03-29,
Casos probables acumulados,2020-03-29,
Casos activos probables,2020-03-29,
Casos nuevos sin notificar,2020-03-29,
"Casos 
activos confirmados",2020-03-29,
Casos nuevos con sintomas,2020-03-30,310.0
Casos totales,2020-03-30,2449.0
Casos recuperados,2020-03-30,156.0
Fallecidos,2020-03-30,8.0
Casos activos,2020-03-30,2285.0
Casos nuevos sin sintomas,2020-03-30,
Casos nuevos totales,2020-03-30,310.0
Casos activos por FD,2020-03-30,2285.0
Casos activos por FIS,2020-03-30,
Casos recuperados por FIS,2020-03-30,
Casos recuperados por FD,2020-03-30,156.0
Casos confirmados recuperados,2020-03-30,
Casos activos confirmados,2020-03-30,
Casos probables acumulados,2020-03-30,
Casos activos probables,2020-03-30,
Casos nuevos sin notificar,2020-03-30,
"Casos 
activos confirmados",2020-03-30,
Casos nuevos con sintomas,2020-03-31,289.0
Casos totales,2020-03-31,2738.0
Casos recuperados,2020-03-31,201.0
Fallecidos,2020-03-31,12.0
Casos activos,2020-03-31,2525.0
Casos nuevos sin sintomas,2020-03-31,
Casos nuevos totales,2020-03-31,289.0
Casos activos por FD,2020-03-31,2525.0
Casos activos por FIS,2020-03-31,
Casos recuperados por FIS,2020-03-31,
Casos recuperados por FD,2020-03-31,201.0
Casos confirmados recuperados,2020-03-31,
Casos activos confirmados,2020-03-31,
Casos probables acumulados,2020-03-31,
Casos activos probables,2020-03-31,
Casos nuevos sin notificar,2020-03-31,
"Casos 
activos confirmados",2020-03-31,
Casos nuevos con sintomas,2020-04-01,293.0
Casos totales,2020-04-01,3031.0
Casos recuperados,2020-04-01,234.0
Fallecidos,2020-04-01,16.0
Casos activos,2020-04-01,2781.0
Casos nuevos sin sintomas,2020-04-01,
Casos nuevos totales,2020-04-01,293.0
Casos activos por FD,2020-04-01,2781.0
Casos activos por FIS,2020-04-01,
Casos recuperados por FIS,2020-04-01,
Casos recuperados por FD,2020-04-01,234.0
Casos confirmados recuperados,2020-04-01,
Casos activos confirmados,2020-04-01,
Casos probables acumulados,2020-04-01,
Casos activos probables,2020-04-01,
Casos nuevos sin notificar,2020-04-01,
"Casos 
activos confirmados",2020-04-01,
Casos nuevos con sintomas,2020-04-02,373.0
Casos totales,2020-04-02,3404.0
Casos recuperados,2020-04-02,335.0
Fallecidos,2020-04-02,18.0
Casos activos,2020-04-02,3051.0
Casos nuevos sin sintomas,2020-04-02,
Casos nuevos totales,2020-04-02,373.0
Casos activos por FD,2020-04-02,3051.0
Casos activos por FIS,2020-04-02,
Casos recuperados por FIS,2020-04-02,
Casos recuperados por FD,2020-04-02,335.0
Casos confirmados recuperados,2020-04-02,
Casos activos confirmados,2020-04-02,
Casos probables acumulados,2020-04-02,
Casos activos probables,2020-04-02,
Casos nuevos sin notificar,2020-04-02,
"Casos 
activos confirmados",2020-04-02,
Casos nuevos con sintomas,2020-04-03,333.0
Casos totales,2020-04-03,3737.0
Casos recuperados,2020-04-03,427.0
Fallecidos,2020-04-03,22.0
Casos activos,2020-04-03,3288.0
Casos nuevos sin sintomas,2020-04-03,
Casos nuevos totales,2020-04-03,333.0
Casos activos por FD,2020-04-03,3288.0
Casos activos por FIS,2020-04-03,
Casos recuperados por FIS,2020-04-03,
Casos recuperados por FD,2020-04-03,427.0
Casos confirmados recuperados,2020-04-03,
Casos activos confirmados,2020-04-03,
Casos probables acumulados,2020-04-03,
Casos activos probables,2020-04-03,
Casos nuevos sin notificar,2020-04-03,
"Casos 
activos confirmados",2020-04-03,
Casos nuevos con sintomas,2020-04-04,424.0
Casos totales,2020-04-04,4161.0
Casos recuperados,2020-04-04,528.0
Fallecidos,2020-04-04,27.0
Casos activos,2020-04-04,3606.0
Casos nuevos sin sintomas,2020-04-04,
Casos nuevos totales,2020-04-04,424.0
Casos activos por FD,2020-04-04,3606.0
Casos activos por FIS,2020-04-04,
Casos recuperados por FIS,2020-04-04,
Casos recuperados por FD,2020-04-04,528.0
Casos confirmados recuperados,2020-04-04,
Casos activos confirmados,2020-04-04,
Casos probables acumulados,2020-04-04,
Casos activos probables,2020-04-04,
Casos nuevos sin notificar,2020-04-04,
"Casos 
activos confirmados",2020-04-04,
Casos nuevos con sintomas,2020-04-05,310.0
Casos totales,2020-04-05,4471.0
Casos recuperados,2020-04-05,617.0
Fallecidos,2020-04-05,34.0
Casos activos,2020-04-05,3820.0
Casos nuevos sin sintomas,2020-04-05,
Casos nuevos totales,2020-04-05,310.0
Casos activos por FD,2020-04-05,3820.0
Casos activos por FIS,2020-04-05,
Casos recuperados por FIS,2020-04-05,
Casos recuperados por FD,2020-04-05,617.0
Casos confirmados recuperados,2020-04-05,
Casos activos confirmados,2020-04-05,
Casos probables acumulados,2020-04-05,
Casos activos probables,2020-04-05,
Casos nuevos sin notificar,2020-04-05,
"Casos 
activos confirmados",2020-04-05,
Casos nuevos con sintomas,2020-04-06,344.0
Casos totales,2020-04-06,4815.0
Casos recuperados,2020-04-06,728.0
Fallecidos,2020-04-06,37.0
Casos activos,2020-04-06,4050.0
Casos nuevos sin sintomas,2020-04-06,
Casos nuevos totales,2020-04-06,344.0
Casos activos por FD,2020-04-06,4050.0
Casos activos por FIS,2020-04-06,
Casos recuperados por FIS,2020-04-06,
Casos recuperados por FD,2020-04-06,728.0
Casos confirmados recuperados,2020-04-06,
Casos activos confirmados,2020-04-06,
Casos probables acumulados,2020-04-06,
Casos activos probables,2020-04-06,
Casos nuevos sin notificar,2020-04-06,
"Casos 
activos confirmados",2020-04-06,
Casos nuevos con sintomas,2020-04-07,301.0
Casos totales,2020-04-07,5116.0
Casos recuperados,2020-04-07,898.0
Fallecidos,2020-04-07,43.0
Casos activos,2020-04-07,4175.0
Casos nuevos sin sintomas,2020-04-07,
Casos nuevos totales,2020-04-07,301.0
Casos activos por FD,2020-04-07,4175.0
Casos activos por FIS,2020-04-07,
Casos recuperados por FIS,2020-04-07,
Casos recuperados por FD,2020-04-07,898.0
Casos confirmados recuperados,2020-04-07,
Casos activos confirmados,2020-04-07,
Casos probables acumulados,2020-04-07,
Casos activos probables,2020-04-07,
Casos nuevos sin notificar,2020-04-07,
"Casos 
activos confirmados",2020-04-07,
Casos nuevos con sintomas,2020-04-08,430.0
Casos totales,2020-04-08,5546.0
Casos recuperados,2020-04-08,1115.0
Fallecidos,2020-04-08,48.0
Casos activos,2020-04-08,4383.0
Casos nuevos sin sintomas,2020-04-08,
Casos nuevos totales,2020-04-08,430.0
Casos activos por FD,2020-04-08,4383.0
Casos activos por FIS,2020-04-08,
Casos recuperados por FIS,2020-04-08,
Casos recuperados por FD,2020-04-08,1115.0
Casos confirmados recuperados,2020-04-08,
Casos activos confirmados,2020-04-08,
Casos probables acumulados,2020-04-08,
Casos activos probables,2020-04-08,
Casos nuevos sin notificar,2020-04-08,
"Casos 
activos confirmados",2020-04-08,
Casos nuevos con sintomas,2020-04-09,426.0
Casos totales,2020-04-09,5972.0
Casos recuperados,2020-04-09,1274.0
Fallecidos,2020-04-09,57.0
Casos activos,2020-04-09,4641.0
Casos nuevos sin sintomas,2020-04-09,
Casos nuevos totales,2020-04-09,426.0
Casos activos por FD,2020-04-09,4641.0
Casos activos por FIS,2020-04-09,
Casos recuperados por FIS,2020-04-09,
Casos recuperados por FD,2020-04-09,1274.0
Casos confirmados recuperados,2020-04-09,
Casos activos confirmados,2020-04-09,
Casos probables acumulados,2020-04-09,
Casos activos probables,2020-04-09,
Casos nuevos sin notificar,2020-04-09,
"Casos 
activos confirmados",2020-04-09,
Casos nuevos con sintomas,2020-04-10,529.0
Casos totales,2020-04-10,6501.0
Casos recuperados,2020-04-10,1571.0
Fallecidos,2020-04-10,65.0
Casos activos,2020-04-10,4865.0
Casos nuevos sin sintomas,2020-04-10,
Casos nuevos totales,2020-04-10,529.0
Casos activos por FD,2020-04-10,4865.0
Casos activos por FIS,2020-04-10,
Casos recuperados por FIS,2020-04-10,
Casos recuperados por FD,2020-04-10,1571.0
Casos confirmados recuperados,2020-04-10,
Casos activos confirmados,2020-04-10,
Casos probables acumulados,2020-04-10,
Casos activos probables,2020-04-10,
Casos nuevos sin notificar,2020-04-10,
"Casos 
activos confirmados",2020-04-10,
Casos nuevos con sintomas,2020-04-11,426.0
Casos totales,2020-04-11,6927.0
Casos recuperados,2020-04-11,1864.0
Fallecidos,2020-04-11,73.0
Casos activos,2020-04-11,4990.0
Casos nuevos sin sintomas,2020-04-11,
Casos nuevos totales,2020-04-11,426.0
Casos activos por FD,2020-04-11,4990.0
Casos activos por FIS,2020-04-11,
Casos recuperados por FIS,2020-04-11,
Casos recuperados por FD,2020-04-11,1864.0
Casos confirmados recuperados,2020-04-11,
Casos activos confirmados,2020-04-11,
Casos probables acumulados,2020-04-11,
Casos activos probables,2020-04-11,
Casos nuevos sin notificar,2020-04-11,
"Casos 
activos confirmados",2020-04-11,
Casos nuevos con sintomas,2020-04-12,286.0
Casos totales,2020-04-12,7213.0
Casos recuperados,2020-04-12,2059.0
Fallecidos,2020-04-12,80.0
Casos activos,2020-04-12,5074.0
Casos nuevos sin sintomas,2020-04-12,
Casos nuevos totales,2020-04-12,286.0
Casos activos por FD,2020-04-12,5074.0
Casos activos por FIS,2020-04-12,
Casos recuperados por FIS,2020-04-12,
Casos recuperados por FD,2020-04-12,2059.0
Casos confirmados recuperados,2020-04-12,
Casos activos confirmados,2020-04-12,
Casos probables acumulados,2020-04-12,
Casos activos probables,2020-04-12,
