Fecha,Servicio salud,Codigo region,Region,Camas ocupadas intensivo,Camas totales intensivo,Camas ocupadas intermedio,Camas totales intermedio,Vmi covid19 confirmados,Vmi covid19 sospechosos,Vmi ocupados,Vmi totales
2020-04-18,SS ANTOFAGASTA,02,Antofagasta,35,46,35.0,46,6,0,30,53
2020-04-18,SS ARAUCANÍA NORTE,09,Araucanía,5,9,5.0,4,3,1,5,14
2020-04-18,SS ARAUCANÍA SUR,09,Araucanía,52,79,19.0,20,40,2,48,69
2020-04-18,SS ARAUCO,08,Biobío,0,0,4.0,4,0,0,0,0
2020-04-18,SS ARICA,15,Arica y Parinacota,12,18,0.0,12,5,2,8,15
2020-04-18,SS ATACAMA,03,Atacama,6,14,7.0,18,1,0,5,25
2020-04-18,SS BÍO BÍO,08,Biobío,12,28,13.0,42,2,0,8,54
2020-04-18,SS CHILOÉ,10,Los Lagos,7,8,0.0,0,1,0,6,8
2020-04-18,SS CONCEPCIÓN,08,Biobío,31,56,16.0,37,9,0,22,60
2020-04-18,SS COQUIMBO,04,Coquimbo,22,36,15.0,29,0,0,18,43
2020-04-18,SS DEL MAULE,07,Maule,27,51,21.0,48,10,2,15,58
2020-04-18,SS DEL RELONCAVÍ,10,Los Lagos,26,29,48.0,55,9,0,20,31
2020-04-18,SS IQUIQUE,01,Tarapacá,5,14,6.0,12,1,0,4,11
2020-04-18,SS LIBERTADOR B. O'HIGGINS,06,Lib. Gral. Bernardo O'Higgins,29,67,47.0,76,4,2,35,77
2020-04-18,SS MAGALLANES,12,Magallanes y Antártica Chilena,32,39,6.0,6,19,2,20,31
2020-04-18,SS METROPOLITANO CENTRAL,13,Metropolitana,114,145,101.0,156,43,4,80,197
2020-04-18,SS METROPOLITANO NORTE,13,Metropolitana,80,154,127.0,183,24,1,62,162
2020-04-18,SS METROPOLITANO OCCIDENTE,13,Metropolitana,50,64,64.0,70,20,1,43,78
2020-04-18,SS METROPOLITANO ORIENTE,13,Metropolitana,98,217,201.0,335,48,1,63,260
2020-04-18,SS METROPOLITANO SUR,13,Metropolitana,45,61,88.0,109,20,3,44,66
2020-04-18,SS METROPOLITANO SUR ORIENTE,13,Metropolitana,82,88,66.0,78,32,5,62,49
2020-04-18,SS ÑUBLE,16,Ñuble,14,27,7.0,11,12,0,14,43
2020-04-18,SS OSORNO,10,Los Lagos,24,30,2.0,7,18,0,22,29
2020-04-18,SS TALCAHUANO,08,Biobío,21,34,21.0,42,6,1,15,33
2020-04-18,SS VALDIVIA,14,Los Ríos,16,23,9.0,14,5,0,13,17
2020-04-18,SS VALPARAISO SAN ANTONIO,05,Valparaíso,29,33,32.0,41,4,1,19,34
2020-04-18,SS VIÑA DEL MAR QUILLOTA,05,Valparaíso,72,110,52.0,61,10,1,33,108
2020-04-19,SS ACONGAGUA,05,Valparaíso,7,16,4.0,17,0,0,4,16
2020-04-19,SS AISÉN,11,Aysén del Gral. C. Ibáñez del Campo,1,8,0.0,6,0,0,1,17
2020-04-19,SS ANTOFAGASTA,02,Antofagasta,36,47,34.0,46,7,0,32,53
2020-04-19,SS ARAUCANÍA NORTE,09,Araucanía,5,7,0.0,6,3,1,5,14
2020-04-19,SS ARAUCANÍA SUR,09,Araucanía,54,79,21.0,33,35,0,42,78
2020-04-19,SS ARAUCO,08,Biobío,0,0,4.0,4,0,0,0,0
2020-04-19,SS ARICA,15,Arica y Parinacota,10,17,9.0,12,4,2,10,15
2020-04-19,SS ATACAMA,03,Atacama,6,14,8.0,18,1,0,5,25
2020-04-19,SS BÍO BÍO,08,Biobío,17,28,13.0,42,2,1,13,54
2020-04-19,SS CHILOÉ,10,Los Lagos,7,8,0.0,0,1,0,7,8
2020-04-19,SS CONCEPCIÓN,08,Biobío,29,62,15.0,37,10,1,21,65
2020-04-19,SS COQUIMBO,04,Coquimbo,22,36,20.0,29,0,0,15,38
2020-04-19,SS DEL MAULE,07,Maule,30,51,18.0,48,9,1,21,58
2020-04-19,SS DEL RELONCAVÍ,10,Los Lagos,22,29,44.0,61,9,0,16,31
2020-04-19,SS IQUIQUE,01,Tarapacá,4,14,6.0,12,1,0,2,11
2020-04-19,SS LIBERTADOR B. O'HIGGINS,06,Lib. Gral. Bernardo O'Higgins,41,67,52.0,76,4,3,30,77
2020-04-19,SS MAGALLANES,12,Magallanes y Antártica Chilena,34,39,6.0,6,19,2,23,31
2020-04-19,SS METROPOLITANO CENTRAL,13,Metropolitana,112,145,91.0,156,45,6,83,197
2020-04-19,SS METROPOLITANO NORTE,13,Metropolitana,83,154,131.0,183,23,2,59,162
2020-04-19,SS METROPOLITANO OCCIDENTE,13,Metropolitana,49,64,53.0,69,16,3,38,78
2020-04-19,SS METROPOLITANO ORIENTE,13,Metropolitana,105,217,210.0,335,38,7,58,260
2020-04-19,SS METROPOLITANO SUR,13,Metropolitana,48,61,95.0,109,21,5,47,66
2020-04-19,SS METROPOLITANO SUR ORIENTE,13,Metropolitana,74,92,55.0,66,34,3,68,80
2020-04-19,SS ÑUBLE,16,Ñuble,15,27,7.0,11,13,0,15,43
2020-04-19,SS OSORNO,10,Los Lagos,24,28,10.0,12,17,0,20,29
2020-04-19,SS TALCAHUANO,08,Biobío,20,34,20.0,42,7,1,13,33
2020-04-19,SS VALDIVIA,14,Los Ríos,14,23,12.0,14,5,0,12,17
2020-04-19,SS VALPARAISO SAN ANTONIO,05,Valparaíso,30,33,30.0,41,5,0,19,34
2020-04-19,SS VIÑA DEL MAR QUILLOTA,05,Valparaíso,72,110,57.0,61,8,4,28,108
2020-04-21,SS ACONGAGUA,05,Valparaíso,7,15,8.0,18,0,0,7,16
2020-04-21,SS AISÉN,11,Aysén del Gral. C. Ibáñez del Campo,1,8,2.0,6,0,0,1,17
2020-04-21,SS ANTOFAGASTA,02,Antofagasta,39,59,31.0,50,11,2,38,64
2020-04-21,SS ARAUCANÍA NORTE,09,Araucanía,5,7,7.0,6,3,0,3,14
2020-04-21,SS ARAUCANÍA SUR,09,Araucanía,58,85,23.0,29,32,2,43,78
2020-04-21,SS ARAUCO,08,Biobío,0,0,4.0,4,0,0,0,0
2020-04-21,SS ARICA,15,Arica y Parinacota,10,22,14.0,16,4,0,6,14
2020-04-21,SS ATACAMA,03,Atacama,7,14,8.0,18,1,0,7,25
2020-04-21,SS BÍO BÍO,08,Biobío,11,28,13.0,42,1,0,6,54
2020-04-21,SS CHILOÉ,10,Los Lagos,7,8,0.0,0,1,0,6,8
2020-04-21,SS CONCEPCIÓN,08,Biobío,31,62,12.0,31,9,2,16,63
2020-04-21,SS COQUIMBO,04,Coquimbo,22,36,22.0,29,0,0,16,42
2020-04-21,SS DEL MAULE,07,Maule,29,51,19.0,48,7,4,20,59
2020-04-21,SS DEL RELONCAVÍ,10,Los Lagos,23,29,42.0,61,3,0,17,31
2020-04-21,SS IQUIQUE,01,Tarapacá,6,14,5.0,12,2,0,5,11
2020-04-21,SS LIBERTADOR B. O'HIGGINS,06,Lib. Gral. Bernardo O'Higgins,40,67,52.0,76,3,2,23,68
2020-04-21,SS MAGALLANES,12,Magallanes y Antártica Chilena,33,39,3.0,6,14,2,17,31
2020-04-21,SS METROPOLITANO CENTRAL,13,Metropolitana,116,145,103.0,146,46,5,88,197
2020-04-21,SS METROPOLITANO NORTE,13,Metropolitana,89,154,139.0,183,25,4,66,162
2020-04-21,SS METROPOLITANO OCCIDENTE,13,Metropolitana,44,64,53.0,69,17,1,37,77
2020-04-21,SS METROPOLITANO ORIENTE,13,Metropolitana,105,221,206.0,291,40,1,67,260
2020-04-21,SS METROPOLITANO SUR,13,Metropolitana,49,61,95.0,109,17,3,43,66
2020-04-21,SS METROPOLITANO SUR ORIENTE,13,Metropolitana,84,90,63.0,76,34,1,66,84
2020-04-21,SS ÑUBLE,16,Ñuble,15,27,5.0,13,11,0,12,43
2020-04-21,SS OSORNO,10,Los Lagos,23,28,9.0,7,16,0,20,29
2020-04-21,SS TALCAHUANO,08,Biobío,19,34,19.0,42,5,0,13,33
2020-04-21,SS VALDIVIA,14,Los Ríos,16,23,15.0,14,6,0,11,17
2020-04-21,SS VALPARAISO SAN ANTONIO,05,Valparaíso,29,33,34.0,41,5,0,19,34
2020-04-21,SS VIÑA DEL MAR QUILLOTA,05,Valparaíso,64,104,56.0,67,8,4,25,108
2020-04-22,SS ACONGAGUA,05,Valparaíso,10,15,7.0,18,0,0,9,16
2020-04-22,SS AISÉN,11,Aysén del Gral. C. Ibáñez del Campo,1,8,2.0,6,0,0,1,17
2020-04-22,SS ANTOFAGASTA,02,Antofagasta,48,66,24.0,42,12,2,38,60
2020-04-22,SS ARAUCANÍA NORTE,09,Araucanía,6,8,6.0,6,4,0,4,13
2020-04-22,SS ARAUCANÍA SUR,09,Araucanía,52,78,24.0,36,30,3,41,77
2020-04-22,SS ARAUCO,08,Biobío,1,1,2.0,4,0,0,1,1
2020-04-22,SS ARICA,15,Arica y Parinacota,10,22,8.0,16,4,0,8,14
2020-04-22,SS ATACAMA,03,Atacama,6,14,6.0,18,1,0,6,25
2020-04-22,SS BÍO BÍO,08,Biobío,11,28,12.0,42,1,0,6,54
2020-04-22,SS CHILOÉ,10,Los Lagos,8,8,0.0,0,1,0,6,8
2020-04-22,SS CONCEPCIÓN,08,Biobío,35,59,14.0,27,12,0,14,63
2020-04-22,SS COQUIMBO,04,Coquimbo,19,36,19.0,29,0,0,14,43
2020-04-22,SS DEL MAULE,07,Maule,30,51,21.0,54,8,6,23,59
2020-04-22,SS DEL RELONCAVÍ,10,Los Lagos,21,29,49.0,61,1,1,13,31
2020-04-22,SS IQUIQUE,01,Tarapacá,6,14,5.0,12,2,0,5,11
2020-04-22,SS LIBERTADOR B. O'HIGGINS,06,Lib. Gral. Bernardo O'Higgins,34,67,50.0,76,4,0,20,68
2020-04-22,SS MAGALLANES,12,Magallanes y Antártica Chilena,28,39,9.0,6,14,3,19,31
2020-04-22,SS METROPOLITANO CENTRAL,13,Metropolitana,122,145,111.0,156,47,6,90,197
2020-04-22,SS METROPOLITANO NORTE,13,Metropolitana,88,154,140.0,183,25,3,67,162
2020-04-22,SS METROPOLITANO OCCIDENTE,13,Metropolitana,46,60,57.0,66,17,1,42,75
2020-04-22,SS METROPOLITANO ORIENTE,13,Metropolitana,131,249,224.0,335,45,0,68,260
2020-04-22,SS METROPOLITANO SUR,13,Metropolitana,47,61,93.0,109,18,2,46,66
2020-04-22,SS METROPOLITANO SUR ORIENTE,13,Metropolitana,86,89,63.0,76,35,2,62,86
2020-04-22,SS ÑUBLE,16,Ñuble,15,27,4.0,13,11,0,12,42
2020-04-22,SS OSORNO,10,Los Lagos,21,28,7.0,7,12,0,15,29
2020-04-22,SS TALCAHUANO,08,Biobío,20,34,20.0,42,15,1,15,33
2020-04-22,SS VALDIVIA,14,Los Ríos,15,23,11.0,14,6,0,11,17
2020-04-22,SS VALPARAISO SAN ANTONIO,05,Valparaíso,28,32,36.0,42,5,0,20,34
2020-04-22,SS VIÑA DEL MAR QUILLOTA,05,Valparaíso,65,104,56.0,68,8,4,25,108
2020-04-23,SS ACONGAGUA,05,Valparaíso,16,15,8.0,18,0,0,9,16
2020-04-23,SS AISÉN,11,Aysén del Gral. C. Ibáñez del Campo,1,8,4.0,6,0,0,0,17
2020-04-23,SS ANTOFAGASTA,02,Antofagasta,45,58,29.0,40,14,0,39,58
2020-04-23,SS ARAUCANÍA NORTE,09,Araucanía,4,8,5.0,6,3,0,4,13
2020-04-23,SS ARAUCANÍA SUR,09,Araucanía,58,75,25.0,40,27,3,41,80
2020-04-23,SS ARAUCO,08,Biobío,0,0,2.0,4,0,0,1,1
2020-04-23,SS ARICA,15,Arica y Parinacota,14,22,7.0,16,5,0,7,14
2020-04-23,SS ATACAMA,03,Atacama,7,14,9.0,18,1,0,7,25
2020-04-23,SS BÍO BÍO,08,Biobío,19,28,14.0,42,1,0,11,54
2020-04-23,SS CHILOÉ,10,Los Lagos,7,8,0.0,0,2,0,7,8
2020-04-23,SS CONCEPCIÓN,08,Biobío,29,59,13.0,27,10,0,14,63
2020-04-23,SS COQUIMBO,04,Coquimbo,16,36,22.0,29,0,2,16,45
2020-04-23,SS DEL MAULE,07,Maule,32,51,23.0,54,5,6,26,59
2020-04-23,SS DEL RELONCAVÍ,10,Los Lagos,20,28,55.0,62,1,0,14,29
2020-04-23,SS IQUIQUE,01,Tarapacá,5,14,8.0,12,1,0,3,11
2020-04-23,SS LIBERTADOR B. O'HIGGINS,06,Lib. Gral. Bernardo O'Higgins,36,67,56.0,76,4,0,25,68
2020-04-23,SS MAGALLANES,12,Magallanes y Antártica Chilena,26,35,8.0,10,13,1,17,31
2020-04-23,SS METROPOLITANO CENTRAL,13,Metropolitana,120,145,120.0,156,47,4,90,197
2020-04-23,SS METROPOLITANO NORTE,13,Metropolitana,87,154,134.0,183,23,3,64,162
2020-04-23,SS METROPOLITANO OCCIDENTE,13,Metropolitana,48,60,60.0,66,21,1,45,61
2020-04-23,SS METROPOLITANO ORIENTE,13,Metropolitana,114,227,219.0,335,44,1,77,260
2020-04-23,SS METROPOLITANO SUR,13,Metropolitana,52,61,97.0,114,22,3,50,66
2020-04-23,SS METROPOLITANO SUR ORIENTE,13,Metropolitana,85,90,58.0,76,37,3,62,84
2020-04-23,SS ÑUBLE,16,Ñuble,15,27,2.0,14,10,0,11,43
2020-04-23,SS OSORNO,10,Los Lagos,19,28,9.0,7,12,0,15,29
2020-04-23,SS TALCAHUANO,08,Biobío,17,34,22.0,42,6,1,13,33
2020-04-23,SS VALDIVIA,14,Los Ríos,11,23,10.0,14,6,0,9,17
2020-04-23,SS VALPARAISO SAN ANTONIO,05,Valparaíso,31,32,33.0,42,6,1,22,34
2020-04-23,SS VIÑA DEL MAR QUILLOTA,05,Valparaíso,57,104,60.0,68,7,1,23,108
2020-04-29,SS ACONGAGUA,05,Valparaíso,10,15,8.0,18,1,0,9,12
2020-04-29,SS AISÉN,11,Aysén del Gral. C. Ibáñez del Campo,1,8,3.0,6,0,0,1,17
2020-04-29,SS ANTOFAGASTA,02,Antofagasta,58,65,25.0,39,22,1,56,65
2020-04-29,SS ARAUCANÍA NORTE,09,Araucanía,5,8,6.0,6,2,0,5,15
2020-04-29,SS ARAUCANÍA SUR,09,Araucanía,43,76,30.0,54,19,1,33,79
2020-04-29,SS ARAUCO,08,Biobío,0,0,3.0,4,0,0,0,1
2020-04-29,SS ARICA,15,Arica y Parinacota,11,22,9.0,16,4,0,6,20
2020-04-29,SS ATACAMA,03,Atacama,11,14,10.0,18,1,0,9,25
2020-04-29,SS BÍO BÍO,08,Biobío,16,28,11.0,42,4,0,11,54
2020-04-29,SS CHILOÉ,10,Los Lagos,8,8,0.0,0,0,0,4,8
2020-04-29,SS CONCEPCIÓN,08,Biobío,33,58,15.0,27,9,1,19,63
2020-04-29,SS COQUIMBO,04,Coquimbo,20,37,22.0,28,0,0,18,45
2020-04-29,SS DEL MAULE,07,Maule,35,51,35.0,54,2,2,22,59
2020-04-29,SS DEL RELONCAVÍ,10,Los Lagos,27,37,48.0,70,1,0,20,38
2020-04-29,SS IQUIQUE,01,Tarapacá,5,14,10.0,12,2,0,3,11
2020-04-29,SS LIBERTADOR B. O'HIGGINS,06,Lib. Gral. Bernardo O'Higgins,47,70,55.0,73,6,3,36,70
2020-04-29,SS MAGALLANES,12,Magallanes y Antártica Chilena,30,35,7.0,9,16,2,22,32
2020-04-29,SS METROPOLITANO CENTRAL,13,Metropolitana,124,145,122.0,160,43,5,79,197
2020-04-29,SS METROPOLITANO NORTE,13,Metropolitana,97,162,125.0,173,28,5,75,164
2020-04-29,SS METROPOLITANO OCCIDENTE,13,Metropolitana,47,61,42.0,64,19,0,43,81
2020-04-29,SS METROPOLITANO ORIENTE,13,Metropolitana,137,230,207.0,328,46,1,77,260
2020-04-29,SS METROPOLITANO SUR,13,Metropolitana,58,61,94.0,117,26,3,46,66
2020-04-29,SS METROPOLITANO SUR ORIENTE,13,Metropolitana,82,91,64.0,74,40,1,59,84
2020-04-29,SS ÑUBLE,16,Ñuble,8,28,9.0,13,7,0,9,44
2020-04-29,SS OSORNO,10,Los Lagos,22,28,10.0,7,14,0,18,29
2020-04-29,SS TALCAHUANO,08,Biobío,16,34,21.0,40,4,1,8,33
2020-04-29,SS VALDIVIA,14,Los Ríos,11,23,12.0,14,3,0,7,17
