Region,Serie,Fecha,Casos
Atacama,Camas base (2019),2020-04-26,11.0
Coquimbo,Camas base (2019),2020-04-26,29.0
Valparaíso,Camas base (2019),2020-04-26,125.0
Metropolitana,Camas base (2019),2020-04-26,745.0
O’Higgins,Camas base (2019),2020-04-26,61.0
Maule,Camas base (2019),2020-04-26,45.0
Ñuble,Camas base (2019),2020-04-26,16.0
Biobío,Camas base (2019),2020-04-26,97.0
Araucanía,Camas base (2019),2020-04-26,49.0
Los Ríos,Camas base (2019),2020-04-26,13.0
Los Lagos,Camas base (2019),2020-04-26,49.0
Aysén,Camas base (2019),2020-04-26,8.0
Magallanes,Camas base (2019),2020-04-26,14.0
Total,Camas base (2019),2020-04-26,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-05-03,21.0
Tarapacá,Camas UCI habilitadas,2020-05-03,12.0
Antofagasta,Camas UCI habilitadas,2020-05-03,75.0
Atacama,Camas UCI habilitadas,2020-05-03,12.0
Coquimbo,Camas UCI habilitadas,2020-05-03,49.0
Valparaíso,Camas UCI habilitadas,2020-05-03,151.0
Metropolitana,Camas UCI habilitadas,2020-05-03,1004.0
O’Higgins,Camas UCI habilitadas,2020-05-03,65.0
Maule,Camas UCI habilitadas,2020-05-03,58.0
Ñuble,Camas UCI habilitadas,2020-05-03,27.0
Biobío,Camas UCI habilitadas,2020-05-03,142.0
Araucanía,Camas UCI habilitadas,2020-05-03,75.0
Los Ríos,Camas UCI habilitadas,2020-05-03,22.0
Los Lagos,Camas UCI habilitadas,2020-05-03,72.0
Aysén,Camas UCI habilitadas,2020-05-03,8.0
Magallanes,Camas UCI habilitadas,2020-05-03,32.0
Total,Camas UCI habilitadas,2020-05-03,1825.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-05-03,7.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-05-03,4.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-05-03,25.0
Atacama,Camas UCI ocupadas COVID-19,2020-05-03,1.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-05-03,0.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-05-03,18.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-05-03,303.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-05-03,5.0
Maule,Camas UCI ocupadas COVID-19,2020-05-03,8.0
Ñuble,Camas UCI ocupadas COVID-19,2020-05-03,9.0
Biobío,Camas UCI ocupadas COVID-19,2020-05-03,18.0
Araucanía,Camas UCI ocupadas COVID-19,2020-05-03,26.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-05-03,3.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-05-03,18.0
Aysén,Camas UCI ocupadas COVID-19,2020-05-03,0.0
Magallanes,Camas UCI ocupadas COVID-19,2020-05-03,19.0
Total,Camas UCI ocupadas COVID-19,2020-05-03,464.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-05-03,5.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-05-03,4.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-05-03,35.0
Atacama,Camas UCI ocupadas no COVID-19,2020-05-03,7.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-05-03,27.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-05-03,77.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-05-03,331.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-05-03,35.0
Maule,Camas UCI ocupadas no COVID-19,2020-05-03,23.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-05-03,1.0
Biobío,Camas UCI ocupadas no COVID-19,2020-05-03,64.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-05-03,33.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-05-03,5.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-05-03,34.0
Aysén,Camas UCI ocupadas no COVID-19,2020-05-03,1.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-05-03,5.0
Total,Camas UCI ocupadas no COVID-19,2020-05-03,687.0
Arica y Parinacota,Camas base (2019),2020-05-03,9.0
Tarapacá,Camas base (2019),2020-05-03,12.0
Antofagasta,Camas base (2019),2020-05-03,48.0
Atacama,Camas base (2019),2020-05-03,11.0
Coquimbo,Camas base (2019),2020-05-03,29.0
Valparaíso,Camas base (2019),2020-05-03,125.0
Metropolitana,Camas base (2019),2020-05-03,745.0
O’Higgins,Camas base (2019),2020-05-03,61.0
Maule,Camas base (2019),2020-05-03,45.0
Ñuble,Camas base (2019),2020-05-03,16.0
Biobío,Camas base (2019),2020-05-03,97.0
Araucanía,Camas base (2019),2020-05-03,49.0
Los Ríos,Camas base (2019),2020-05-03,13.0
Los Lagos,Camas base (2019),2020-05-03,49.0
Aysén,Camas base (2019),2020-05-03,8.0
Magallanes,Camas base (2019),2020-05-03,14.0
Total,Camas base (2019),2020-05-03,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-05-10,21.0
Tarapacá,Camas UCI habilitadas,2020-05-10,14.0
Antofagasta,Camas UCI habilitadas,2020-05-10,77.0
Atacama,Camas UCI habilitadas,2020-05-10,23.0
Coquimbo,Camas UCI habilitadas,2020-05-10,51.0
Valparaíso,Camas UCI habilitadas,2020-05-10,151.0
Metropolitana,Camas UCI habilitadas,2020-05-10,993.0
O’Higgins,Camas UCI habilitadas,2020-05-10,64.0
Maule,Camas UCI habilitadas,2020-05-10,58.0
Ñuble,Camas UCI habilitadas,2020-05-10,27.0
Biobío,Camas UCI habilitadas,2020-05-10,146.0
Araucanía,Camas UCI habilitadas,2020-05-10,73.0
Los Ríos,Camas UCI habilitadas,2020-05-10,19.0
Los Lagos,Camas UCI habilitadas,2020-05-10,68.0
Aysén,Camas UCI habilitadas,2020-05-10,8.0
Magallanes,Camas UCI habilitadas,2020-05-10,32.0
Total,Camas UCI habilitadas,2020-05-10,1825.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-05-10,7.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-05-10,7.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-05-10,32.0
Atacama,Camas UCI ocupadas COVID-19,2020-05-10,2.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-05-10,0.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-05-10,19.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-05-10,421.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-05-10,5.0
Maule,Camas UCI ocupadas COVID-19,2020-05-10,5.0
Ñuble,Camas UCI ocupadas COVID-19,2020-05-10,8.0
Biobío,Camas UCI ocupadas COVID-19,2020-05-10,18.0
Araucanía,Camas UCI ocupadas COVID-19,2020-05-10,22.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-05-10,2.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-05-10,10.0
Aysén,Camas UCI ocupadas COVID-19,2020-05-10,0.0
Magallanes,Camas UCI ocupadas COVID-19,2020-05-10,16.0
Total,Camas UCI ocupadas COVID-19,2020-05-10,574.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-05-10,5.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-05-10,3.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-05-10,33.0
Atacama,Camas UCI ocupadas no COVID-19,2020-05-10,6.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-05-10,26.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-05-10,83.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-05-10,328.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-05-10,38.0
Maule,Camas UCI ocupadas no COVID-19,2020-05-10,25.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-05-10,5.0
Biobío,Camas UCI ocupadas no COVID-19,2020-05-10,65.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-05-10,33.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-05-10,6.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-05-10,36.0
Aysén,Camas UCI ocupadas no COVID-19,2020-05-10,3.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-05-10,6.0
Total,Camas UCI ocupadas no COVID-19,2020-05-10,701.0
Arica y Parinacota,Camas base (2019),2020-05-10,9.0
Tarapacá,Camas base (2019),2020-05-10,12.0
Antofagasta,Camas base (2019),2020-05-10,48.0
Atacama,Camas base (2019),2020-05-10,11.0
Coquimbo,Camas base (2019),2020-05-10,29.0
Valparaíso,Camas base (2019),2020-05-10,125.0
Metropolitana,Camas base (2019),2020-05-10,745.0
O’Higgins,Camas base (2019),2020-05-10,61.0
Maule,Camas base (2019),2020-05-10,45.0
Ñuble,Camas base (2019),2020-05-10,16.0
Biobío,Camas base (2019),2020-05-10,97.0
Araucanía,Camas base (2019),2020-05-10,49.0
Los Ríos,Camas base (2019),2020-05-10,13.0
Los Lagos,Camas base (2019),2020-05-10,49.0
Aysén,Camas base (2019),2020-05-10,8.0
Magallanes,Camas base (2019),2020-05-10,14.0
Total,Camas base (2019),2020-05-10,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-05-17,21.0
Tarapacá,Camas UCI habilitadas,2020-05-17,23.0
Antofagasta,Camas UCI habilitadas,2020-05-17,104.0
Atacama,Camas UCI habilitadas,2020-05-17,24.0
Coquimbo,Camas UCI habilitadas,2020-05-17,47.0
Valparaíso,Camas UCI habilitadas,2020-05-17,152.0
Metropolitana,Camas UCI habilitadas,2020-05-17,1261.0
O’Higgins,Camas UCI habilitadas,2020-05-17,67.0
Maule,Camas UCI habilitadas,2020-05-17,58.0
Ñuble,Camas UCI habilitadas,2020-05-17,28.0
Biobío,Camas UCI habilitadas,2020-05-17,147.0
Araucanía,Camas UCI habilitadas,2020-05-17,72.0
Los Ríos,Camas UCI habilitadas,2020-05-17,19.0
Los Lagos,Camas UCI habilitadas,2020-05-17,67.0
Aysén,Camas UCI habilitadas,2020-05-17,8.0
Magallanes,Camas UCI habilitadas,2020-05-17,32.0
Total,Camas UCI habilitadas,2020-05-17,2130.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-05-17,8.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-05-17,16.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-05-17,47.0
Atacama,Camas UCI ocupadas COVID-19,2020-05-17,3.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-05-17,1.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-05-17,32.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-05-17,620.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-05-17,9.0
Maule,Camas UCI ocupadas COVID-19,2020-05-17,8.0
Ñuble,Camas UCI ocupadas COVID-19,2020-05-17,5.0
Biobío,Camas UCI ocupadas COVID-19,2020-05-17,17.0
Araucanía,Camas UCI ocupadas COVID-19,2020-05-17,18.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-05-17,0.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-05-17,11.0
Aysén,Camas UCI ocupadas COVID-19,2020-05-17,0.0
Magallanes,Camas UCI ocupadas COVID-19,2020-05-17,12.0
Total,Camas UCI ocupadas COVID-19,2020-05-17,807.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-05-17,6.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-05-17,6.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-05-17,42.0
Atacama,Camas UCI ocupadas no COVID-19,2020-05-17,7.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-05-17,34.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-05-17,73.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-05-17,340.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-05-17,46.0
Maule,Camas UCI ocupadas no COVID-19,2020-05-17,26.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-05-17,9.0
Biobío,Camas UCI ocupadas no COVID-19,2020-05-17,73.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-05-17,37.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-05-17,11.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-05-17,31.0
Aysén,Camas UCI ocupadas no COVID-19,2020-05-17,4.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-05-17,9.0
Total,Camas UCI ocupadas no COVID-19,2020-05-17,754.0
Arica y Parinacota,Camas base (2019),2020-05-17,9.0
Tarapacá,Camas base (2019),2020-05-17,12.0
Antofagasta,Camas base (2019),2020-05-17,48.0
Atacama,Camas base (2019),2020-05-17,11.0
Coquimbo,Camas base (2019),2020-05-17,29.0
Valparaíso,Camas base (2019),2020-05-17,125.0
Metropolitana,Camas base (2019),2020-05-17,745.0
O’Higgins,Camas base (2019),2020-05-17,61.0
Maule,Camas base (2019),2020-05-17,45.0
Ñuble,Camas base (2019),2020-05-17,16.0
Biobío,Camas base (2019),2020-05-17,97.0
Araucanía,Camas base (2019),2020-05-17,49.0
Los Ríos,Camas base (2019),2020-05-17,13.0
Los Lagos,Camas base (2019),2020-05-17,49.0
Aysén,Camas base (2019),2020-05-17,8.0
Magallanes,Camas base (2019),2020-05-17,14.0
Total,Camas base (2019),2020-05-17,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-05-24,21.0
Tarapacá,Camas UCI habilitadas,2020-05-24,29.0
Antofagasta,Camas UCI habilitadas,2020-05-24,110.0
Atacama,Camas UCI habilitadas,2020-05-24,21.0
Coquimbo,Camas UCI habilitadas,2020-05-24,56.0
Valparaíso,Camas UCI habilitadas,2020-05-24,163.0
Metropolitana,Camas UCI habilitadas,2020-05-24,1392.0
O’Higgins,Camas UCI habilitadas,2020-05-24,81.0
Maule,Camas UCI habilitadas,2020-05-24,59.0
Ñuble,Camas UCI habilitadas,2020-05-24,27.0
Biobío,Camas UCI habilitadas,2020-05-24,159.0
Araucanía,Camas UCI habilitadas,2020-05-24,69.0
Los Ríos,Camas UCI habilitadas,2020-05-24,19.0
Los Lagos,Camas UCI habilitadas,2020-05-24,72.0
Aysén,Camas UCI habilitadas,2020-05-24,8.0
Magallanes,Camas UCI habilitadas,2020-05-24,32.0
Total,Camas UCI habilitadas,2020-05-24,2318.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-05-24,8.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-05-24,15.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-05-24,47.0
Atacama,Camas UCI ocupadas COVID-19,2020-05-24,2.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-05-24,6.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-05-24,54.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-05-24,884.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-05-24,26.0
Maule,Camas UCI ocupadas COVID-19,2020-05-24,22.0
Ñuble,Camas UCI ocupadas COVID-19,2020-05-24,12.0
Biobío,Camas UCI ocupadas COVID-19,2020-05-24,23.0
Araucanía,Camas UCI ocupadas COVID-19,2020-05-24,18.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-05-24,1.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-05-24,10.0
Aysén,Camas UCI ocupadas COVID-19,2020-05-24,0.0
Magallanes,Camas UCI ocupadas COVID-19,2020-05-24,7.0
Total,Camas UCI ocupadas COVID-19,2020-05-24,1135.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-05-24,4.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-05-24,6.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-05-24,52.0
Atacama,Camas UCI ocupadas no COVID-19,2020-05-24,7.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-05-24,31.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-05-24,72.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-05-24,424.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-05-24,43.0
Maule,Camas UCI ocupadas no COVID-19,2020-05-24,21.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-05-24,9.0
Biobío,Camas UCI ocupadas no COVID-19,2020-05-24,77.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-05-24,31.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-05-24,12.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-05-24,38.0
Aysén,Camas UCI ocupadas no COVID-19,2020-05-24,2.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-05-24,6.0
Total,Camas UCI ocupadas no COVID-19,2020-05-24,835.0
Arica y Parinacota,Camas base (2019),2020-05-24,9.0
Tarapacá,Camas base (2019),2020-05-24,12.0
Antofagasta,Camas base (2019),2020-05-24,48.0
Atacama,Camas base (2019),2020-05-24,11.0
Coquimbo,Camas base (2019),2020-05-24,29.0
Valparaíso,Camas base (2019),2020-05-24,125.0
Metropolitana,Camas base (2019),2020-05-24,745.0
O’Higgins,Camas base (2019),2020-05-24,61.0
Maule,Camas base (2019),2020-05-24,45.0
Ñuble,Camas base (2019),2020-05-24,16.0
Biobío,Camas base (2019),2020-05-24,97.0
Araucanía,Camas base (2019),2020-05-24,49.0
Los Ríos,Camas base (2019),2020-05-24,13.0
Los Lagos,Camas base (2019),2020-05-24,49.0
Aysén,Camas base (2019),2020-05-24,8.0
Magallanes,Camas base (2019),2020-05-24,14.0
Total,Camas base (2019),2020-05-24,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-05-31,21.0
Tarapacá,Camas UCI habilitadas,2020-05-31,34.0
Antofagasta,Camas UCI habilitadas,2020-05-31,119.0
Atacama,Camas UCI habilitadas,2020-05-31,21.0
Coquimbo,Camas UCI habilitadas,2020-05-31,56.0
Valparaíso,Camas UCI habilitadas,2020-05-31,181.0
Metropolitana,Camas UCI habilitadas,2020-05-31,1587.0
O’Higgins,Camas UCI habilitadas,2020-05-31,90.0
Maule,Camas UCI habilitadas,2020-05-31,63.0
Ñuble,Camas UCI habilitadas,2020-05-31,30.0
Biobío,Camas UCI habilitadas,2020-05-31,168.0
Araucanía,Camas UCI habilitadas,2020-05-31,68.0
Los Ríos,Camas UCI habilitadas,2020-05-31,20.0
Los Lagos,Camas UCI habilitadas,2020-05-31,78.0
Aysén,Camas UCI habilitadas,2020-05-31,8.0
Magallanes,Camas UCI habilitadas,2020-05-31,32.0
Total,Camas UCI habilitadas,2020-05-31,2576.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-05-31,11.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-05-31,26.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-05-31,51.0
Atacama,Camas UCI ocupadas COVID-19,2020-05-31,2.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-05-31,11.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-05-31,96.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-05-31,1088.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-05-31,40.0
Maule,Camas UCI ocupadas COVID-19,2020-05-31,39.0
Ñuble,Camas UCI ocupadas COVID-19,2020-05-31,11.0
Biobío,Camas UCI ocupadas COVID-19,2020-05-31,33.0
Araucanía,Camas UCI ocupadas COVID-19,2020-05-31,18.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-05-31,2.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-05-31,14.0
Aysén,Camas UCI ocupadas COVID-19,2020-05-31,0.0
Magallanes,Camas UCI ocupadas COVID-19,2020-05-31,4.0
Total,Camas UCI ocupadas COVID-19,2020-05-31,1446.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-05-31,3.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-05-31,4.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-05-31,54.0
Atacama,Camas UCI ocupadas no COVID-19,2020-05-31,6.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-05-31,35.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-05-31,57.0
