Categoria,Serie,Fecha,Casos
Fecha inicio de sintomas,no notificada,2020-03-01,0
Fecha inicio de sintomas,probable,2020-03-01,0
Fecha notificación,confirmada,2020-03-01,0
Fecha notificación,no notificada,2020-03-01,0
Fecha notificación,probable,2020-03-01,0
Fecha inicio de sintomas,confirmada,2020-03-02,7
Fecha inicio de sintomas,no notificada,2020-03-02,0
Fecha inicio de sintomas,probable,2020-03-02,1
Fecha notificación,confirmada,2020-03-02,1
Fecha notificación,no notificada,2020-03-02,0
Fecha notificación,probable,2020-03-02,0
Fecha inicio de sintomas,confirmada,2020-03-03,9
Fecha inicio de sintomas,no notificada,2020-03-03,0
Fecha inicio de sintomas,probable,2020-03-03,0
Fecha notificación,confirmada,2020-03-03,1
Fecha notificación,no notificada,2020-03-03,0
Fecha notificación,probable,2020-03-03,0
Fecha inicio de sintomas,confirmada,2020-03-04,9
Fecha inicio de sintomas,no notificada,2020-03-04,0
Fecha inicio de sintomas,probable,2020-03-04,0
Fecha notificación,confirmada,2020-03-04,2
Fecha notificación,no notificada,2020-03-04,0
Fecha notificación,probable,2020-03-04,0
Fecha inicio de sintomas,confirmada,2020-03-05,28
Fecha inicio de sintomas,no notificada,2020-03-05,0
Fecha inicio de sintomas,probable,2020-03-05,2
Fecha notificación,confirmada,2020-03-05,4
Fecha notificación,no notificada,2020-03-05,0
Fecha notificación,probable,2020-03-05,0
Fecha inicio de sintomas,confirmada,2020-03-06,13
Fecha inicio de sintomas,no notificada,2020-03-06,0
Fecha inicio de sintomas,probable,2020-03-06,2
Fecha notificación,confirmada,2020-03-06,1
Fecha notificación,no notificada,2020-03-06,0
Fecha notificación,probable,2020-03-06,0
Fecha inicio de sintomas,confirmada,2020-03-07,14
Fecha inicio de sintomas,no notificada,2020-03-07,0
Fecha inicio de sintomas,probable,2020-03-07,0
Fecha notificación,confirmada,2020-03-07,2
Fecha notificación,no notificada,2020-03-07,0
Fecha notificación,probable,2020-03-07,0
Fecha inicio de sintomas,confirmada,2020-03-08,24
Fecha inicio de sintomas,no notificada,2020-03-08,0
Fecha inicio de sintomas,probable,2020-03-08,0
Fecha notificación,confirmada,2020-03-08,6
Fecha notificación,no notificada,2020-03-08,0
Fecha notificación,probable,2020-03-08,0
Fecha inicio de sintomas,confirmada,2020-03-09,36
Fecha inicio de sintomas,no notificada,2020-03-09,0
Fecha inicio de sintomas,probable,2020-03-09,0
Fecha notificación,confirmada,2020-03-09,2
Fecha notificación,no notificada,2020-03-09,0
Fecha notificación,probable,2020-03-09,0
Fecha inicio de sintomas,confirmada,2020-03-10,65
Fecha inicio de sintomas,no notificada,2020-03-10,1
Fecha inicio de sintomas,probable,2020-03-10,1
Fecha notificación,confirmada,2020-03-10,10
Fecha notificación,no notificada,2020-03-10,1
Fecha notificación,probable,2020-03-10,1
Fecha inicio de sintomas,confirmada,2020-03-11,53
Fecha inicio de sintomas,no notificada,2020-03-11,0
Fecha inicio de sintomas,probable,2020-03-11,0
Fecha notificación,confirmada,2020-03-11,17
Fecha notificación,no notificada,2020-03-11,0
Fecha notificación,probable,2020-03-11,0
Fecha inicio de sintomas,confirmada,2020-03-12,69
Fecha inicio de sintomas,no notificada,2020-03-12,1
Fecha inicio de sintomas,probable,2020-03-12,2
Fecha notificación,confirmada,2020-03-12,13
Fecha notificación,no notificada,2020-03-12,1
Fecha notificación,probable,2020-03-12,0
Fecha inicio de sintomas,confirmada,2020-03-13,117
Fecha inicio de sintomas,no notificada,2020-03-13,0
Fecha inicio de sintomas,probable,2020-03-13,1
Fecha notificación,confirmada,2020-03-13,24
Fecha notificación,no notificada,2020-03-13,0
Fecha notificación,probable,2020-03-13,0
Fecha inicio de sintomas,confirmada,2020-03-14,149
Fecha inicio de sintomas,no notificada,2020-03-14,3
Fecha inicio de sintomas,probable,2020-03-14,0
Fecha notificación,confirmada,2020-03-14,46
Fecha notificación,no notificada,2020-03-14,3
Fecha notificación,probable,2020-03-14,0
Fecha inicio de sintomas,confirmada,2020-03-15,177
Fecha inicio de sintomas,no notificada,2020-03-15,0
Fecha inicio de sintomas,probable,2020-03-15,3
Fecha notificación,confirmada,2020-03-15,50
Fecha notificación,no notificada,2020-03-15,0
Fecha notificación,probable,2020-03-15,0
Fecha inicio de sintomas,confirmada,2020-03-16,284
Fecha inicio de sintomas,no notificada,2020-03-16,1
Fecha inicio de sintomas,probable,2020-03-16,2
Fecha notificación,confirmada,2020-03-16,87
Fecha notificación,no notificada,2020-03-16,1
Fecha notificación,probable,2020-03-16,1
Fecha inicio de sintomas,confirmada,2020-03-17,256
Fecha inicio de sintomas,no notificada,2020-03-17,2
Fecha inicio de sintomas,probable,2020-03-17,1
Fecha notificación,confirmada,2020-03-17,148
Fecha notificación,no notificada,2020-03-17,2
Fecha notificación,probable,2020-03-17,0
Fecha inicio de sintomas,confirmada,2020-03-18,270
Fecha inicio de sintomas,no notificada,2020-03-18,1
Fecha inicio de sintomas,probable,2020-03-18,2
Fecha notificación,confirmada,2020-03-18,115
Fecha notificación,no notificada,2020-03-18,1
Fecha notificación,probable,2020-03-18,1
Fecha inicio de sintomas,confirmada,2020-03-19,295
Fecha inicio de sintomas,no notificada,2020-03-19,2
Fecha inicio de sintomas,probable,2020-03-19,1
Fecha notificación,confirmada,2020-03-19,152
Fecha notificación,no notificada,2020-03-19,2
Fecha notificación,probable,2020-03-19,2
Fecha inicio de sintomas,confirmada,2020-03-20,366
Fecha inicio de sintomas,no notificada,2020-03-20,1
Fecha inicio de sintomas,probable,2020-03-20,2
Fecha notificación,confirmada,2020-03-20,175
Fecha notificación,no notificada,2020-03-20,1
Fecha notificación,probable,2020-03-20,0
Fecha inicio de sintomas,confirmada,2020-03-21,312
Fecha inicio de sintomas,no notificada,2020-03-21,3
Fecha inicio de sintomas,probable,2020-03-21,0
Fecha notificación,confirmada,2020-03-21,167
Fecha notificación,no notificada,2020-03-21,3
Fecha notificación,probable,2020-03-21,0
Fecha inicio de sintomas,confirmada,2020-03-22,301
Fecha inicio de sintomas,no notificada,2020-03-22,5
Fecha inicio de sintomas,probable,2020-03-22,0
Fecha notificación,confirmada,2020-03-22,156
Fecha notificación,no notificada,2020-03-22,5
Fecha notificación,probable,2020-03-22,0
Fecha inicio de sintomas,confirmada,2020-03-23,397
Fecha inicio de sintomas,no notificada,2020-03-23,2
Fecha inicio de sintomas,probable,2020-03-23,3
Fecha notificación,confirmada,2020-03-23,215
Fecha notificación,no notificada,2020-03-23,2
Fecha notificación,probable,2020-03-23,1
Fecha inicio de sintomas,confirmada,2020-03-24,328
Fecha inicio de sintomas,no notificada,2020-03-24,7
Fecha inicio de sintomas,probable,2020-03-24,1
Fecha notificación,confirmada,2020-03-24,287
Fecha notificación,no notificada,2020-03-24,7
Fecha notificación,probable,2020-03-24,1
Fecha inicio de sintomas,confirmada,2020-03-25,342
Fecha inicio de sintomas,no notificada,2020-03-25,3
Fecha inicio de sintomas,probable,2020-03-25,6
Fecha notificación,confirmada,2020-03-25,357
Fecha notificación,no notificada,2020-03-25,3
Fecha notificación,probable,2020-03-25,2
Fecha inicio de sintomas,confirmada,2020-03-26,345
Fecha inicio de sintomas,no notificada,2020-03-26,4
Fecha inicio de sintomas,probable,2020-03-26,1
Fecha notificación,confirmada,2020-03-26,377
Fecha notificación,no notificada,2020-03-26,4
Fecha notificación,probable,2020-03-26,1
Fecha inicio de sintomas,confirmada,2020-03-27,352
Fecha inicio de sintomas,no notificada,2020-03-27,5
Fecha inicio de sintomas,probable,2020-03-27,5
Fecha notificación,confirmada,2020-03-27,383
Fecha notificación,no notificada,2020-03-27,5
Fecha notificación,probable,2020-03-27,1
Fecha inicio de sintomas,confirmada,2020-03-28,326
Fecha inicio de sintomas,no notificada,2020-03-28,7
Fecha inicio de sintomas,probable,2020-03-28,1
Fecha notificación,confirmada,2020-03-28,273
Fecha notificación,no notificada,2020-03-28,7
Fecha notificación,probable,2020-03-28,4
Fecha inicio de sintomas,confirmada,2020-03-29,283
Fecha inicio de sintomas,no notificada,2020-03-29,9
Fecha inicio de sintomas,probable,2020-03-29,3
Fecha notificación,confirmada,2020-03-29,300
Fecha notificación,no notificada,2020-03-29,9
Fecha notificación,probable,2020-03-29,1
Fecha inicio de sintomas,confirmada,2020-03-30,382
Fecha inicio de sintomas,no notificada,2020-03-30,12
Fecha inicio de sintomas,probable,2020-03-30,1
Fecha notificación,confirmada,2020-03-30,372
Fecha notificación,no notificada,2020-03-30,12
Fecha notificación,probable,2020-03-30,4
Fecha inicio de sintomas,confirmada,2020-03-31,331
Fecha inicio de sintomas,no notificada,2020-03-31,9
Fecha inicio de sintomas,probable,2020-03-31,0
Fecha notificación,confirmada,2020-03-31,356
Fecha notificación,no notificada,2020-03-31,9
Fecha notificación,probable,2020-03-31,0
Fecha inicio de sintomas,confirmada,2020-04-01,474
Fecha inicio de sintomas,no notificada,2020-04-01,4
Fecha inicio de sintomas,probable,2020-04-01,6
Fecha notificación,confirmada,2020-04-01,351
Fecha notificación,no notificada,2020-04-01,4
Fecha notificación,probable,2020-04-01,1
Fecha inicio de sintomas,confirmada,2020-04-02,384
Fecha inicio de sintomas,no notificada,2020-04-02,10
Fecha inicio de sintomas,probable,2020-04-02,6
Fecha notificación,confirmada,2020-04-02,441
Fecha notificación,no notificada,2020-04-02,10
Fecha notificación,probable,2020-04-02,3
Fecha inicio de sintomas,confirmada,2020-04-03,392
Fecha inicio de sintomas,no notificada,2020-04-03,8
Fecha inicio de sintomas,probable,2020-04-03,3
Fecha notificación,confirmada,2020-04-03,428
Fecha notificación,no notificada,2020-04-03,8
Fecha notificación,probable,2020-04-03,0
Fecha inicio de sintomas,confirmada,2020-04-04,381
Fecha inicio de sintomas,no notificada,2020-04-04,9
Fecha inicio de sintomas,probable,2020-04-04,3
Fecha notificación,confirmada,2020-04-04,322
Fecha notificación,no notificada,2020-04-04,9
Fecha notificación,probable,2020-04-04,0
Fecha inicio de sintomas,confirmada,2020-04-05,339
Fecha inicio de sintomas,no notificada,2020-04-05,12
Fecha inicio de sintomas,probable,2020-04-05,8
Fecha notificación,confirmada,2020-04-05,240
Fecha notificación,no notificada,2020-04-05,12
Fecha notificación,probable,2020-04-05,1
Fecha inicio de sintomas,confirmada,2020-04-06,423
Fecha inicio de sintomas,no notificada,2020-04-06,28
Fecha inicio de sintomas,probable,2020-04-06,9
Fecha notificación,confirmada,2020-04-06,467
Fecha notificación,no notificada,2020-04-06,28
Fecha notificación,probable,2020-04-06,0
Fecha inicio de sintomas,confirmada,2020-04-07,382
Fecha inicio de sintomas,no notificada,2020-04-07,35
Fecha inicio de sintomas,probable,2020-04-07,3
Fecha notificación,confirmada,2020-04-07,502
Fecha notificación,no notificada,2020-04-07,35
Fecha notificación,probable,2020-04-07,1
Fecha inicio de sintomas,confirmada,2020-04-08,402
Fecha inicio de sintomas,no notificada,2020-04-08,21
Fecha inicio de sintomas,probable,2020-04-08,1
Fecha notificación,confirmada,2020-04-08,472
Fecha notificación,no notificada,2020-04-08,21
Fecha notificación,probable,2020-04-08,2
Fecha inicio de sintomas,confirmada,2020-04-09,429
Fecha inicio de sintomas,no notificada,2020-04-09,41
Fecha inicio de sintomas,probable,2020-04-09,1
Fecha notificación,confirmada,2020-04-09,433
Fecha notificación,no notificada,2020-04-09,41
Fecha notificación,probable,2020-04-09,0
Fecha inicio de sintomas,confirmada,2020-04-10,450
Fecha inicio de sintomas,no notificada,2020-04-10,18
Fecha inicio de sintomas,probable,2020-04-10,2
Fecha notificación,confirmada,2020-04-10,250
Fecha notificación,no notificada,2020-04-10,18
Fecha notificación,probable,2020-04-10,0
Fecha inicio de sintomas,confirmada,2020-04-11,339
Fecha inicio de sintomas,no notificada,2020-04-11,29
Fecha inicio de sintomas,probable,2020-04-11,2
Fecha notificación,confirmada,2020-04-11,291
Fecha notificación,no notificada,2020-04-11,29
Fecha notificación,probable,2020-04-11,1
Fecha inicio de sintomas,confirmada,2020-04-12,372
Fecha inicio de sintomas,no notificada,2020-04-12,29
Fecha inicio de sintomas,probable,2020-04-12,1
Fecha notificación,confirmada,2020-04-12,211
Fecha notificación,no notificada,2020-04-12,29
Fecha notificación,probable,2020-04-12,2
Fecha inicio de sintomas,confirmada,2020-04-13,551
Fecha inicio de sintomas,no notificada,2020-04-13,64
Fecha inicio de sintomas,probable,2020-04-13,5
Fecha notificación,confirmada,2020-04-13,564
Fecha notificación,no notificada,2020-04-13,64
Fecha notificación,probable,2020-04-13,0
Fecha inicio de sintomas,confirmada,2020-04-14,488
Fecha inicio de sintomas,no notificada,2020-04-14,57
Fecha inicio de sintomas,probable,2020-04-14,0
Fecha notificación,confirmada,2020-04-14,507
Fecha notificación,no notificada,2020-04-14,57
Fecha notificación,probable,2020-04-14,3
Fecha inicio de sintomas,confirmada,2020-04-15,615
Fecha inicio de sintomas,no notificada,2020-04-15,60
Fecha inicio de sintomas,probable,2020-04-15,4
Fecha notificación,confirmada,2020-04-15,571
Fecha notificación,no notificada,2020-04-15,60
Fecha notificación,probable,2020-04-15,2
Fecha inicio de sintomas,confirmada,2020-04-16,566
Fecha inicio de sintomas,no notificada,2020-04-16,61
Fecha inicio de sintomas,probable,2020-04-16,1
Fecha notificación,confirmada,2020-04-16,585
Fecha notificación,no notificada,2020-04-16,61
Fecha notificación,probable,2020-04-16,0
Fecha inicio de sintomas,confirmada,2020-04-17,572
Fecha inicio de sintomas,no notificada,2020-04-17,61
Fecha inicio de sintomas,probable,2020-04-17,3
Fecha notificación,confirmada,2020-04-17,542
Fecha notificación,no notificada,2020-04-17,61
Fecha notificación,probable,2020-04-17,2
Fecha inicio de sintomas,confirmada,2020-04-18,528
Fecha inicio de sintomas,no notificada,2020-04-18,37
Fecha inicio de sintomas,probable,2020-04-18,2
Fecha notificación,confirmada,2020-04-18,444
Fecha notificación,no notificada,2020-04-18,37
Fecha notificación,probable,2020-04-18,1
Fecha inicio de sintomas,confirmada,2020-04-19,510
Fecha inicio de sintomas,no notificada,2020-04-19,35
Fecha inicio de sintomas,probable,2020-04-19,2
Fecha notificación,confirmada,2020-04-19,329
Fecha notificación,no notificada,2020-04-19,35
Fecha notificación,probable,2020-04-19,1
Fecha inicio de sintomas,confirmada,2020-04-20,929
Fecha inicio de sintomas,no notificada,2020-04-20,140
Fecha inicio de sintomas,probable,2020-04-20,12
Fecha notificación,confirmada,2020-04-20,612
Fecha notificación,no notificada,2020-04-20,140
Fecha notificación,probable,2020-04-20,0
Fecha inicio de sintomas,confirmada,2020-04-21,695
Fecha inicio de sintomas,no notificada,2020-04-21,105
Fecha inicio de sintomas,probable,2020-04-21,3
Fecha notificación,confirmada,2020-04-21,618
Fecha notificación,no notificada,2020-04-21,105
Fecha notificación,probable,2020-04-21,4
Fecha inicio de sintomas,confirmada,2020-04-22,782
Fecha inicio de sintomas,no notificada,2020-04-22,79
Fecha inicio de sintomas,probable,2020-04-22,5
Fecha notificación,confirmada,2020-04-22,712
Fecha notificación,no notificada,2020-04-22,79
Fecha notificación,probable,2020-04-22,3
Fecha inicio de sintomas,confirmada,2020-04-23,850
Fecha inicio de sintomas,no notificada,2020-04-23,69
Fecha inicio de sintomas,probable,2020-04-23,3
Fecha notificación,confirmada,2020-04-23,744
Fecha notificación,no notificada,2020-04-23,69
Fecha notificación,probable,2020-04-23,5
Fecha inicio de sintomas,confirmada,2020-04-24,1051
Fecha inicio de sintomas,no notificada,2020-04-24,65
Fecha inicio de sintomas,probable,2020-04-24,8
Fecha notificación,confirmada,2020-04-24,748
Fecha notificación,no notificada,2020-04-24,65
Fecha notificación,probable,2020-04-24,1
Fecha inicio de sintomas,confirmada,2020-04-25,1036
Fecha inicio de sintomas,no notificada,2020-04-25,57
Fecha inicio de sintomas,probable,2020-04-25,13
Fecha notificación,confirmada,2020-04-25,514
Fecha notificación,no notificada,2020-04-25,57
Fecha notificación,probable,2020-04-25,3
Fecha inicio de sintomas,confirmada,2020-04-26,1053
Fecha inicio de sintomas,no notificada,2020-04-26,71
Fecha inicio de sintomas,probable,2020-04-26,12
Fecha notificación,confirmada,2020-04-26,434
Fecha notificación,no notificada,2020-04-26,71
Fecha notificación,probable,2020-04-26,4
Fecha inicio de sintomas,confirmada,2020-04-27,1690
Fecha inicio de sintomas,no notificada,2020-04-27,82
Fecha inicio de sintomas,probable,2020-04-27,21
Fecha notificación,confirmada,2020-04-27,1176
Fecha notificación,no notificada,2020-04-27,82
Fecha notificación,probable,2020-04-27,6
Fecha inicio de sintomas,confirmada,2020-04-28,1637
Fecha inicio de sintomas,no notificada,2020-04-28,128
Fecha inicio de sintomas,probable,2020-04-28,24
Fecha notificación,confirmada,2020-04-28,1335
Fecha notificación,no notificada,2020-04-28,128
Fecha notificación,probable,2020-04-28,14
Fecha inicio de sintomas,confirmada,2020-04-29,1627
Fecha inicio de sintomas,no notificada,2020-04-29,162
Fecha inicio de sintomas,probable,2020-04-29,22
Fecha notificación,confirmada,2020-04-29,1608
Fecha notificación,no notificada,2020-04-29,162
Fecha notificación,probable,2020-04-29,4
Fecha inicio de sintomas,confirmada,2020-04-30,1957
Fecha inicio de sintomas,no notificada,2020-04-30,114
Fecha inicio de sintomas,probable,2020-04-30,21
Fecha notificación,confirmada,2020-04-30,1712
Fecha notificación,no notificada,2020-04-30,114
Fecha notificación,probable,2020-04-30,13
Fecha inicio de sintomas,confirmada,2020-05-01,2823
Fecha inicio de sintomas,no notificada,2020-05-01,43
Fecha inicio de sintomas,probable,2020-05-01,57
Fecha notificación,confirmada,2020-05-01,1111
Fecha notificación,no notificada,2020-05-01,43
Fecha notificación,probable,2020-05-01,10
Fecha inicio de sintomas,confirmada,2020-05-02,2562
Fecha inicio de sintomas,no notificada,2020-05-02,86
Fecha inicio de sintomas,probable,2020-05-02,50
Fecha notificación,confirmada,2020-05-02,1553
Fecha notificación,no notificada,2020-05-02,86
Fecha notificación,probable,2020-05-02,5
Fecha inicio de sintomas,confirmada,2020-05-03,2727
Fecha inicio de sintomas,no notificada,2020-05-03,84
Fecha inicio de sintomas,probable,2020-05-03,50
Fecha notificación,confirmada,2020-05-03,1573
Fecha notificación,no notificada,2020-05-03,84
Fecha notificación,probable,2020-05-03,28
Fecha inicio de sintomas,confirmada,2020-05-04,3720
Fecha inicio de sintomas,no notificada,2020-05-04,179
Fecha inicio de sintomas,probable,2020-05-04,48
Fecha notificación,confirmada,2020-05-04,2932
Fecha notificación,no notificada,2020-05-04,179
Fecha notificación,probable,2020-05-04,33
Fecha inicio de sintomas,confirmada,2020-05-05,3383
Fecha inicio de sintomas,no notificada,2020-05-05,274
Fecha inicio de sintomas,probable,2020-05-05,42
Fecha notificación,confirmada,2020-05-05,3074
Fecha notificación,no notificada,2020-05-05,274
Fecha notificación,probable,2020-05-05,29
Fecha inicio de sintomas,confirmada,2020-05-06,3376
Fecha inicio de sintomas,no notificada,2020-05-06,262
Fecha inicio de sintomas,probable,2020-05-06,49
Fecha notificación,confirmada,2020-05-06,3085
Fecha notificación,no notificada,2020-05-06,262
Fecha notificación,probable,2020-05-06,46
Fecha inicio de sintomas,confirmada,2020-05-07,3575
Fecha inicio de sintomas,no notificada,2020-05-07,242
Fecha inicio de sintomas,probable,2020-05-07,30
Fecha notificación,confirmada,2020-05-07,3334
Fecha notificación,no notificada,2020-05-07,242
Fecha notificación,probable,2020-05-07,43
Fecha inicio de sintomas,confirmada,2020-05-08,4083
Fecha inicio de sintomas,no notificada,2020-05-08,296
Fecha inicio de sintomas,probable,2020-05-08,47
Fecha notificación,confirmada,2020-05-08,3466
Fecha notificación,no notificada,2020-05-08,296
Fecha notificación,probable,2020-05-08,18
Fecha inicio de sintomas,confirmada,2020-05-09,3835
Fecha inicio de sintomas,no notificada,2020-05-09,155
Fecha inicio de sintomas,probable,2020-05-09,41
Fecha notificación,confirmada,2020-05-09,2616
Fecha notificación,no notificada,2020-05-09,155
Fecha notificación,probable,2020-05-09,13
Fecha inicio de sintomas,confirmada,2020-05-10,4232
Fecha inicio de sintomas,no notificada,2020-05-10,103
Fecha inicio de sintomas,probable,2020-05-10,67
Fecha notificación,confirmada,2020-05-10,2055
Fecha notificación,no notificada,2020-05-10,103
Fecha notificación,probable,2020-05-10,9
Fecha inicio de sintomas,confirmada,2020-05-11,5190
Fecha inicio de sintomas,no notificada,2020-05-11,391
Fecha inicio de sintomas,probable,2020-05-11,69
Fecha notificación,confirmada,2020-05-11,5081
Fecha notificación,no notificada,2020-05-11,391
Fecha notificación,probable,2020-05-11,34
Fecha inicio de sintomas,confirmada,2020-05-12,4644
Fecha inicio de sintomas,no notificada,2020-05-12,319
Fecha inicio de sintomas,probable,2020-05-12,58
Fecha notificación,confirmada,2020-05-12,4666
Fecha notificación,no notificada,2020-05-12,319
Fecha notificación,probable,2020-05-12,53
Fecha inicio de sintomas,confirmada,2020-05-13,4160
Fecha inicio de sintomas,no notificada,2020-05-13,229
Fecha inicio de sintomas,probable,2020-05-13,65
Fecha notificación,confirmada,2020-05-13,4057
Fecha notificación,no notificada,2020-05-13,229
Fecha notificación,probable,2020-05-13,46
Fecha inicio de sintomas,confirmada,2020-05-14,4061
Fecha inicio de sintomas,no notificada,2020-05-14,290
Fecha inicio de sintomas,probable,2020-05-14,86
Fecha notificación,confirmada,2020-05-14,4123
Fecha notificación,no notificada,2020-05-14,290
Fecha notificación,probable,2020-05-14,48
Fecha inicio de sintomas,confirmada,2020-05-15,5224
Fecha inicio de sintomas,no notificada,2020-05-15,405
Fecha inicio de sintomas,probable,2020-05-15,95
Fecha notificación,confirmada,2020-05-15,3949
Fecha notificación,no notificada,2020-05-15,405
Fecha notificación,probable,2020-05-15,57
Fecha inicio de sintomas,confirmada,2020-05-16,4561
Fecha inicio de sintomas,no notificada,2020-05-16,451
Fecha inicio de sintomas,probable,2020-05-16,76
Fecha notificación,confirmada,2020-05-16,3054
Fecha notificación,no notificada,2020-05-16,451
Fecha notificación,probable,2020-05-16,31
Fecha inicio de sintomas,confirmada,2020-05-17,4516
Fecha inicio de sintomas,no notificada,2020-05-17,201
Fecha inicio de sintomas,probable,2020-05-17,86
Fecha notificación,confirmada,2020-05-17,2697
Fecha notificación,no notificada,2020-05-17,201
Fecha notificación,probable,2020-05-17,22
Fecha inicio de sintomas,confirmada,2020-05-18,5839
Fecha inicio de sintomas,no notificada,2020-05-18,277
Fecha inicio de sintomas,probable,2020-05-18,159
Fecha notificación,confirmada,2020-05-18,5518
Fecha notificación,no notificada,2020-05-18,277
Fecha notificación,probable,2020-05-18,66
Fecha inicio de sintomas,confirmada,2020-05-19,4954
Fecha inicio de sintomas,no notificada,2020-05-19,476
Fecha inicio de sintomas,probable,2020-05-19,131
Fecha notificación,confirmada,2020-05-19,5544
Fecha notificación,no notificada,2020-05-19,476
Fecha notificación,probable,2020-05-19,81
Fecha inicio de sintomas,confirmada,2020-05-20,5759
Fecha inicio de sintomas,no notificada,2020-05-20,702
Fecha inicio de sintomas,probable,2020-05-20,185
Fecha notificación,confirmada,2020-05-20,5290
Fecha notificación,no notificada,2020-05-20,702
Fecha notificación,probable,2020-05-20,73
Fecha inicio de sintomas,confirmada,2020-05-21,4528
Fecha inicio de sintomas,no notificada,2020-05-21,258
Fecha inicio de sintomas,probable,2020-05-21,152
Fecha notificación,confirmada,2020-05-21,3106
Fecha notificación,no notificada,2020-05-21,258
Fecha notificación,probable,2020-05-21,55
Fecha inicio de sintomas,confirmada,2020-05-22,5533
Fecha inicio de sintomas,no notificada,2020-05-22,353
Fecha inicio de sintomas,probable,2020-05-22,179
Fecha notificación,confirmada,2020-05-22,5683
Fecha notificación,no notificada,2020-05-22,353
Fecha notificación,probable,2020-05-22,97
Fecha inicio de sintomas,confirmada,2020-05-23,5008
Fecha inicio de sintomas,no notificada,2020-05-23,195
Fecha inicio de sintomas,probable,2020-05-23,207
Fecha notificación,confirmada,2020-05-23,3743
Fecha notificación,no notificada,2020-05-23,195
Fecha notificación,probable,2020-05-23,57
Fecha inicio de sintomas,confirmada,2020-05-24,4538
Fecha inicio de sintomas,no notificada,2020-05-24,139
Fecha inicio de sintomas,probable,2020-05-24,206
Fecha notificación,confirmada,2020-05-24,3469
Fecha notificación,no notificada,2020-05-24,139
Fecha notificación,probable,2020-05-24,55
Fecha inicio de sintomas,confirmada,2020-05-25,6252
Fecha inicio de sintomas,no notificada,2020-05-25,298
Fecha inicio de sintomas,probable,2020-05-25,451
Fecha notificación,confirmada,2020-05-25,6858
Fecha notificación,no notificada,2020-05-25,298
Fecha notificación,probable,2020-05-25,152
Fecha inicio de sintomas,confirmada,2020-05-26,4753
Fecha inicio de sintomas,no notificada,2020-05-26,273
Fecha inicio de sintomas,probable,2020-05-26,396
Fecha notificación,confirmada,2020-05-26,6048
Fecha notificación,no notificada,2020-05-26,273
Fecha notificación,probable,2020-05-26,177
Fecha inicio de sintomas,confirmada,2020-05-27,4935
Fecha inicio de sintomas,no notificada,2020-05-27,263
Fecha inicio de sintomas,probable,2020-05-27,456
Fecha notificación,confirmada,2020-05-27,5633
Fecha notificación,no notificada,2020-05-27,263
Fecha notificación,probable,2020-05-27,154
Fecha inicio de sintomas,confirmada,2020-05-28,4985
Fecha inicio de sintomas,no notificada,2020-05-28,310
Fecha inicio de sintomas,probable,2020-05-28,569
Fecha notificación,confirmada,2020-05-28,4748
Fecha notificación,no notificada,2020-05-28,310
Fecha notificación,probable,2020-05-28,126
