Region,Codigo region,Semana Epidemiologica,Casos confirmados
Desconocido Maule,07,SE24,0.0
Desconocido Nuble,16,SE24,0.0
Desconocido Biobio,08,SE24,5.0
Desconocido Araucania,09,SE24,0.0
Desconocido Los Rios,14,SE24,1.0
Desconocido Los Lagos,10,SE24,1.0
Desconocido Aysen,11,SE24,0.0
Desconocido Magallanes,12,SE24,1.0
Desconocido SEREMI,0,SE24,0.0
Desconocido Arica y Parinacota,15,SE25,0.0
Desconocido Tarapaca,01,SE25,20.0
Desconocido Antofagasta,02,SE25,41.0
Desconocido Atacama,03,SE25,9.0
Desconocido Coquimbo,04,SE25,11.0
Desconocido Valparaiso,05,SE25,54.0
Desconocido Metropolitana,13,SE25,1207.0
Desconocido O’Higgins,06,SE25,6.0
Desconocido Maule,07,SE25,0.0
Desconocido Nuble,16,SE25,0.0
Desconocido Biobio,08,SE25,27.0
Desconocido Araucania,09,SE25,0.0
Desconocido Los Rios,14,SE25,1.0
Desconocido Los Lagos,10,SE25,3.0
Desconocido Aysen,11,SE25,0.0
Desconocido Magallanes,12,SE25,0.0
Desconocido SEREMI,0,SE25,0.0
Desconocido Arica y Parinacota,15,SE26,0.0
Desconocido Tarapaca,01,SE26,22.0
Desconocido Antofagasta,02,SE26,30.0
Desconocido Atacama,03,SE26,1.0
Desconocido Coquimbo,04,SE26,16.0
Desconocido Valparaiso,05,SE26,45.0
Desconocido Metropolitana,13,SE26,699.0
Desconocido O’Higgins,06,SE26,7.0
Desconocido Maule,07,SE26,0.0
Desconocido Nuble,16,SE26,0.0
Desconocido Biobio,08,SE26,34.0
Desconocido Araucania,09,SE26,0.0
Desconocido Los Rios,14,SE26,0.0
Desconocido Los Lagos,10,SE26,3.0
Desconocido Aysen,11,SE26,0.0
Desconocido Magallanes,12,SE26,0.0
Desconocido SEREMI,0,SE26,0.0
Desconocido Arica y Parinacota,15,SE27,0.0
Desconocido Tarapaca,01,SE27,15.0
Desconocido Antofagasta,02,SE27,27.0
Desconocido Atacama,03,SE27,2.0
Desconocido Coquimbo,04,SE27,10.0
Desconocido Valparaiso,05,SE27,48.0
Desconocido Metropolitana,13,SE27,385.0
Desconocido O’Higgins,06,SE27,2.0
Desconocido Maule,07,SE27,0.0
Desconocido Nuble,16,SE27,0.0
Desconocido Biobio,08,SE27,7.0
Desconocido Araucania,09,SE27,0.0
Desconocido Los Rios,14,SE27,0.0
Desconocido Los Lagos,10,SE27,4.0
Desconocido Aysen,11,SE27,0.0
Desconocido Magallanes,12,SE27,1.0
Desconocido SEREMI,0,SE27,0.0
Desconocido Arica y Parinacota,15,SE28,0.0
Desconocido Tarapaca,01,SE28,17.0
Desconocido Antofagasta,02,SE28,21.0
Desconocido Atacama,03,SE28,1.0
Desconocido Coquimbo,04,SE28,18.0
Desconocido Valparaiso,05,SE28,25.0
Desconocido Metropolitana,13,SE28,244.0
Desconocido O’Higgins,06,SE28,6.0
Desconocido Maule,07,SE28,0.0
Desconocido Nuble,16,SE28,1.0
Desconocido Biobio,08,SE28,11.0
Desconocido Araucania,09,SE28,0.0
Desconocido Los Rios,14,SE28,0.0
Desconocido Los Lagos,10,SE28,12.0
Desconocido Aysen,11,SE28,0.0
Desconocido Magallanes,12,SE28,0.0
Desconocido SEREMI,0,SE28,0.0
Desconocido Arica y Parinacota,15,SE29,2.0
Desconocido Tarapaca,01,SE29,33.0
Desconocido Antofagasta,02,SE29,23.0
Desconocido Atacama,03,SE29,3.0
Desconocido Coquimbo,04,SE29,12.0
Desconocido Valparaiso,05,SE29,23.0
Desconocido Metropolitana,13,SE29,138.0
Desconocido O’Higgins,06,SE29,2.0
Desconocido Maule,07,SE29,0.0
Desconocido Nuble,16,SE29,0.0
Desconocido Biobio,08,SE29,11.0
Desconocido Araucania,09,SE29,0.0
Desconocido Los Rios,14,SE29,0.0
Desconocido Los Lagos,10,SE29,4.0
Desconocido Aysen,11,SE29,0.0
Desconocido Magallanes,12,SE29,0.0
Desconocido SEREMI,0,SE29,0.0
Desconocido Arica y Parinacota,15,SE30,3.0
Desconocido Tarapaca,01,SE30,34.0
Desconocido Antofagasta,02,SE30,21.0
Desconocido Atacama,03,SE30,2.0
Desconocido Coquimbo,04,SE30,2.0
Desconocido Valparaiso,05,SE30,9.0
Desconocido Metropolitana,13,SE30,73.0
Desconocido O’Higgins,06,SE30,5.0
Desconocido Maule,07,SE30,0.0
Desconocido Nuble,16,SE30,0.0
Desconocido Biobio,08,SE30,10.0
Desconocido Araucania,09,SE30,0.0
Desconocido Los Rios,14,SE30,0.0
Desconocido Los Lagos,10,SE30,0.0
Desconocido Aysen,11,SE30,0.0
Desconocido Magallanes,12,SE30,1.0
Desconocido SEREMI,0,SE30,0.0
Desconocido Arica y Parinacota,15,SE31,3.0
Desconocido Tarapaca,01,SE31,17.0
Desconocido Antofagasta,02,SE31,27.0
Desconocido Atacama,03,SE31,0.0
Desconocido Coquimbo,04,SE31,8.0
Desconocido Valparaiso,05,SE31,10.0
Desconocido Metropolitana,13,SE31,91.0
Desconocido O’Higgins,06,SE31,0.0
Desconocido Maule,07,SE31,0.0
Desconocido Nuble,16,SE31,0.0
Desconocido Biobio,08,SE31,10.0
Desconocido Araucania,09,SE31,0.0
Desconocido Los Rios,14,SE31,0.0
Desconocido Los Lagos,10,SE31,1.0
Desconocido Aysen,11,SE31,0.0
Desconocido Magallanes,12,SE31,0.0
Desconocido SEREMI,0,SE31,0.0
Desconocido Arica y Parinacota,15,SE32,9.0
Desconocido Tarapaca,01,SE32,16.0
Desconocido Antofagasta,02,SE32,26.0
Desconocido Atacama,03,SE32,11.0
Desconocido Coquimbo,04,SE32,4.0
Desconocido Valparaiso,05,SE32,10.0
Desconocido Metropolitana,13,SE32,43.0
Desconocido O’Higgins,06,SE32,1.0
Desconocido Maule,07,SE32,0.0
Desconocido Nuble,16,SE32,0.0
Desconocido Biobio,08,SE32,6.0
Desconocido Araucania,09,SE32,0.0
Desconocido Los Rios,14,SE32,1.0
Desconocido Los Lagos,10,SE32,0.0
Desconocido Aysen,11,SE32,0.0
Desconocido Magallanes,12,SE32,0.0
Desconocido SEREMI,0,SE32,1.0
Desconocido Arica y Parinacota,15,SE33,2.0
Desconocido Tarapaca,01,SE33,13.0
Desconocido Antofagasta,02,SE33,14.0
Desconocido Atacama,03,SE33,2.0
Desconocido Coquimbo,04,SE33,2.0
Desconocido Valparaiso,05,SE33,6.0
Desconocido Metropolitana,13,SE33,25.0
Desconocido O’Higgins,06,SE33,0.0
Desconocido Maule,07,SE33,0.0
Desconocido Nuble,16,SE33,0.0
Desconocido Biobio,08,SE33,2.0
Desconocido Araucania,09,SE33,0.0
Desconocido Los Rios,14,SE33,0.0
Desconocido Los Lagos,10,SE33,0.0
Desconocido Aysen,11,SE33,0.0
Desconocido Magallanes,12,SE33,0.0
Desconocido SEREMI,0,SE33,0.0
Desconocido Arica y Parinacota,15,SE34,2.0
Desconocido Tarapaca,01,SE34,11.0
Desconocido Antofagasta,02,SE34,13.0
Desconocido Atacama,03,SE34,3.0
Desconocido Coquimbo,04,SE34,0.0
Desconocido Valparaiso,05,SE34,11.0
Desconocido Metropolitana,13,SE34,38.0
Desconocido O’Higgins,06,SE34,0.0
Desconocido Maule,07,SE34,1.0
Desconocido Nuble,16,SE34,1.0
Desconocido Biobio,08,SE34,6.0
Desconocido Araucania,09,SE34,0.0
Desconocido Los Rios,14,SE34,0.0
Desconocido Los Lagos,10,SE34,0.0
Desconocido Aysen,11,SE34,0.0
Desconocido Magallanes,12,SE34,5.0
Desconocido SEREMI,0,SE34,0.0
Desconocido Arica y Parinacota,15,SE35,0.0
Desconocido Tarapaca,01,SE35,13.0
Desconocido Antofagasta,02,SE35,10.0
Desconocido Atacama,03,SE35,1.0
Desconocido Coquimbo,04,SE35,0.0
Desconocido Valparaiso,05,SE35,13.0
Desconocido Metropolitana,13,SE35,39.0
Desconocido O’Higgins,06,SE35,5.0
Desconocido Maule,07,SE35,0.0
Desconocido Nuble,16,SE35,0.0
Desconocido Biobio,08,SE35,7.0
Desconocido Araucania,09,SE35,0.0
Desconocido Los Rios,14,SE35,0.0
Desconocido Los Lagos,10,SE35,2.0
Desconocido Aysen,11,SE35,0.0
Desconocido Magallanes,12,SE35,0.0
Desconocido SEREMI,0,SE35,0.0
Desconocido Arica y Parinacota,15,SE36,2.0
Desconocido Tarapaca,01,SE36,10.0
Desconocido Antofagasta,02,SE36,4.0
Desconocido Atacama,03,SE36,1.0
Desconocido Coquimbo,04,SE36,2.0
Desconocido Valparaiso,05,SE36,12.0
Desconocido Metropolitana,13,SE36,48.0
Desconocido O’Higgins,06,SE36,2.0
Desconocido Maule,07,SE36,0.0
Desconocido Nuble,16,SE36,0.0
Desconocido Biobio,08,SE36,1.0
Desconocido Araucania,09,SE36,1.0
Desconocido Los Rios,14,SE36,0.0
Desconocido Los Lagos,10,SE36,2.0
Desconocido Aysen,11,SE36,0.0
Desconocido Magallanes,12,SE36,5.0
Desconocido SEREMI,0,SE36,0.0
Desconocido Arica y Parinacota,15,SE37,2.0
Desconocido Tarapaca,01,SE37,15.0
Desconocido Antofagasta,02,SE37,8.0
Desconocido Atacama,03,SE37,1.0
Desconocido Coquimbo,04,SE37,2.0
Desconocido Valparaiso,05,SE37,11.0
Desconocido Metropolitana,13,SE37,46.0
Desconocido O’Higgins,06,SE37,2.0
Desconocido Maule,07,SE37,0.0
Desconocido Nuble,16,SE37,0.0
Desconocido Biobio,08,SE37,0.0
Desconocido Araucania,09,SE37,0.0
Desconocido Los Rios,14,SE37,0.0
Desconocido Los Lagos,10,SE37,1.0
Desconocido Aysen,11,SE37,0.0
Desconocido Magallanes,12,SE37,8.0
Desconocido SEREMI,0,SE37,0.0
Desconocido Arica y Parinacota,15,SE38,5.0
Desconocido Tarapaca,01,SE38,40.0
Desconocido Antofagasta,02,SE38,3.0
Desconocido Atacama,03,SE38,0.0
Desconocido Coquimbo,04,SE38,2.0
Desconocido Valparaiso,05,SE38,8.0
Desconocido Metropolitana,13,SE38,30.0
Desconocido O’Higgins,06,SE38,4.0
Desconocido Maule,07,SE38,0.0
Desconocido Nuble,16,SE38,0.0
Desconocido Biobio,08,SE38,1.0
Desconocido Araucania,09,SE38,1.0
Desconocido Los Rios,14,SE38,0.0
Desconocido Los Lagos,10,SE38,1.0
Desconocido Aysen,11,SE38,1.0
Desconocido Magallanes,12,SE38,4.0
Desconocido SEREMI,0,SE38,0.0
Desconocido Arica y Parinacota,15,SE39,3.0
Desconocido Tarapaca,01,SE39,64.0
Desconocido Antofagasta,02,SE39,5.0
Desconocido Atacama,03,SE39,2.0
Desconocido Coquimbo,04,SE39,1.0
Desconocido Valparaiso,05,SE39,9.0
Desconocido Metropolitana,13,SE39,60.0
Desconocido O’Higgins,06,SE39,3.0
Desconocido Maule,07,SE39,2.0
Desconocido Nuble,16,SE39,0.0
Desconocido Biobio,08,SE39,5.0
Desconocido Araucania,09,SE39,1.0
Desconocido Los Rios,14,SE39,0.0
Desconocido Los Lagos,10,SE39,2.0
Desconocido Aysen,11,SE39,0.0
Desconocido Magallanes,12,SE39,2.0
Desconocido SEREMI,0,SE39,0.0
Desconocido Arica y Parinacota,15,SE40,2.0
Desconocido Tarapaca,01,SE40,75.0
Desconocido Antofagasta,02,SE40,6.0
Desconocido Atacama,03,SE40,1.0
Desconocido Coquimbo,04,SE40,0.0
Desconocido Valparaiso,05,SE40,22.0
Desconocido Metropolitana,13,SE40,89.0
Desconocido O’Higgins,06,SE40,12.0
Desconocido Maule,07,SE40,3.0
Desconocido Nuble,16,SE40,0.0
Desconocido Biobio,08,SE40,11.0
Desconocido Araucania,09,SE40,0.0
Desconocido Los Rios,14,SE40,0.0
Desconocido Los Lagos,10,SE40,40.0
Desconocido Aysen,11,SE40,0.0
Desconocido Magallanes,12,SE40,4.0
Desconocido SEREMI,0,SE40,0.0
Desconocido Arica y Parinacota,15,SE41,0.0
Desconocido Tarapaca,01,SE41,0.0
Desconocido Antofagasta,02,SE41,0.0
Desconocido Atacama,03,SE41,0.0
Desconocido Coquimbo,04,SE41,0.0
Desconocido Valparaiso,05,SE41,0.0
Desconocido Metropolitana,13,SE41,0.0
Desconocido O’Higgins,06,SE41,0.0
Desconocido Maule,07,SE41,0.0
Desconocido Nuble,16,SE41,0.0
Desconocido Biobio,08,SE41,0.0
Desconocido Araucania,09,SE41,0.0
Desconocido Los Rios,14,SE41,0.0
Desconocido Los Lagos,10,SE41,0.0
Desconocido Aysen,11,SE41,0.0
Desconocido Magallanes,12,SE41,0.0
Desconocido SEREMI,0,SE41,0.0
