Sintomas,Cefalea,Tos,Mialgia,Fiebre,Odinofagia,Anosmia,Ageusia,Disnea,Diarrea,Dolor torácico,Dolor abdominal,Taquipnea,Cianosis,Postración,Congestión nasal,Cefalea,Tos,Mialgia,Fiebre,Odinofagia,Anosmia,Ageusia,Disnea,Diarrea,Dolor torácico,Dolor abdominal,Taquipnea,Cianosis,Postración,Congestión nasal
2020-04-04,2031,2621,2143,2199,1623,,,639,322,264,154,142,16,,,184,362,243,357,159,,,202,58,57,27,69,9,,
2020-04-05,2194,2810,2303,2347,1733,,,704,356,302,179,161,17,,,199,390,257,381,174,,,226,62,63,27,80,10,,
2020-04-06,2310,2976,2438,2478,1823,,,753,368,333,190,178,18,,,209,418,274,405,185,,,248,66,71,27,91,11,,
2020-04-07,2441,3115,2565,2603,1903,,,794,397,353,198,187,22,,,228,451,295,439,201,,,264,73,75,32,95,13,,
2020-04-08,2603,3274,2706,2728,1999,,,839,428,377,220,190,23,,,256,489,314,463,215,,,285,76,84,38,100,13,,
2020-04-09,2739,3420,2810,2818,2090,,,861,450,392,227,194,23,,,297,548,361,528,245,,,308,87,92,43,108,15,,
2020-04-10,2876,3548,2934,2925,2170,,,911,482,405,248,205,23,,,346,619,422,598,279,,,342,95,97,50,121,15,,
2020-04-11,2977,3667,3025,2990,2241,,,935,502,424,257,209,23,,,374,674,456,648,307,,,358,105,103,52,125,16,,
2020-04-12,3040,3750,3082,3041,2287,,,953,511,432,260,211,24,,,380,684,462,657,311,,,365,108,105,53,126,16,,
2020-06-12,87154.0,83726.0,83092.0,61082.0,50081.0,24235.0,18803.0,15766.0,13609.0,11988.0,8105.0,1626.0,147.0,,,8309.0,6813.0,5872.0,5597.0,4444.0,2479.0,1856.0,1455.0,1100.0,849.0,626.0,531.0,287.0,,
2020-06-15,97888.0,94246.0,93630.0,67976.0,55893.0,28087.0,21841.0,17994.0,15338.0,13718.0,9117.0,1836.0,162.0,,,9291.0,7580.0,6586.0,6285.0,4981.0,2757.0,2057.0,1629.0,1230.0,934.0,720.0,600.0,316.0,,
2020-06-19,130436.0,124642.0,124048.0,84973.0,73432.0,38109.0,29971.0,24607.0,21222.0,19516.0,12594.0,2459.0,229.0,,,5653.0,10501.0,7109.0,8523.0,3054.0,828.0,697.0,7109.0,1415.0,1864.0,1058.0,2379.0,380.0,,
2020-06-23,144757.0,137903.0,137349.0,92704.0,81315.0,42741.0,33609.0,27654.0,23747.0,21982.0,14121.0,2789.0,269.0,,,5990.0,11214.0,7600.0,9084.0,3215.0,877.0,744.0,8192.0,1512.0,2006.0,1160.0,2547.0,409.0,,
2020-06-28,159769.0,151693.0,151387.0,100374.0,89124.0,47962.0,37750.0,30639.0,26539.0,24463.0,15692.0,3024.0,292.0,,,6409.0,12027.0,8966.0,9708.0,3366.0,971.0,821.0,8151.0,1635.0,2181.0,1274.0,2767.0,442.0,,
2020-07-01,165852.0,157279.0,157108.0,103604.0,92404.0,50159.0,39509.0,31978.0,27708.0,25530.0,16406.0,3155.0,304.0,,,6597.0,12411.0,8424.0,9997.0,3438.0,1013.0,846.0,9321.0,1694.0,2283.0,1317.0,2895.0,475.0,,
2020-07-05,175697.0,166166.0,166053.0,108473.0,97597.0,53589.0,42318.0,33833.0,29777.0,27176.0,17502.0,3342.0,317.0,,,6887.0,9797.0,12981.0,10408.0,3561.0,1057.0,893.0,9797.0,1785.0,2416.0,1398.0,3040.0,502.0,,
2020-07-10,184812.0,174011.0,174173.0,112884.0,102448.0,56837.0,44984.0,35565.0,31613.0,28689.0,18601.0,3534.0,334.0,,,7250.0,13639.0,9238.0,10879.0,3725.0,1130.0,951.0,10352.0,1889.0,2595.0,1499.0,3225.0,532.0,,
2020-07-13,190147.0,178583.0,178872.0,115332.0,105254.0,58809.0,46592.0,36522.0,32570.0,29517.0,19172.0,3623.0,341.0,,,7522.0,14112.0,9582.0,11213.0,3851.0,1193.0,1008.0,10761.0,1988.0,2674.0,1567.0,3335.0,555.0,,
2020-07-17,195376.0,183196.0,183569.0,117889.0,108064.0,60617.0,48015.0,37543.0,33528.0,30311.0,19769.0,3731.0,342.0,,,7727.0,14507.0,9840.0,11482.0,3961.0,1231.0,1045.0,11056.0,2054.0,2761.0,1617.0,3427.0,568.0,,
