Sintomas,Hospitalización,fecha,numero
Taquipnea,SI,2020-03-16,
Cianosis,SI,2020-03-16,
Postración,SI,2020-03-16,
Congestión nasal,SI,2020-03-16,
Cefalea,NO,2020-03-24,394
Tos,NO,2020-03-24,597
Mialgia,NO,2020-03-24,452
Fiebre,NO,2020-03-24,496
Odinofagia,NO,2020-03-24,407
Anosmia,NO,2020-03-24,
Ageusia,NO,2020-03-24,
Disnea,NO,2020-03-24,78
Diarrea,NO,2020-03-24,
Dolor torácico,NO,2020-03-24,41
Dolor abdominal,NO,2020-03-24,16
Taquipnea,NO,2020-03-24,16
Cianosis,NO,2020-03-24,1
Postración,NO,2020-03-24,5
Congestión nasal,NO,2020-03-24,
Cefalea,SI,2020-03-24,
Tos,SI,2020-03-24,
Mialgia,SI,2020-03-24,
Fiebre,SI,2020-03-24,
Odinofagia,SI,2020-03-24,
Anosmia,SI,2020-03-24,
Ageusia,SI,2020-03-24,
Disnea,SI,2020-03-24,
Diarrea,SI,2020-03-24,
Dolor torácico,SI,2020-03-24,
Dolor abdominal,SI,2020-03-24,
Taquipnea,SI,2020-03-24,
Cianosis,SI,2020-03-24,
Postración,SI,2020-03-24,
Congestión nasal,SI,2020-03-24,
Cefalea,NO,2020-03-25,
Tos,NO,2020-03-25,
Mialgia,NO,2020-03-25,
Fiebre,NO,2020-03-25,
Odinofagia,NO,2020-03-25,
Anosmia,NO,2020-03-25,
Ageusia,NO,2020-03-25,
Disnea,NO,2020-03-25,
Diarrea,NO,2020-03-25,
Dolor torácico,NO,2020-03-25,
Dolor abdominal,NO,2020-03-25,
Taquipnea,NO,2020-03-25,
Cianosis,NO,2020-03-25,
Postración,NO,2020-03-25,
Congestión nasal,NO,2020-03-25,
Cefalea,SI,2020-03-25,48
Tos,SI,2020-03-25,103
Mialgia,SI,2020-03-25,71
Fiebre,SI,2020-03-25,98
Odinofagia,SI,2020-03-25,48
Anosmia,SI,2020-03-25,
Ageusia,SI,2020-03-25,
Disnea,SI,2020-03-25,34
Diarrea,SI,2020-03-25,7
Dolor torácico,SI,2020-03-25,11
Dolor abdominal,SI,2020-03-25,3
Taquipnea,SI,2020-03-25,10
Cianosis,SI,2020-03-25,3
Postración,SI,2020-03-25,1
Congestión nasal,SI,2020-03-25,
Cefalea,NO,2020-03-26,578
Tos,NO,2020-03-26,896
Mialgia,NO,2020-03-26,689
Fiebre,NO,2020-03-26,738
Odinofagia,NO,2020-03-26,575
Anosmia,NO,2020-03-26,
Ageusia,NO,2020-03-26,
Disnea,NO,2020-03-26,139
Diarrea,NO,2020-03-26,55
Dolor torácico,NO,2020-03-26,64
Dolor abdominal,NO,2020-03-26,26
Taquipnea,NO,2020-03-26,27
Cianosis,NO,2020-03-26,3
Postración,NO,2020-03-26,5
Congestión nasal,NO,2020-03-26,
Cefalea,SI,2020-03-26,60
Tos,SI,2020-03-26,129
Mialgia,SI,2020-03-26,88
Fiebre,SI,2020-03-26,122
Odinofagia,SI,2020-03-26,54
Anosmia,SI,2020-03-26,
Ageusia,SI,2020-03-26,
Disnea,SI,2020-03-26,49
Diarrea,SI,2020-03-26,11
Dolor torácico,SI,2020-03-26,16
Dolor abdominal,SI,2020-03-26,4
Taquipnea,SI,2020-03-26,15
Cianosis,SI,2020-03-26,3
Postración,SI,2020-03-26,1
Congestión nasal,SI,2020-03-26,
Cefalea,NO,2020-03-27,671
Tos,NO,2020-03-27,1030
Mialgia,NO,2020-03-27,793
Fiebre,NO,2020-03-27,866
Odinofagia,NO,2020-03-27,663
Anosmia,NO,2020-03-27,
Ageusia,NO,2020-03-27,
Disnea,NO,2020-03-27,171
Diarrea,NO,2020-03-27,73
Dolor torácico,NO,2020-03-27,77
Dolor abdominal,NO,2020-03-27,33
Taquipnea,NO,2020-03-27,31
Cianosis,NO,2020-03-27,4
Postración,NO,2020-03-27,5
Congestión nasal,NO,2020-03-27,
Cefalea,SI,2020-03-27,65
Tos,SI,2020-03-27,147
Mialgia,SI,2020-03-27,97
Fiebre,SI,2020-03-27,141
Odinofagia,SI,2020-03-27,63
Anosmia,SI,2020-03-27,
Ageusia,SI,2020-03-27,
Disnea,SI,2020-03-27,62
Diarrea,SI,2020-03-27,13
Dolor torácico,SI,2020-03-27,17
Dolor abdominal,SI,2020-03-27,4
Taquipnea,SI,2020-03-27,18
Cianosis,SI,2020-03-27,4
Postración,SI,2020-03-27,1
Congestión nasal,SI,2020-03-27,
Cefalea,NO,2020-03-28,836
Tos,NO,2020-03-28,1231
Mialgia,NO,2020-03-28,966
Fiebre,NO,2020-03-28,1053
Odinofagia,NO,2020-03-28,768
Anosmia,NO,2020-03-28,
Ageusia,NO,2020-03-28,
Disnea,NO,2020-03-28,217
Diarrea,NO,2020-03-28,105
Dolor torácico,NO,2020-03-28,93
Dolor abdominal,NO,2020-03-28,47
Taquipnea,NO,2020-03-28,42
Cianosis,NO,2020-03-28,4
Postración,NO,2020-03-28,6
Congestión nasal,NO,2020-03-28,
Cefalea,SI,2020-03-28,83
Tos,SI,2020-03-28,173
Mialgia,SI,2020-03-28,116
Fiebre,SI,2020-03-28,171
Odinofagia,SI,2020-03-28,75
Anosmia,SI,2020-03-28,
Ageusia,SI,2020-03-28,
Disnea,SI,2020-03-28,80
Diarrea,SI,2020-03-28,18
Dolor torácico,SI,2020-03-28,22
Dolor abdominal,SI,2020-03-28,7
Taquipnea,SI,2020-03-28,25
Cianosis,SI,2020-03-28,4
Postración,SI,2020-03-28,1
Congestión nasal,SI,2020-03-28,
Cefalea,NO,2020-03-29,945
Tos,NO,2020-03-29,1359
Mialgia,NO,2020-03-29,1064
Fiebre,NO,2020-03-29,1148
Odinofagia,NO,2020-03-29,843
Anosmia,NO,2020-03-29,
Ageusia,NO,2020-03-29,
Disnea,NO,2020-03-29,247
Diarrea,NO,2020-03-29,121
Dolor torácico,NO,2020-03-29,109
Dolor abdominal,NO,2020-03-29,50
Taquipnea,NO,2020-03-29,51
Cianosis,NO,2020-03-29,6
Postración,NO,2020-03-29,9
Congestión nasal,NO,2020-03-29,
Cefalea,SI,2020-03-29,86
Tos,SI,2020-03-29,180
Mialgia,SI,2020-03-29,118
Fiebre,SI,2020-03-29,178
Odinofagia,SI,2020-03-29,80
Anosmia,SI,2020-03-29,
Ageusia,SI,2020-03-29,
Disnea,SI,2020-03-29,86
Diarrea,SI,2020-03-29,19
Dolor torácico,SI,2020-03-29,23
Dolor abdominal,SI,2020-03-29,7
Taquipnea,SI,2020-03-29,27
Cianosis,SI,2020-03-29,4
Postración,SI,2020-03-29,1
Congestión nasal,SI,2020-03-29,
Cefalea,NO,2020-03-30,1057
Tos,NO,2020-03-30,1495
Mialgia,NO,2020-03-30,1184
Fiebre,NO,2020-03-30,1257
Odinofagia,NO,2020-03-30,927
Anosmia,NO,2020-03-30,
Ageusia,NO,2020-03-30,
Disnea,NO,2020-03-30,297
Diarrea,NO,2020-03-30,142
Dolor torácico,NO,2020-03-30,123
Dolor abdominal,NO,2020-03-30,60
Taquipnea,NO,2020-03-30,62
Cianosis,NO,2020-03-30,9
Postración,NO,2020-03-30,
Congestión nasal,NO,2020-03-30,
Cefalea,SI,2020-03-30,95
Tos,SI,2020-03-30,200
Mialgia,SI,2020-03-30,132
Fiebre,SI,2020-03-30,195
Odinofagia,SI,2020-03-30,87
Anosmia,SI,2020-03-30,
Ageusia,SI,2020-03-30,
Disnea,SI,2020-03-30,99
Diarrea,SI,2020-03-30,23
Dolor torácico,SI,2020-03-30,26
Dolor abdominal,SI,2020-03-30,9
Taquipnea,SI,2020-03-30,33
Cianosis,SI,2020-03-30,6
Postración,SI,2020-03-30,
Congestión nasal,SI,2020-03-30,
Cefalea,NO,2020-03-31,1232
Tos,NO,2020-03-31,1714
Mialgia,NO,2020-03-31,1349
Fiebre,NO,2020-03-31,1440
Odinofagia,NO,2020-03-31,1047
Anosmia,NO,2020-03-31,
Ageusia,NO,2020-03-31,
Disnea,NO,2020-03-31,353
Diarrea,NO,2020-03-31,172
Dolor torácico,NO,2020-03-31,140
Dolor abdominal,NO,2020-03-31,73
Taquipnea,NO,2020-03-31,80
Cianosis,NO,2020-03-31,9
Postración,NO,2020-03-31,
Congestión nasal,NO,2020-03-31,
Cefalea,SI,2020-03-31,115
Tos,SI,2020-03-31,234
Mialgia,SI,2020-03-31,154
Fiebre,SI,2020-03-31,231
Odinofagia,SI,2020-03-31,100
Anosmia,SI,2020-03-31,
Ageusia,SI,2020-03-31,
Disnea,SI,2020-03-31,120
Diarrea,SI,2020-03-31,28
Dolor torácico,SI,2020-03-31,32
Dolor abdominal,SI,2020-03-31,12
Taquipnea,SI,2020-03-31,39
Cianosis,SI,2020-03-31,6
Postración,SI,2020-03-31,
Congestión nasal,SI,2020-03-31,
Cefalea,NO,2020-04-01,1448
Tos,NO,2020-04-01,1992
Mialgia,NO,2020-04-01,1553
Fiebre,NO,2020-04-01,1657
Odinofagia,NO,2020-04-01,1191
Anosmia,NO,2020-04-01,
Ageusia,NO,2020-04-01,
Disnea,NO,2020-04-01,426
Diarrea,NO,2020-04-01,207
Dolor torácico,NO,2020-04-01,172
Dolor abdominal,NO,2020-04-01,92
Taquipnea,NO,2020-04-01,99
Cianosis,NO,2020-04-01,10
Postración,NO,2020-04-01,
Congestión nasal,NO,2020-04-01,
Cefalea,SI,2020-04-01,133
Tos,SI,2020-04-01,273
Mialgia,SI,2020-04-01,174
Fiebre,SI,2020-04-01,264
Odinofagia,SI,2020-04-01,112
Anosmia,SI,2020-04-01,
Ageusia,SI,2020-04-01,
Disnea,SI,2020-04-01,141
Diarrea,SI,2020-04-01,37
Dolor torácico,SI,2020-04-01,34
Dolor abdominal,SI,2020-04-01,16
Taquipnea,SI,2020-04-01,48
Cianosis,SI,2020-04-01,7
Postración,SI,2020-04-01,
Congestión nasal,SI,2020-04-01,
Cefalea,NO,2020-04-02,1557
Tos,NO,2020-04-02,2136
Mialgia,NO,2020-04-02,1656
Fiebre,NO,2020-04-02,1757
Odinofagia,NO,2020-04-02,1275
Anosmia,NO,2020-04-02,
Ageusia,NO,2020-04-02,
Disnea,NO,2020-04-02,465
Diarrea,NO,2020-04-02,237
Dolor torácico,NO,2020-04-02,189
Dolor abdominal,NO,2020-04-02,102
Taquipnea,NO,2020-04-02,107
Cianosis,NO,2020-04-02,10
Postración,NO,2020-04-02,
Congestión nasal,NO,2020-04-02,
Cefalea,SI,2020-04-02,139
Tos,SI,2020-04-02,284
Mialgia,SI,2020-04-02,181
Fiebre,SI,2020-04-02,274
Odinofagia,SI,2020-04-02,118
Anosmia,SI,2020-04-02,
Ageusia,SI,2020-04-02,
Disnea,SI,2020-04-02,149
Diarrea,SI,2020-04-02,41
Dolor torácico,SI,2020-04-02,36
Dolor abdominal,SI,2020-04-02,17
Taquipnea,SI,2020-04-02,52
Cianosis,SI,2020-04-02,7
Postración,SI,2020-04-02,
Congestión nasal,SI,2020-04-02,
Cefalea,NO,2020-04-03,1813
Tos,NO,2020-04-03,2359
Mialgia,NO,2020-04-03,1923
Fiebre,NO,2020-04-03,2007
Odinofagia,NO,2020-04-03,1476
Anosmia,NO,2020-04-03,
Ageusia,NO,2020-04-03,
Disnea,NO,2020-04-03,559
Diarrea,NO,2020-04-03,281
Dolor torácico,NO,2020-04-03,231
Dolor abdominal,NO,2020-04-03,131
Taquipnea,NO,2020-04-03,128
Cianosis,NO,2020-04-03,15
Postración,NO,2020-04-03,
Congestión nasal,NO,2020-04-03,
Cefalea,SI,2020-04-03,166
Tos,SI,2020-04-03,318
Mialgia,SI,2020-04-03,212
Fiebre,SI,2020-04-03,320
Odinofagia,SI,2020-04-03,144
Anosmia,SI,2020-04-03,
Ageusia,SI,2020-04-03,
Disnea,SI,2020-04-03,176
Diarrea,SI,2020-04-03,50
Dolor torácico,SI,2020-04-03,46
Dolor abdominal,SI,2020-04-03,21
Taquipnea,SI,2020-04-03,61
Cianosis,SI,2020-04-03,10
Postración,SI,2020-04-03,
Congestión nasal,SI,2020-04-03,
Cefalea,NO,2020-04-04,2031
Tos,NO,2020-04-04,2621
Mialgia,NO,2020-04-04,2143
Fiebre,NO,2020-04-04,2199
Odinofagia,NO,2020-04-04,1623
Anosmia,NO,2020-04-04,
Ageusia,NO,2020-04-04,
Disnea,NO,2020-04-04,639
Diarrea,NO,2020-04-04,322
Dolor torácico,NO,2020-04-04,264
Dolor abdominal,NO,2020-04-04,154
Taquipnea,NO,2020-04-04,142
Cianosis,NO,2020-04-04,16
Postración,NO,2020-04-04,
Congestión nasal,NO,2020-04-04,
Cefalea,SI,2020-04-04,184
Tos,SI,2020-04-04,362
Mialgia,SI,2020-04-04,243
Fiebre,SI,2020-04-04,357
Odinofagia,SI,2020-04-04,159
Anosmia,SI,2020-04-04,
Ageusia,SI,2020-04-04,
Disnea,SI,2020-04-04,202
Diarrea,SI,2020-04-04,58
Dolor torácico,SI,2020-04-04,57
Dolor abdominal,SI,2020-04-04,27
Taquipnea,SI,2020-04-04,69
Cianosis,SI,2020-04-04,9
Postración,SI,2020-04-04,
Congestión nasal,SI,2020-04-04,
Cefalea,NO,2020-04-05,2194
Tos,NO,2020-04-05,2810
Mialgia,NO,2020-04-05,2303
Fiebre,NO,2020-04-05,2347
Odinofagia,NO,2020-04-05,1733
Anosmia,NO,2020-04-05,
Ageusia,NO,2020-04-05,
Disnea,NO,2020-04-05,704
Diarrea,NO,2020-04-05,356
Dolor torácico,NO,2020-04-05,302
Dolor abdominal,NO,2020-04-05,179
Taquipnea,NO,2020-04-05,161
Cianosis,NO,2020-04-05,17
Postración,NO,2020-04-05,
Congestión nasal,NO,2020-04-05,
Cefalea,SI,2020-04-05,199
Tos,SI,2020-04-05,390
Mialgia,SI,2020-04-05,257
Fiebre,SI,2020-04-05,381
Odinofagia,SI,2020-04-05,174
Anosmia,SI,2020-04-05,
Ageusia,SI,2020-04-05,
Disnea,SI,2020-04-05,226
Diarrea,SI,2020-04-05,62
Dolor torácico,SI,2020-04-05,63
Dolor abdominal,SI,2020-04-05,27
Taquipnea,SI,2020-04-05,80
Cianosis,SI,2020-04-05,10
Postración,SI,2020-04-05,
Congestión nasal,SI,2020-04-05,
Cefalea,NO,2020-04-06,2310
Tos,NO,2020-04-06,2976
Mialgia,NO,2020-04-06,2438
Fiebre,NO,2020-04-06,2478
Odinofagia,NO,2020-04-06,1823
Anosmia,NO,2020-04-06,
Ageusia,NO,2020-04-06,
Disnea,NO,2020-04-06,753
Diarrea,NO,2020-04-06,368
Dolor torácico,NO,2020-04-06,333
Dolor abdominal,NO,2020-04-06,190
Taquipnea,NO,2020-04-06,178
Cianosis,NO,2020-04-06,18
Postración,NO,2020-04-06,
Congestión nasal,NO,2020-04-06,
Cefalea,SI,2020-04-06,209
Tos,SI,2020-04-06,418
Mialgia,SI,2020-04-06,274
Fiebre,SI,2020-04-06,405
Odinofagia,SI,2020-04-06,185
Anosmia,SI,2020-04-06,
Ageusia,SI,2020-04-06,
Disnea,SI,2020-04-06,248
Diarrea,SI,2020-04-06,66
Dolor torácico,SI,2020-04-06,71
Dolor abdominal,SI,2020-04-06,27
Taquipnea,SI,2020-04-06,91
Cianosis,SI,2020-04-06,11
Postración,SI,2020-04-06,
Congestión nasal,SI,2020-04-06,
Cefalea,NO,2020-04-07,2441
Tos,NO,2020-04-07,3115
Mialgia,NO,2020-04-07,2565
Fiebre,NO,2020-04-07,2603
Odinofagia,NO,2020-04-07,1903
Anosmia,NO,2020-04-07,
Ageusia,NO,2020-04-07,
Disnea,NO,2020-04-07,794
Diarrea,NO,2020-04-07,397
Dolor torácico,NO,2020-04-07,353
Dolor abdominal,NO,2020-04-07,198
Taquipnea,NO,2020-04-07,187
Cianosis,NO,2020-04-07,22
Postración,NO,2020-04-07,
Congestión nasal,NO,2020-04-07,
Cefalea,SI,2020-04-07,228
Tos,SI,2020-04-07,451
Mialgia,SI,2020-04-07,295
Fiebre,SI,2020-04-07,439
Odinofagia,SI,2020-04-07,201
Anosmia,SI,2020-04-07,
Ageusia,SI,2020-04-07,
Disnea,SI,2020-04-07,264
Diarrea,SI,2020-04-07,73
Dolor torácico,SI,2020-04-07,75
Dolor abdominal,SI,2020-04-07,32
Taquipnea,SI,2020-04-07,95
Cianosis,SI,2020-04-07,13
Postración,SI,2020-04-07,
Congestión nasal,SI,2020-04-07,
Cefalea,NO,2020-04-08,2603
Tos,NO,2020-04-08,3274
Mialgia,NO,2020-04-08,2706
Fiebre,NO,2020-04-08,2728
Odinofagia,NO,2020-04-08,1999
Anosmia,NO,2020-04-08,
Ageusia,NO,2020-04-08,
Disnea,NO,2020-04-08,839
Diarrea,NO,2020-04-08,428
Dolor torácico,NO,2020-04-08,377
Dolor abdominal,NO,2020-04-08,220
Taquipnea,NO,2020-04-08,190
Cianosis,NO,2020-04-08,23
Postración,NO,2020-04-08,
Congestión nasal,NO,2020-04-08,
Cefalea,SI,2020-04-08,256
Tos,SI,2020-04-08,489
Mialgia,SI,2020-04-08,314
Fiebre,SI,2020-04-08,463
Odinofagia,SI,2020-04-08,215
Anosmia,SI,2020-04-08,
Ageusia,SI,2020-04-08,
Disnea,SI,2020-04-08,285
Diarrea,SI,2020-04-08,76
Dolor torácico,SI,2020-04-08,84
Dolor abdominal,SI,2020-04-08,38
Taquipnea,SI,2020-04-08,100
Cianosis,SI,2020-04-08,13
Postración,SI,2020-04-08,
Congestión nasal,SI,2020-04-08,
Cefalea,NO,2020-04-09,2739
Tos,NO,2020-04-09,3420
Mialgia,NO,2020-04-09,2810
Fiebre,NO,2020-04-09,2818
Odinofagia,NO,2020-04-09,2090
Anosmia,NO,2020-04-09,
Ageusia,NO,2020-04-09,
Disnea,NO,2020-04-09,861
Diarrea,NO,2020-04-09,450
Dolor torácico,NO,2020-04-09,392
Dolor abdominal,NO,2020-04-09,227
Taquipnea,NO,2020-04-09,194
Cianosis,NO,2020-04-09,23
Postración,NO,2020-04-09,
Congestión nasal,NO,2020-04-09,
Cefalea,SI,2020-04-09,297
Tos,SI,2020-04-09,548
Mialgia,SI,2020-04-09,361
Fiebre,SI,2020-04-09,528
Odinofagia,SI,2020-04-09,245
Anosmia,SI,2020-04-09,
Ageusia,SI,2020-04-09,
Disnea,SI,2020-04-09,308
Diarrea,SI,2020-04-09,87
Dolor torácico,SI,2020-04-09,92
Dolor abdominal,SI,2020-04-09,43
Taquipnea,SI,2020-04-09,108
Cianosis,SI,2020-04-09,15
Postración,SI,2020-04-09,
Congestión nasal,SI,2020-04-09,
Cefalea,NO,2020-04-10,2876
Tos,NO,2020-04-10,3548
Mialgia,NO,2020-04-10,2934
Fiebre,NO,2020-04-10,2925
Odinofagia,NO,2020-04-10,2170
Anosmia,NO,2020-04-10,
Ageusia,NO,2020-04-10,
Disnea,NO,2020-04-10,911
Diarrea,NO,2020-04-10,482
Dolor torácico,NO,2020-04-10,405
Dolor abdominal,NO,2020-04-10,248
Taquipnea,NO,2020-04-10,205
Cianosis,NO,2020-04-10,23
Postración,NO,2020-04-10,
Congestión nasal,NO,2020-04-10,
Cefalea,SI,2020-04-10,346
Tos,SI,2020-04-10,619
Mialgia,SI,2020-04-10,422
Fiebre,SI,2020-04-10,598
Odinofagia,SI,2020-04-10,279
Anosmia,SI,2020-04-10,
Ageusia,SI,2020-04-10,
Disnea,SI,2020-04-10,342
Diarrea,SI,2020-04-10,95
Dolor torácico,SI,2020-04-10,97
Dolor abdominal,SI,2020-04-10,50
Taquipnea,SI,2020-04-10,121
Cianosis,SI,2020-04-10,15
Postración,SI,2020-04-10,
Congestión nasal,SI,2020-04-10,
Cefalea,NO,2020-04-11,2977
Tos,NO,2020-04-11,3667
Mialgia,NO,2020-04-11,3025
Fiebre,NO,2020-04-11,2990
Odinofagia,NO,2020-04-11,2241
Anosmia,NO,2020-04-11,
Ageusia,NO,2020-04-11,
Disnea,NO,2020-04-11,935
Diarrea,NO,2020-04-11,502
Dolor torácico,NO,2020-04-11,424
Dolor abdominal,NO,2020-04-11,257
Taquipnea,NO,2020-04-11,209
Cianosis,NO,2020-04-11,23
Postración,NO,2020-04-11,
Congestión nasal,NO,2020-04-11,
Cefalea,SI,2020-04-11,374
Tos,SI,2020-04-11,674
Mialgia,SI,2020-04-11,456
Fiebre,SI,2020-04-11,648
Odinofagia,SI,2020-04-11,307
Anosmia,SI,2020-04-11,
Ageusia,SI,2020-04-11,
Disnea,SI,2020-04-11,358
Diarrea,SI,2020-04-11,105
Dolor torácico,SI,2020-04-11,103
Dolor abdominal,SI,2020-04-11,52
Taquipnea,SI,2020-04-11,125
Cianosis,SI,2020-04-11,16
Postración,SI,2020-04-11,
Congestión nasal,SI,2020-04-11,
Cefalea,NO,2020-04-12,3040
Tos,NO,2020-04-12,3750
Mialgia,NO,2020-04-12,3082
Fiebre,NO,2020-04-12,3041
Odinofagia,NO,2020-04-12,2287
Anosmia,NO,2020-04-12,
Ageusia,NO,2020-04-12,
Disnea,NO,2020-04-12,953
Diarrea,NO,2020-04-12,511
Dolor torácico,NO,2020-04-12,432
Dolor abdominal,NO,2020-04-12,260
Taquipnea,NO,2020-04-12,211
Cianosis,NO,2020-04-12,24
Postración,NO,2020-04-12,
Congestión nasal,NO,2020-04-12,
Cefalea,SI,2020-04-12,380
Tos,SI,2020-04-12,684
Mialgia,SI,2020-04-12,462
Fiebre,SI,2020-04-12,657
Odinofagia,SI,2020-04-12,311
Anosmia,SI,2020-04-12,
Ageusia,SI,2020-04-12,
Disnea,SI,2020-04-12,365
Diarrea,SI,2020-04-12,108
Dolor torácico,SI,2020-04-12,105
Dolor abdominal,SI,2020-04-12,53
Taquipnea,SI,2020-04-12,126
Cianosis,SI,2020-04-12,16
Postración,SI,2020-04-12,
Congestión nasal,SI,2020-04-12,
Cefalea,NO,2020-06-12,87154.0
Tos,NO,2020-06-12,83726.0
Mialgia,NO,2020-06-12,83092.0
Fiebre,NO,2020-06-12,61082.0
Odinofagia,NO,2020-06-12,50081.0
Anosmia,NO,2020-06-12,24235.0
Ageusia,NO,2020-06-12,18803.0
Disnea,NO,2020-06-12,15766.0
Diarrea,NO,2020-06-12,13609.0
Dolor torácico,NO,2020-06-12,11988.0
Dolor abdominal,NO,2020-06-12,8105.0
Taquipnea,NO,2020-06-12,1626.0
Cianosis,NO,2020-06-12,147.0
Postración,NO,2020-06-12,
Congestión nasal,NO,2020-06-12,
Cefalea,SI,2020-06-12,8309.0
Tos,SI,2020-06-12,6813.0
Mialgia,SI,2020-06-12,5872.0
Fiebre,SI,2020-06-12,5597.0
Odinofagia,SI,2020-06-12,4444.0
Anosmia,SI,2020-06-12,2479.0
Ageusia,SI,2020-06-12,1856.0
Disnea,SI,2020-06-12,1455.0
Diarrea,SI,2020-06-12,1100.0
Dolor torácico,SI,2020-06-12,849.0
Dolor abdominal,SI,2020-06-12,626.0
Taquipnea,SI,2020-06-12,531.0
Cianosis,SI,2020-06-12,287.0
Postración,SI,2020-06-12,
Congestión nasal,SI,2020-06-12,
Cefalea,NO,2020-06-15,97888.0
Tos,NO,2020-06-15,94246.0
Mialgia,NO,2020-06-15,93630.0
Fiebre,NO,2020-06-15,67976.0
Odinofagia,NO,2020-06-15,55893.0
Anosmia,NO,2020-06-15,28087.0
Ageusia,NO,2020-06-15,21841.0
Disnea,NO,2020-06-15,17994.0
Diarrea,NO,2020-06-15,15338.0
Dolor torácico,NO,2020-06-15,13718.0
Dolor abdominal,NO,2020-06-15,9117.0
Taquipnea,NO,2020-06-15,1836.0
Cianosis,NO,2020-06-15,162.0
Postración,NO,2020-06-15,
Congestión nasal,NO,2020-06-15,
Cefalea,SI,2020-06-15,9291.0
Tos,SI,2020-06-15,7580.0
Mialgia,SI,2020-06-15,6586.0
