Establecimiento,Instituto de salud pública,Hospitales público,Privados,Instituto de salud pública,Hospitales público,Privados,Total realizados,Total informados ultimo dia
2020-06-02,49786,264404,298582,1194,5247,7001,612772,13442
2020-06-03,50919,270253,307146,1133,5849,8564,628318,15546
2020-06-04,51743,276926,317789,824,6673,10643,646458,18140
2020-06-05,53304,284378,330874,1559,7471,12750,668556,21780
2020-06-06,54505,292490,340515,1201,8112,9641,687510,18954
2020-06-07,55692,299684,353397,1189,7194,12882,708773,21265
2020-06-08,57398,305765,365652,1704,6081,12255,728815,20040
2020-06-09,58325,312201,376066,927,6436,10414,746592,17777
2020-06-10,59330,318602,383135,1007,6401,7069,761067,14477
2020-06-11,60453,326380,394210,1123,7778,11075,781043,19976
2020-06-12,61170,333628,404978,717,7248,10768,799776,18733
2020-06-13,62467,341111,416421,1297,7483,11443,819999,20223
2020-06-14,63387,348381,428382,920,7270,11961,840150,20151
2020-06-15,64771,355258,438929,1384,6877,10547,858958,18808
2020-06-16,65204,361854,446475,433,6596,7546,873533,14575
2020-06-17,65939,367978,452252,735,6124,5777,886169,12636
2020-06-18,66540,374738,461888,601,6760,9636,903166,16997
2020-06-19,67421,382321,473771,881,7583,11883,923513,20347
2020-06-20,68346,389568,485679,925,7247,11908,943593,20080
2020-06-21,69168,397479,497061,822,7911,11382,963708,20115
2020-06-22,70175,405138,507040,1007,7659,9979,982353,18645
2020-06-23,70727,411631,512702,552,6493,5662,995060,12707
2020-06-24,71275,416956,519404,548,5325,6702,1007635,12575
2020-06-25,72011,423720,529350,736,7216,9494,1025081,17446
2020-06-26,72641,431617,539072,630,7897,9722,1043330,18249
2020-06-27,73209,439281,548784,568,7664,9712,1061274,17944
2020-06-28,74036,447182,558426,827,7901,9642,1079644,18370
2020-06-29,74862,454078,567503,826,6896,9077,1096443,16799
2020-06-30,75415,460155,574222,553,6077,6719,1109792,13349
2020-07-01,75809,465774,578594,394,5619,4372,1120177,10385
2020-07-02,76244,471063,583701,435,5289,5107,1131008,10831
2020-07-03,76796,477982,591815,552,6919,8114,1146593,15585
2020-07-04,77393,485269,601218,597,7287,9403,1163880,17287
2020-07-05,78215,492627,611042,822,7358,9824,1181884,18004
2020-07-06,79041,500559,618661,826,7932,7619,1198261,16377
2020-07-07,79409,506565,624352,368,6006,5691,1210326,12065
2020-07-08,79684,511985,629121,275,5420,4769,1220790,10464
2020-07-09,80417,518874,638341,733,6889,9220,1237632,16842
2020-07-10,81052,526703,647604,635,7829,9263,1255359,17727
2020-07-11,81793,534930,656904,741,8227,9300,1273627,18268
2020-07-12,82433,543184,667181,640,8254,10277,1292798,19171
2020-07-13,83616,550717,675932,1183,7533,8751,1310265,17467
2020-07-14,84143,557367,680993,527,6650,5061,1322503,12238
2020-07-15,84710,564369,685633,567,7002,4640,1334712,12209
2020-07-16,85581,571782,694541,871,7413,8908,1351904,17192
2020-07-17,86492,579948,704163,911,8166,9622,1370603,18699
2020-07-18,87217,588351,712751,725,8403,8588,1388319,17716
2020-07-19,87677,596739,719631,460,8388,6880,1404047,15728
2020-07-20,88503,604778,727109,826,8039,7478,1420390,16343
2020-07-21,88962,611609,732409,459,6831,5300,1432980,12590
2020-07-22,89509,617998,738266,547,6389,5857,1445773,12793
2020-07-23,90125,626377,748138,616,8379,9872,1464640,18867
2020-07-24,90780,636255,758676,655,9878,10538,1485711,21071
2020-07-25,91230,645358,768256,450,9103,9580,1504844,19133
2020-07-26,91743,654720,778090,513,9362,9834,1524553,19709
2020-07-27,92606,666191,787300,863,11471,9210,1546097,21544
2020-07-28,92818,676780,794095,212,10589,6795,1563693,17596
2020-07-29,93701,686355,800767,883,9575,6672,1580823,17130
2020-07-30,94123,696320,810675,422,9965,9908,1601118,20295
