Establecimiento,Examenes,fecha,Numero de PCR
,,2020-04-22,
,,2020-04-22,
,,2020-04-22,
,,2020-04-22,
,,2020-04-22,
,,2020-04-22,
,,2020-04-22,
Instituto de salud pública,realizados,2020-04-23,13420.0
Hospitales público,realizados,2020-04-23,70854.0
Privados,realizados,2020-04-23,50873.0
Instituto de salud pública,informados ultimo dia,2020-04-23,333.0
Hospitales público,informados ultimo dia,2020-04-23,3564.0
Privados,informados ultimo dia,2020-04-23,2528.0
Total realizados,realizados,2020-04-23,135147.0
Total informados ultimo dia,informados ultimo dia,2020-04-23,6425.0
,,2020-04-23,
,,2020-04-23,
,,2020-04-23,
,,2020-04-23,
,,2020-04-23,
,,2020-04-23,
,,2020-04-23,
Instituto de salud pública,realizados,2020-04-24,13763.0
Hospitales público,realizados,2020-04-24,74609.0
Privados,realizados,2020-04-24,53895.0
Instituto de salud pública,informados ultimo dia,2020-04-24,343.0
Hospitales público,informados ultimo dia,2020-04-24,3755.0
Privados,informados ultimo dia,2020-04-24,3022.0
Total realizados,realizados,2020-04-24,142267.0
Total informados ultimo dia,informados ultimo dia,2020-04-24,7120.0
,,2020-04-24,
,,2020-04-24,
,,2020-04-24,
,,2020-04-24,
,,2020-04-24,
,,2020-04-24,
,,2020-04-24,
Instituto de salud pública,realizados,2020-04-25,14130.0
Hospitales público,realizados,2020-04-25,78360.0
Privados,realizados,2020-04-25,56722.0
Instituto de salud pública,informados ultimo dia,2020-04-25,367.0
Hospitales público,informados ultimo dia,2020-04-25,3751.0
Privados,informados ultimo dia,2020-04-25,2827.0
Total realizados,realizados,2020-04-25,149212.0
Total informados ultimo dia,informados ultimo dia,2020-04-25,6945.0
,,2020-04-25,
,,2020-04-25,
,,2020-04-25,
,,2020-04-25,
,,2020-04-25,
,,2020-04-25,
,,2020-04-25,
Instituto de salud pública,realizados,2020-04-26,14381.0
Hospitales público,realizados,2020-04-26,81708.0
Privados,realizados,2020-04-26,59886.0
Instituto de salud pública,informados ultimo dia,2020-04-26,251.0
Hospitales público,informados ultimo dia,2020-04-26,3348.0
Privados,informados ultimo dia,2020-04-26,3164.0
Total realizados,realizados,2020-04-26,155975.0
Total informados ultimo dia,informados ultimo dia,2020-04-26,6763.0
,,2020-04-26,
,,2020-04-26,
,,2020-04-26,
,,2020-04-26,
,,2020-04-26,
,,2020-04-26,
,,2020-04-26,
Instituto de salud pública,realizados,2020-04-27,14623.0
Hospitales público,realizados,2020-04-27,84556.0
Privados,realizados,2020-04-27,62056.0
Instituto de salud pública,informados ultimo dia,2020-04-27,242.0
Hospitales público,informados ultimo dia,2020-04-27,2848.0
Privados,informados ultimo dia,2020-04-27,2170.0
Total realizados,realizados,2020-04-27,161235.0
Total informados ultimo dia,informados ultimo dia,2020-04-27,5260.0
,,2020-04-27,
,,2020-04-27,
,,2020-04-27,
,,2020-04-27,
,,2020-04-27,
,,2020-04-27,
,,2020-04-27,
Instituto de salud pública,realizados,2020-04-28,14896.0
Hospitales público,realizados,2020-04-28,87485.0
Privados,realizados,2020-04-28,63784.0
Instituto de salud pública,informados ultimo dia,2020-04-28,273.0
Hospitales público,informados ultimo dia,2020-04-28,2929.0
Privados,informados ultimo dia,2020-04-28,1728.0
Total realizados,realizados,2020-04-28,166165.0
Total informados ultimo dia,informados ultimo dia,2020-04-28,4930.0
,,2020-04-28,
,,2020-04-28,
,,2020-04-28,
,,2020-04-28,
,,2020-04-28,
,,2020-04-28,
,,2020-04-28,
Instituto de salud pública,realizados,2020-04-29,15239.0
Hospitales público,realizados,2020-04-29,90218.0
Privados,realizados,2020-04-29,67162.0
Instituto de salud pública,informados ultimo dia,2020-04-29,343.0
Hospitales público,informados ultimo dia,2020-04-29,2733.0
Privados,informados ultimo dia,2020-04-29,3378.0
Total realizados,realizados,2020-04-29,172619.0
Total informados ultimo dia,informados ultimo dia,2020-04-29,6454.0
,,2020-04-29,
,,2020-04-29,
,,2020-04-29,
,,2020-04-29,
,,2020-04-29,
,,2020-04-29,
,,2020-04-29,
Instituto de salud pública,realizados,2020-04-30,15681.0
Hospitales público,realizados,2020-04-30,93626.0
Privados,realizados,2020-04-30,71210.0
Instituto de salud pública,informados ultimo dia,2020-04-30,442.0
Hospitales público,informados ultimo dia,2020-04-30,3408.0
Privados,informados ultimo dia,2020-04-30,4048.0
Total realizados,realizados,2020-04-30,180517.0
Total informados ultimo dia,informados ultimo dia,2020-04-30,7898.0
,,2020-04-30,
,,2020-04-30,
,,2020-04-30,
,,2020-04-30,
,,2020-04-30,
,,2020-04-30,
,,2020-04-30,
Instituto de salud pública,realizados,2020-05-01,16144.0
Hospitales público,realizados,2020-05-01,97378.0
Privados,realizados,2020-05-01,75911.0
Instituto de salud pública,informados ultimo dia,2020-05-01,463.0
Hospitales público,informados ultimo dia,2020-05-01,3752.0
Privados,informados ultimo dia,2020-05-01,4701.0
Total realizados,realizados,2020-05-01,189433.0
Total informados ultimo dia,informados ultimo dia,2020-05-01,8916.0
,,2020-05-01,
,,2020-05-01,
,,2020-05-01,
,,2020-05-01,
,,2020-05-01,
,,2020-05-01,
,,2020-05-01,
Instituto de salud pública,realizados,2020-05-02,16680.0
Hospitales público,realizados,2020-05-02,101519.0
Privados,realizados,2020-05-02,81201.0
Instituto de salud pública,informados ultimo dia,2020-05-02,536.0
Hospitales público,informados ultimo dia,2020-05-02,4141.0
Privados,informados ultimo dia,2020-05-02,5290.0
Total realizados,realizados,2020-05-02,199400.0
Total informados ultimo dia,informados ultimo dia,2020-05-02,9967.0
,,2020-05-02,
,,2020-05-02,
,,2020-05-02,
,,2020-05-02,
,,2020-05-02,
,,2020-05-02,
,,2020-05-02,
Instituto de salud pública,realizados,2020-05-03,17229.0
Hospitales público,realizados,2020-05-03,105222.0
Privados,realizados,2020-05-03,83767.0
Instituto de salud pública,informados ultimo dia,2020-05-03,549.0
Hospitales público,informados ultimo dia,2020-05-03,3703.0
Privados,informados ultimo dia,2020-05-03,2566.0
Total realizados,realizados,2020-05-03,206218.0
Total informados ultimo dia,informados ultimo dia,2020-05-03,6818.0
,,2020-05-03,
,,2020-05-03,
,,2020-05-03,
,,2020-05-03,
,,2020-05-03,
,,2020-05-03,
,,2020-05-03,
Instituto de salud pública,realizados,2020-05-04,17669.0
Hospitales público,realizados,2020-05-04,109158.0
Privados,realizados,2020-05-04,87304.0
Instituto de salud pública,informados ultimo dia,2020-05-04,440.0
Hospitales público,informados ultimo dia,2020-05-04,3936.0
Privados,informados ultimo dia,2020-05-04,3537.0
Total realizados,realizados,2020-05-04,214131.0
Total informados ultimo dia,informados ultimo dia,2020-05-04,7913.0
,,2020-05-04,
,,2020-05-04,
,,2020-05-04,
,,2020-05-04,
,,2020-05-04,
,,2020-05-04,
,,2020-05-04,
Instituto de salud pública,realizados,2020-05-05,18206.0
Hospitales público,realizados,2020-05-05,112939.0
Privados,realizados,2020-05-05,90950.0
Instituto de salud pública,informados ultimo dia,2020-05-05,537.0
Hospitales público,informados ultimo dia,2020-05-05,3781.0
Privados,informados ultimo dia,2020-05-05,3646.0
Total realizados,realizados,2020-05-05,222095.0
Total informados ultimo dia,informados ultimo dia,2020-05-05,7964.0
,,2020-05-05,
,,2020-05-05,
,,2020-05-05,
,,2020-05-05,
,,2020-05-05,
,,2020-05-05,
,,2020-05-05,
Instituto de salud pública,realizados,2020-05-06,18636.0
Hospitales público,realizados,2020-05-06,117156.0
Privados,realizados,2020-05-06,96316.0
Instituto de salud pública,informados ultimo dia,2020-05-06,430.0
Hospitales público,informados ultimo dia,2020-05-06,4217.0
Privados,informados ultimo dia,2020-05-06,5366.0
Total realizados,realizados,2020-05-06,232108.0
Total informados ultimo dia,informados ultimo dia,2020-05-06,10013.0
,,2020-05-06,
,,2020-05-06,
,,2020-05-06,
,,2020-05-06,
,,2020-05-06,
,,2020-05-06,
,,2020-05-06,
Instituto de salud pública,realizados,2020-05-07,19836.0
Hospitales público,realizados,2020-05-07,121905.0
Privados,realizados,2020-05-07,102485.0
Instituto de salud pública,informados ultimo dia,2020-05-07,1200.0
Hospitales público,informados ultimo dia,2020-05-07,4749.0
Privados,informados ultimo dia,2020-05-07,6169.0
Total realizados,realizados,2020-05-07,244226.0
Total informados ultimo dia,informados ultimo dia,2020-05-07,12118.0
,,2020-05-07,
,,2020-05-07,
,,2020-05-07,
,,2020-05-07,
,,2020-05-07,
,,2020-05-07,
,,2020-05-07,
Instituto de salud pública,realizados,2020-05-08,20472.0
Hospitales público,realizados,2020-05-08,126551.0
Privados,realizados,2020-05-08,108938.0
Instituto de salud pública,informados ultimo dia,2020-05-08,636.0
Hospitales público,informados ultimo dia,2020-05-08,4646.0
Privados,informados ultimo dia,2020-05-08,6453.0
Total realizados,realizados,2020-05-08,255961.0
Total informados ultimo dia,informados ultimo dia,2020-05-08,11735.0
,,2020-05-08,
,,2020-05-08,
,,2020-05-08,
,,2020-05-08,
,,2020-05-08,
,,2020-05-08,
,,2020-05-08,
Instituto de salud pública,realizados,2020-05-09,21276.0
Hospitales público,realizados,2020-05-09,131117.0
Privados,realizados,2020-05-09,115511.0
Instituto de salud pública,informados ultimo dia,2020-05-09,804.0
Hospitales público,informados ultimo dia,2020-05-09,4566.0
Privados,informados ultimo dia,2020-05-09,6573.0
Total realizados,realizados,2020-05-09,267904.0
Total informados ultimo dia,informados ultimo dia,2020-05-09,11943.0
,,2020-05-09,
,,2020-05-09,
,,2020-05-09,
,,2020-05-09,
,,2020-05-09,
,,2020-05-09,
,,2020-05-09,
Instituto de salud pública,realizados,2020-05-10,21878.0
Hospitales público,realizados,2020-05-10,137284.0
Privados,realizados,2020-05-10,121522.0
Instituto de salud pública,informados ultimo dia,2020-05-10,602.0
Hospitales público,informados ultimo dia,2020-05-10,6167.0
Privados,informados ultimo dia,2020-05-10,6011.0
Total realizados,realizados,2020-05-10,280684.0
Total informados ultimo dia,informados ultimo dia,2020-05-10,12780.0
,,2020-05-10,
,,2020-05-10,
,,2020-05-10,
,,2020-05-10,
,,2020-05-10,
,,2020-05-10,
,,2020-05-10,
Instituto de salud pública,realizados,2020-05-11,22461.0
Hospitales público,realizados,2020-05-11,142795.0
Privados,realizados,2020-05-11,128801.0
Instituto de salud pública,informados ultimo dia,2020-05-11,583.0
Hospitales público,informados ultimo dia,2020-05-11,5511.0
Privados,informados ultimo dia,2020-05-11,7279.0
Total realizados,realizados,2020-05-11,294057.0
Total informados ultimo dia,informados ultimo dia,2020-05-11,13373.0
,,2020-05-11,
,,2020-05-11,
,,2020-05-11,
,,2020-05-11,
,,2020-05-11,
,,2020-05-11,
,,2020-05-11,
Instituto de salud pública,realizados,2020-05-12,23542.0
Hospitales público,realizados,2020-05-12,146747.0
Privados,realizados,2020-05-12,133051.0
Instituto de salud pública,informados ultimo dia,2020-05-12,1081.0
Hospitales público,informados ultimo dia,2020-05-12,3952.0
Privados,informados ultimo dia,2020-05-12,4250.0
Total realizados,realizados,2020-05-12,303340.0
Total informados ultimo dia,informados ultimo dia,2020-05-12,9283.0
,,2020-05-12,
,,2020-05-12,
,,2020-05-12,
,,2020-05-12,
,,2020-05-12,
,,2020-05-12,
,,2020-05-12,
Instituto de salud pública,realizados,2020-05-13,24239.0
Hospitales público,realizados,2020-05-13,150570.0
Privados,realizados,2020-05-13,138941.0
Instituto de salud pública,informados ultimo dia,2020-05-13,697.0
Hospitales público,informados ultimo dia,2020-05-13,3823.0
Privados,informados ultimo dia,2020-05-13,5890.0
Total realizados,realizados,2020-05-13,313750.0
Total informados ultimo dia,informados ultimo dia,2020-05-13,10410.0
,,2020-05-13,
,,2020-05-13,
,,2020-05-13,
,,2020-05-13,
,,2020-05-13,
,,2020-05-13,
,,2020-05-13,
Instituto de salud pública,realizados,2020-05-14,25330.0
Hospitales público,realizados,2020-05-14,155863.0
Privados,realizados,2020-05-14,144224.0
Instituto de salud pública,informados ultimo dia,2020-05-14,1091.0
Hospitales público,informados ultimo dia,2020-05-14,5293.0
Privados,informados ultimo dia,2020-05-14,5118.0
Total realizados,realizados,2020-05-14,325417.0
Total informados ultimo dia,informados ultimo dia,2020-05-14,11502.0
,,2020-05-14,
,,2020-05-14,
,,2020-05-14,
,,2020-05-14,
,,2020-05-14,
,,2020-05-14,
,,2020-05-14,
Instituto de salud pública,realizados,2020-05-15,26266.0
Hospitales público,realizados,2020-05-15,162975.0
Privados,realizados,2020-05-15,152271.0
Instituto de salud pública,informados ultimo dia,2020-05-15,936.0
Hospitales público,informados ultimo dia,2020-05-15,7112.0
Privados,informados ultimo dia,2020-05-15,8047.0
Total realizados,realizados,2020-05-15,341512.0
Total informados ultimo dia,informados ultimo dia,2020-05-15,16095.0
,,2020-05-15,
,,2020-05-15,
,,2020-05-15,
,,2020-05-15,
,,2020-05-15,
,,2020-05-15,
,,2020-05-15,
Instituto de salud pública,realizados,2020-05-16,27511.0
Hospitales público,realizados,2020-05-16,166097.0
Privados,realizados,2020-05-16,156717.0
Instituto de salud pública,informados ultimo dia,2020-05-16,1245.0
Hospitales público,informados ultimo dia,2020-05-16,3122.0
Privados,informados ultimo dia,2020-05-16,4446.0
Total realizados,realizados,2020-05-16,350325.0
Total informados ultimo dia,informados ultimo dia,2020-05-16,8813.0
,,2020-05-16,
,,2020-05-16,
,,2020-05-16,
,,2020-05-16,
,,2020-05-16,
,,2020-05-16,
,,2020-05-16,
Instituto de salud pública,realizados,2020-05-17,28860.0
Hospitales público,realizados,2020-05-17,172275.0
Privados,realizados,2020-05-17,162361.0
Instituto de salud pública,informados ultimo dia,2020-05-17,1349.0
Hospitales público,informados ultimo dia,2020-05-17,6178.0
Privados,informados ultimo dia,2020-05-17,5644.0
Total realizados,realizados,2020-05-17,363496.0
Total informados ultimo dia,informados ultimo dia,2020-05-17,13171.0
,,2020-05-17,
,,2020-05-17,
,,2020-05-17,
,,2020-05-17,
,,2020-05-17,
,,2020-05-17,
,,2020-05-17,
Instituto de salud pública,realizados,2020-05-18,29789.0
Hospitales público,realizados,2020-05-18,179351.0
Privados,realizados,2020-05-18,171871.0
Instituto de salud pública,informados ultimo dia,2020-05-18,929.0
Hospitales público,informados ultimo dia,2020-05-18,7076.0
Privados,informados ultimo dia,2020-05-18,9510.0
Total realizados,realizados,2020-05-18,381011.0
Total informados ultimo dia,informados ultimo dia,2020-05-18,17515.0
,,2020-05-18,
,,2020-05-18,
,,2020-05-18,
,,2020-05-18,
,,2020-05-18,
,,2020-05-18,
,,2020-05-18,
Instituto de salud pública,realizados,2020-05-19,31366.0
Hospitales público,realizados,2020-05-19,186696.0
Privados,realizados,2020-05-19,179138.0
Instituto de salud pública,informados ultimo dia,2020-05-19,1577.0
Hospitales público,informados ultimo dia,2020-05-19,7345.0
Privados,informados ultimo dia,2020-05-19,7267.0
Total realizados,realizados,2020-05-19,397200.0
Total informados ultimo dia,informados ultimo dia,2020-05-19,16189.0
,,2020-05-19,
,,2020-05-19,
,,2020-05-19,
,,2020-05-19,
,,2020-05-19,
,,2020-05-19,
,,2020-05-19,
Instituto de salud pública,realizados,2020-05-20,33072.0
Hospitales público,realizados,2020-05-20,192548.0
Privados,realizados,2020-05-20,184049.0
Instituto de salud pública,informados ultimo dia,2020-05-20,1706.0
Hospitales público,informados ultimo dia,2020-05-20,5852.0
Privados,informados ultimo dia,2020-05-20,4911.0
Total realizados,realizados,2020-05-20,409669.0
Total informados ultimo dia,informados ultimo dia,2020-05-20,12469.0
,,2020-05-20,
,,2020-05-20,
,,2020-05-20,
,,2020-05-20,
,,2020-05-20,
,,2020-05-20,
,,2020-05-20,
Instituto de salud pública,realizados,2020-05-21,34455.0
Hospitales público,realizados,2020-05-21,198250.0
Privados,realizados,2020-05-21,193298.0
Instituto de salud pública,informados ultimo dia,2020-05-21,1383.0
Hospitales público,informados ultimo dia,2020-05-21,5702.0
Privados,informados ultimo dia,2020-05-21,9249.0
Total realizados,realizados,2020-05-21,426003.0
Total informados ultimo dia,informados ultimo dia,2020-05-21,16334.0
,,2020-05-21,
,,2020-05-21,
,,2020-05-21,
,,2020-05-21,
,,2020-05-21,
,,2020-05-21,
,,2020-05-21,
Instituto de salud pública,realizados,2020-05-22,35392.0
Hospitales público,realizados,2020-05-22,203858.0
Privados,realizados,2020-05-22,202843.0
Instituto de salud pública,informados ultimo dia,2020-05-22,937.0
Hospitales público,informados ultimo dia,2020-05-22,5608.0
Privados,informados ultimo dia,2020-05-22,9545.0
Total realizados,realizados,2020-05-22,442093.0
Total informados ultimo dia,informados ultimo dia,2020-05-22,16090.0
,,2020-05-22,
,,2020-05-22,
,,2020-05-22,
,,2020-05-22,
,,2020-05-22,
,,2020-05-22,
,,2020-05-22,
Instituto de salud pública,realizados,2020-05-23,36886.0
Hospitales público,realizados,2020-05-23,209406.0
Privados,realizados,2020-05-23,211040.0
Instituto de salud pública,informados ultimo dia,2020-05-23,1494.0
Hospitales público,informados ultimo dia,2020-05-23,5548.0
Privados,informados ultimo dia,2020-05-23,8197.0
Total realizados,realizados,2020-05-23,457332.0
Total informados ultimo dia,informados ultimo dia,2020-05-23,15239.0
,,2020-05-23,
,,2020-05-23,
,,2020-05-23,
,,2020-05-23,
,,2020-05-23,
,,2020-05-23,
,,2020-05-23,
Instituto de salud pública,realizados,2020-05-24,38155.0
Hospitales público,realizados,2020-05-24,213785.0
Privados,realizados,2020-05-24,219818.0
Instituto de salud pública,informados ultimo dia,2020-05-24,1269.0
Hospitales público,informados ultimo dia,2020-05-24,4379.0
Privados,informados ultimo dia,2020-05-24,8778.0
Total realizados,realizados,2020-05-24,471758.0
Total informados ultimo dia,informados ultimo dia,2020-05-24,14426.0
,,2020-05-24,
,,2020-05-24,
,,2020-05-24,
,,2020-05-24,
,,2020-05-24,
,,2020-05-24,
,,2020-05-24,
Instituto de salud pública,realizados,2020-05-25,39599.0
Hospitales público,realizados,2020-05-25,219739.0
Privados,realizados,2020-05-25,228703.0
Instituto de salud pública,informados ultimo dia,2020-05-25,1444.0
Hospitales público,informados ultimo dia,2020-05-25,5954.0
Privados,informados ultimo dia,2020-05-25,8885.0
Total realizados,realizados,2020-05-25,488041.0
Total informados ultimo dia,informados ultimo dia,2020-05-25,16283.0
,,2020-05-25,
,,2020-05-25,
,,2020-05-25,
,,2020-05-25,
,,2020-05-25,
,,2020-05-25,
,,2020-05-25,
Instituto de salud pública,realizados,2020-05-26,40950.0
Hospitales público,realizados,2020-05-26,224214.0
Privados,realizados,2020-05-26,235961.0
Instituto de salud pública,informados ultimo dia,2020-05-26,1351.0
Hospitales público,informados ultimo dia,2020-05-26,4562.0
Privados,informados ultimo dia,2020-05-26,7171.0
Total realizados,realizados,2020-05-26,501125.0
Total informados ultimo dia,informados ultimo dia,2020-05-26,13084.0
,,2020-05-26,
,,2020-05-26,
,,2020-05-26,
,,2020-05-26,
,,2020-05-26,
,,2020-05-26,
,,2020-05-26,
Instituto de salud pública,realizados,2020-05-27,41870.0
Hospitales público,realizados,2020-05-27,229125.0
Privados,realizados,2020-05-27,243528.0
Instituto de salud pública,informados ultimo dia,2020-05-27,920.0
Hospitales público,informados ultimo dia,2020-05-27,4911.0
Privados,informados ultimo dia,2020-05-27,7567.0
Total realizados,realizados,2020-05-27,514523.0
Total informados ultimo dia,informados ultimo dia,2020-05-27,13398.0
,,2020-05-27,
,,2020-05-27,
,,2020-05-27,
,,2020-05-27,
,,2020-05-27,
,,2020-05-27,
,,2020-05-27,
Instituto de salud pública,realizados,2020-05-28,42803.0
Hospitales público,realizados,2020-05-28,235326.0
Privados,realizados,2020-05-28,252044.0
Instituto de salud pública,informados ultimo dia,2020-05-28,933.0
Hospitales público,informados ultimo dia,2020-05-28,6201.0
Privados,informados ultimo dia,2020-05-28,8516.0
Total realizados,realizados,2020-05-28,530173.0
Total informados ultimo dia,informados ultimo dia,2020-05-28,15650.0
,,2020-05-28,
,,2020-05-28,
,,2020-05-28,
,,2020-05-28,
,,2020-05-28,
,,2020-05-28,
,,2020-05-28,
Instituto de salud pública,realizados,2020-05-29,44224.0
Hospitales público,realizados,2020-05-29,241466.0
Privados,realizados,2020-05-29,260816.0
Instituto de salud pública,informados ultimo dia,2020-05-29,1421.0
Hospitales público,informados ultimo dia,2020-05-29,6140.0
